id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
B121583A,1983-12-15T04:22:28,-70.28,-33.09,55.0,6.0,mwc,202.0,21.0,-78.0,9.0,69.0,-95.0,24.0,102.0,4.0,10.0,65.0,271.0,,,,,,,us,crustal_intraarc_deep
B022489C,1989-02-24T12:36:59,-70.98,-38.42,33.0,5.2,mwc,110.0,62.0,23.0,9.0,70.0,150.0,35.0,327.0,54.0,159.0,5.0,61.0,,,,,,,us,crustal_intraarc_deep
B032799B,1999-03-27T11:13:34,-71.75,-40.04,33.0,5.4,mwc,174.0,72.0,174.0,266.0,85.0,18.0,17.0,132.0,71.0,282.0,9.0,39.0,,,,,,,us,crustal_intraarc_deep
B051099A,1999-05-10T08:47:25,-69.16,-30.4,65.2,5.2,mwc,119.0,53.0,15.0,20.0,78.0,142.0,35.0,333.0,50.0,186.0,17.0,75.0,,,,,,,us,crustal_intraarc_deep
C200701280253A,2007-01-28T02:53:20,-72.32,-45.16,49.7,5.2,mwc,104.0,76.0,1.0,14.0,89.0,166.0,10.0,328.0,76.0,190.0,9.0,59.0,,,,,,,us,crustal_intraarc_deep
C200704211753A,2007-04-21T17:53:46,-72.65,-45.24,36.7,6.2,mwc,84.0,86.0,2.0,354.0,88.0,176.0,5.0,309.0,85.0,145.0,1.0,39.0,,,,,,,us,crustal_intraarc_deep
b000tq1p,2015-02-17T14:36:01,-70.42,-32.38,60.5,5.4,mww,149.0,82.0,169.0,241.0,79.0,8.0,13.0,105.0,77.0,295.0,2.0,195.0,2.71e+16,-1.372e+17,1.101e+17,400000000000000.0,-2.56e+16,7.18e+16,us,crustal_intraarc_deep
1000744u,2016-11-04T16:20:50,-70.65,-35.08,90.5,6.3,mww,36.0,71.0,-74.0,176.0,24.0,-127.0,25.0,114.0,15.0,211.0,61.0,329.0,-2.296e+18,-2.5e+16,2.321e+18,-2.013e+18,-2.085e+18,6.58e+17,us,crustal_intraarc_deep
10008w2b,2017-05-29T14:57:53,-71.6856,-37.3378,80.5,5.9,mww,261.57,35.22,-30.69,17.43,72.88,-121.26,22.0,131.0,30.0,28.0,52.0,251.0,-3.5723e+17,1.99e+17,1.5824e+17,-1.3499e+17,-5.197e+17,4.9352e+17,us,crustal_intraarc_deep
2000izex,2018-12-31T10:49:41,-69.2604,-31.7776,80.5,5.3,mww,39.53,44.11,-64.28,185.68,51.16,-112.81,4.0,292.0,18.0,200.0,72.0,33.0,-1.0406e+17,510000000000000.0,1.0354e+17,-2.224e+16,2.472e+16,5.108e+16,us,crustal_intraarc_deep
7000fr0v,2021-11-03T03:17:53,-70.0903,-32.7109,70.5,5.7,mww,188.43,16.68,-59.23,336.57,75.72,-98.72,30.0,74.0,8.0,339.0,58.0,235.0,-1.8566e+17,-9640000000000000.0,1.9529e+17,1.4846e+17,-3.0383e+17,-2.611e+16,us,crustal_intraarc_deep
7000jw73,2023-04-27T06:07:15,-71.2526,-35.7448,70.5,5.0,mww,161.05,29.29,-115.64,9.87,63.82,-76.36,18.0,90.0,12.0,184.0,68.0,307.0,-2.9736e+16,-4074000000000000.0,3.381e+16,-7450000000000000.0,-2.2686e+16,-2552000000000000.0,us,crustal_intraarc_deep
6000nmw5,2024-08-26T16:21:55,-73.6335,-44.8383,60.5,5.0,mww,143.07,86.32,128.84,237.63,38.98,5.85,37.0,87.0,39.0,320.0,30.0,202.0,4439000000000000.0,-2.8239e+16,2.3801e+16,1.9251e+16,-2.8364e+16,9922000000000000.0,us,crustal_intraarc_deep
