id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
B011480E,1980-01-14T21:51:01,-69.46,-33.19,14.0,5.6,mwc,141.0,69.0,5.0,49.0,85.0,159.0,18.0,3.0,69.0,217.0,11.0,97.0,,,,,,,us,crustal_intraarc_shallow
B091387C,1987-09-13T20:08:51,-69.97,-34.19,10.0,5.9,mwc,27.0,58.0,176.0,119.0,87.0,32.0,24.0,348.0,58.0,124.0,20.0,249.0,,,,,,,us,crustal_intraarc_shallow
B030599B,1999-03-05T03:35:14,-69.6,-34.67,10.0,5.9,mwc,170.0,12.0,69.0,12.0,79.0,94.0,56.0,287.0,4.0,191.0,34.0,98.0,,,,,,,us,crustal_intraarc_shallow
B101201B,2001-10-12T04:21:31,-69.74,-33.3,3.8,5.3,mwc,222.0,78.0,171.0,314.0,81.0,12.0,15.0,178.0,75.0,349.0,2.0,87.0,,,,,,,us,crustal_intraarc_shallow
pde20040828134125600_5,2004-08-28T13:41:25,-70.525,-35.173,20.0,6.5,mwb,0.0,45.0,90.0,180.0,45.0,90.0,3.637108743639312e-15,180.0,45.000000000000014,90.0,44.99999999999999,270.0,,,,,,,us,crustal_intraarc_shallow
C091204C,2004-09-12T14:24:37,-70.01,-34.14,5.0,5.3,mwc,162.0,44.0,114.0,310.0,50.0,68.0,73.0,156.0,17.0,324.0,3.0,55.0,,,,,,,us,crustal_intraarc_shallow
C200612311455A,2006-12-31T14:55:02,-71.11,-37.94,20.6,5.5,mwc,31.0,86.0,178.0,121.0,88.0,4.0,4.0,346.0,86.0,153.0,1.0,256.0,,,,,,,us,crustal_intraarc_shallow
C200701232040A,2007-01-23T20:40:16,-72.19,-45.31,32.0,5.3,mwc,264.0,89.0,-1.0,354.0,89.0,-179.0,0.0,129.0,88.0,37.0,2.0,219.0,,,,,,,us,crustal_intraarc_shallow
C200702030900A,2007-02-03T09:00:15,-72.24,-45.24,10.0,5.3,mwc,91.0,84.0,-6.0,182.0,84.0,-174.0,0.0,316.0,82.0,225.0,8.0,47.0,,,,,,,us,crustal_intraarc_shallow
C200702231955A,2007-02-23T19:55:48,-72.32,-45.34,25.1,5.7,mwc,87.0,70.0,-12.0,181.0,79.0,-160.0,6.0,313.0,67.0,210.0,22.0,46.0,,,,,,,us,crustal_intraarc_shallow
C200704020249A,2007-04-02T02:49:35,-73.06,-45.38,4.9,6.1,mwc,53.0,43.0,-86.0,228.0,47.0,-94.0,2.0,321.0,3.0,231.0,86.0,93.0,,,,,,,us,crustal_intraarc_shallow
C200805020551A,2008-05-02T05:51:24,-72.27,-42.77,10.0,5.2,mwc,206.0,77.0,-177.0,115.0,87.0,-13.0,7.0,161.0,77.0,281.0,12.0,70.0,,,,,,,us,crustal_intraarc_shallow
C200805030236A,2008-05-03T02:36:12,-72.25,-42.78,10.0,5.0,mwc,280.0,52.0,-31.0,31.0,66.0,-137.0,9.0,153.0,42.0,55.0,47.0,252.0,,,,,,,us,crustal_intraarc_shallow
C200805240243A,2008-05-24T02:43:36,-72.19,-41.96,9.4,5.4,mwc,84.0,57.0,-11.0,180.0,81.0,-146.0,16.0,308.0,55.0,193.0,30.0,48.0,,,,,,,us,crustal_intraarc_shallow
C200903111306A,2009-03-11T13:06:53,-69.19,-31.89,28.0,5.3,mwc,190.0,44.0,109.0,344.0,49.0,72.0,76.0,186.0,13.0,356.0,2.0,87.0,,,,,,,us,crustal_intraarc_shallow
C201003020209A,2010-03-02T02:09:35,-71.37,-39.76,24.8,5.1,mwc,176.0,65.0,-168.0,80.0,79.0,-25.0,9.0,130.0,62.0,238.0,26.0,36.0,,,,,,,us,crustal_intraarc_shallow
C201003171738A,2010-03-17T17:38:33,-72.57,-43.84,10.0,5.4,mwc,191.0,68.0,-178.0,100.0,88.0,-22.0,14.0,148.0,68.0,276.0,17.0,54.0,,,,,,,us,crustal_intraarc_shallow
C201003180932A,2010-03-18T09:32:21,-72.83,-44.18,4.4,5.2,mwc,186.0,72.0,171.0,279.0,81.0,18.0,19.0,144.0,70.0,303.0,6.0,51.0,,,,,,,us,crustal_intraarc_shallow
C201008150750A,2010-08-15T07:50:36,-71.08,-36.82,10.0,5.2,mwc,290.0,58.0,-9.0,25.0,82.0,-148.0,16.0,153.0,57.0,37.0,28.0,252.0,,,,,,,us,crustal_intraarc_shallow
pde20110214121830300_35,2011-02-14T12:18:25,-71.54,-35.65,12.8,5.2,mwc,211.0,21.0,-33.0,331.0,79.0,-108.0,32.0,76.0,17.0,335.0,53.0,221.0,-2.81e+16,-1.74e+16,4.54e+16,3.79e+16,-6.42e+16,-1600000000000000.0,us,crustal_intraarc_shallow
pde20110221053851050_36,2011-02-21T05:38:50,-72.55,-46.02,17.6,5.0,mwc,271.0,32.0,-20.0,18.0,79.0,-121.0,28.0,132.0,30.0,24.0,47.0,256.0,-1.51e+16,1.94e+16,-4400000000000000.0,900000000000000.0,-3.72e+16,1.59e+16,us,crustal_intraarc_shallow
pde20110604162847680_9,2011-06-04T16:28:48,-72.22,-40.59,21.2,5.0,mwc,162.0,64.0,-165.0,65.0,77.0,-27.0,8.0,116.0,60.0,221.0,28.0,21.0,-1.19e+16,-1.95e+16,3.14e+16,-1.67e+16,-1300000000000000.0,2.84e+16,us,crustal_intraarc_shallow
pde20120607040504520_8,2012-06-07T04:05:04,-70.57,-36.074,8.0,6.0,mww,270.0,70.0,-25.0,9.0,67.0,-158.0,27.61209928914136,140.10792263119498,62.24271560058836,313.75532864813715,2.617152085812072,48.73792138053841,,,,,,,us,crustal_intraarc_shallow
c000nu2x,2014-03-27T23:51:00,-68.98,-29.41,30.5,5.7,mww,177.0,83.0,143.0,272.0,54.0,9.0,30.0,128.0,53.0,348.0,19.0,230.0,3.55e+16,-3.78e+16,2300000000000000.0,-7.39e+16,-2.623e+17,3.394e+17,us,crustal_intraarc_shallow
20008h9r,2017-02-03T00:52:31,-69.7345,-33.1005,19.5,5.4,mww,130.62,55.21,-22.41,233.86,71.75,-143.07,10.0,359.0,49.0,256.0,39.0,97.0,-6.798e+16,1.7209e+17,-1.0411e+17,4.469e+16,6.922e+16,-7630000000000000.0,us,crustal_intraarc_shallow
600063ts,2019-10-28T03:55:06,-69.2265,-30.2734,30.5,5.0,mww,47.77,41.25,150.3,160.98,70.93,52.7,50.0,29.0,35.0,175.0,17.0,278.0,2.2862e+16,1.4639e+16,-3.7501e+16,1.7319e+16,-2.4622e+16,-1.3848e+16,us,crustal_intraarc_shallow
