id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
B120777A,1977-12-07T00:32:36,-67.39,-28.57,124.0,5.5,mwc,148.0,42.0,-82.0,318.0,48.0,-97.0,3.0,53.0,5.0,322.0,84.0,171.0,,,,,,,us,deep_subduction
B010278A,1978-01-02T08:27:40,-71.1,-38.14,126.0,5.5,mwc,93.0,53.0,-9.0,189.0,83.0,-142.0,20.0,315.0,52.0,198.0,31.0,58.0,,,,,,,us,deep_subduction
B012078A,1978-01-20T04:42:57,-70.19,-34.28,132.0,5.6,mwc,183.0,26.0,-98.0,12.0,64.0,-86.0,19.0,99.0,4.0,190.0,70.0,291.0,,,,,,,us,deep_subduction
B032079B,1979-03-20T21:41:21,-71.15,-35.68,91.0,5.4,mwc,141.0,24.0,-158.0,32.0,81.0,-68.0,33.0,103.0,22.0,208.0,49.0,326.0,,,,,,,us,deep_subduction
B062779A,1979-06-27T21:46:25,-68.28,-29.48,115.0,5.6,mwc,284.0,32.0,-43.0,52.0,69.0,-115.0,20.0,161.0,23.0,62.0,59.0,287.0,,,,,,,us,deep_subduction
B122679A,1979-12-26T19:43:37,-71.34,-36.0,92.0,5.6,mwc,199.0,6.0,-66.0,355.0,85.0,-92.0,40.0,87.0,2.0,355.0,50.0,262.0,,,,,,,us,deep_subduction
B071380A,1980-07-13T06:20:30,-70.15,-33.47,103.0,5.7,mwc,102.0,14.0,178.0,195.0,89.0,76.0,44.0,91.0,14.0,195.0,43.0,299.0,,,,,,,us,deep_subduction
C071980A,1980-07-19T11:52:20,-69.68,-29.0,110.0,5.9,mwc,306.0,26.0,-77.0,112.0,65.0,-96.0,20.0,206.0,6.0,114.0,70.0,9.0,,,,,,,us,deep_subduction
B080380A,1980-08-03T03:00:49,-69.99,-35.25,151.0,5.3,mwc,2.0,20.0,93.0,179.0,70.0,89.0,65.0,87.0,1.0,180.0,25.0,270.0,,,,,,,us,deep_subduction
B040681A,1981-04-06T14:34:01,-71.05,-35.37,88.0,5.2,mwc,95.0,33.0,163.0,200.0,81.0,58.0,45.0,78.0,31.0,205.0,29.0,315.0,,,,,,,us,deep_subduction
