id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
b000mztz,1970-01-01T00:00:00,0.0,0.0,13.0,5.1,mwr,43.49,14.88,150.37,162.29,82.71,76.99,51.0,58.0,13.0,164.0,36.0,264.0,1.2539e+16,5371000000000000.0,-1.7911e+16,1.6032e+16,-4.532e+16,-5676000000000000.0,us,forearc
6000e2vk,1970-01-01T00:00:00,0.0,0.0,18.0,4.8,mwr,327.64,24.14,62.41,177.43,68.75,101.73,64.0,107.0,11.0,353.0,23.0,258.0,1.4281e+16,-1423000000000000.0,-1.2858e+16,-1172000000000000.0,-1.5124e+16,4352000000000000.0,us,forearc
6000e2aa,1970-01-01T00:00:00,0.0,0.0,12.0,4.7,mwr,175.51,70.15,79.83,23.35,22.21,116.06,63.0,69.0,10.0,179.0,24.0,273.0,8010000000000000.0,2195000000000000.0,-1.0206e+16,1205000000000000.0,-1.064e+16,-1579000000000000.0,us,forearc
6000diut,1970-01-01T00:00:00,0.0,0.0,46.0,4.9,mwr,357.66,66.28,103.27,147.28,26.99,62.43,66.0,291.0,12.0,172.0,20.0,78.0,2.3505e+16,-2665000000000000.0,-2.0841e+16,2754000000000000.0,2.0858e+16,7051000000000000.0,us,forearc
6000dgd0,1970-01-01T00:00:00,0.0,0.0,62.0,5.1,mwr,328.85,22.48,72.53,167.66,68.61,97.08,66.0,90.0,7.0,345.0,23.0,252.0,4.2545e+16,-1.0173e+16,-3.2372e+16,5511000000000000.0,-4.2562e+16,1.2045e+16,us,forearc
7000cp39,1970-01-01T00:00:00,0.0,0.0,47.0,4.9,mwr,24.38,60.29,105.55,175.06,33.2,64.83,70.0,329.0,13.0,197.0,14.0,103.0,2.2817e+16,-1294000000000000.0,-2.1523e+16,9338000000000000.0,9978000000000000.0,-3089000000000000.0,us,forearc
70008fmr,1970-01-01T00:00:00,0.0,0.0,9.0,5.1,mwr,190.24,81.6,72.13,75.86,19.69,154.3,50.0,80.0,18.0,193.0,34.0,295.0,1.7252e+16,-7132000000000000.0,-1.0119e+16,-7447000000000000.0,-5.6822e+16,-2.093e+16,us,forearc
70006t6h,1970-01-01T00:00:00,0.0,0.0,53.0,5.0,mwr,35.06,45.6,132.02,162.89,57.94,55.64,60.0,19.0,29.0,183.0,7.0,277.0,2.6898e+16,7855000000000000.0,-3.4752e+16,1.3862e+16,-9295000000000000.0,-6818000000000000.0,us,forearc
b000k2e3,1970-01-01T00:00:00,0.0,0.0,20.0,5.4,mwb,346.09,24.93,75.42,182.1,65.92,96.68,68.0,105.0,6.0,359.0,21.0,267.0,1.2574e+17,1.755e+16,-1.4329e+17,-1.032e+16,-1.1936e+17,1.452e+16,us,forearc
1000ghwz,1970-01-01T00:00:00,0.0,0.0,49.0,5.0,mwr,346.26,59.02,63.4,210.46,39.95,126.71,65.0,208.0,23.0,1.0,10.0,95.0,2.8874e+16,8055000000000000.0,-3.6929e+16,-1.0225e+16,1.3389e+16,-6071000000000000.0,us,forearc
7000fbcx,1970-01-01T00:00:00,0.0,0.0,14.0,4.9,mwr,7.25,33.07,100.26,175.06,57.52,83.38,76.0,65.0,6.0,179.0,12.0,270.0,2.7205e+16,1780000000000000.0,-2.8985e+16,2821000000000000.0,-1.2839e+16,-523000000000000.0,us,forearc
2000dutq,1970-01-01T00:00:00,0.0,0.0,26.0,4.9,mwr,181.39,77.22,79.9,40.25,16.24,127.73,57.0,78.0,10.0,184.0,32.0,280.0,1.1956e+16,1932000000000000.0,-1.3888e+16,-54000000000000.0,-2.7194e+16,-5765000000000000.0,us,forearc
2000bkrs,1970-01-01T00:00:00,0.0,0.0,51.0,4.9,mwr,160.03,52.94,72.22,8.06,40.55,112.02,74.0,16.0,14.0,171.0,6.0,263.0,2.4779e+16,2466000000000000.0,-2.7245e+16,6796000000000000.0,-5093000000000000.0,3230000000000000.0,us,forearc
100097jl,1970-01-01T00:00:00,0.0,0.0,21.0,4.9,mwr,19.05,23.04,114.56,172.64,69.15,79.97,64.0,66.0,9.0,176.0,24.0,270.0,1.5455e+16,844000000000000.0,-1.6299e+16,3655000000000000.0,-1.7079e+16,-1743000000000000.0,us,forearc
20009pnk,1970-01-01T00:00:00,0.0,0.0,19.0,4.9,mwr,20.14,42.63,-121.58,240.01,54.76,-64.27,6.0,312.0,21.0,44.0,68.0,206.0,-2.3586e+16,9342000000000000.0,1.4244e+16,1.1533e+16,-3076000000000000.0,1.1896e+16,us,forearc
10008vpd,1970-01-01T00:00:00,0.0,0.0,4.0,5.1,mwr,96.97,48.91,-137.03,335.5,59.09,-50.0,6.0,38.0,33.0,132.0,56.0,300.0,-3.9425e+16,3.1136e+16,8289000000000000.0,-8418000000000000.0,-2.683e+16,-3.6448e+16,us,forearc
10008juc,1970-01-01T00:00:00,0.0,0.0,22.0,4.9,mwr,28.35,30.28,120.14,174.44,64.15,73.66,67.0,54.0,15.0,182.0,18.0,276.0,1.9158e+16,2587000000000000.0,-2.1745e+16,4127000000000000.0,-1.525e+16,-4695000000000000.0,us,forearc
10007pnw,1970-01-01T00:00:00,0.0,0.0,51.0,4.9,mwr,336.42,50.48,78.64,173.94,40.86,103.43,80.0,193.0,9.0,344.0,5.0,74.0,2.5191e+16,522000000000000.0,-2.5713e+16,-4712000000000000.0,3402000000000000.0,7550000000000000.0,us,forearc
10007mrf,1970-01-01T00:00:00,0.0,0.0,21.0,4.9,mwr,186.74,70.5,85.89,18.89,19.91,101.45,64.0,90.0,4.0,188.0,25.0,280.0,1.6504e+16,3650000000000000.0,-2.0154e+16,-2461000000000000.0,-2.3012e+16,-5095000000000000.0,us,forearc
