id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
B012880C,1980-01-28T16:59:22,-76.11,-44.96,33.0,5.4,mwc,195.0,27.0,-56.0,338.0,68.0,-106.0,21.0,80.0,15.0,344.0,64.0,221.0,,,,,,,us,outer_rise
C101681A,1981-10-16T03:25:42,-73.07,-33.13,32.0,7.1,mwc,194.0,34.0,96.0,6.0,56.0,86.0,78.0,262.0,4.0,9.0,11.0,100.0,,,,,,,us,outer_rise
B112883A,1983-11-28T19:10:07,-76.01,-44.95,19.0,5.5,mwc,133.0,18.0,-142.0,7.0,79.0,-76.0,33.0,85.0,14.0,184.0,54.0,294.0,,,,,,,us,outer_rise
B033085A,1985-03-30T13:47:28,-76.4,-45.46,33.0,5.4,mwc,325.0,26.0,-81.0,135.0,64.0,-94.0,19.0,228.0,4.0,137.0,70.0,36.0,,,,,,,us,outer_rise
B042885B,1985-04-28T08:30:32,-75.61,-39.7,33.0,5.9,mwc,46.0,27.0,-101.0,239.0,64.0,-84.0,18.0,325.0,5.0,57.0,71.0,162.0,,,,,,,us,outer_rise
B112886A,1986-11-28T20:34:52,-76.67,-45.12,33.0,5.2,mwc,260.0,90.0,180.0,350.0,90.0,0.0,0.0,215.0,90.0,180.0,0.0,125.0,,,,,,,us,outer_rise
B021487D,1987-02-14T15:44:15,-75.99,-45.71,10.0,5.9,mwc,259.0,76.0,-171.0,167.0,81.0,-14.0,4.0,214.0,74.0,316.0,16.0,123.0,,,,,,,us,outer_rise
B112987A,1987-11-29T07:57:23,-76.44,-45.78,33.0,5.4,mwc,154.0,37.0,-95.0,340.0,53.0,-86.0,8.0,68.0,3.0,158.0,81.0,268.0,,,,,,,us,outer_rise
B031793A,1993-03-17T04:36:01,-74.91,-37.58,30.0,5.6,mwc,224.0,30.0,-37.0,348.0,72.0,-115.0,23.0,96.0,24.0,356.0,56.0,226.0,,,,,,,us,outer_rise
B060193C,1993-06-01T15:53:43,-77.26,-45.74,10.0,5.9,mwc,172.0,73.0,16.0,77.0,75.0,162.0,23.0,34.0,67.0,217.0,1.0,125.0,,,,,,,us,outer_rise
B091795B,1995-09-17T07:25:30,-74.05,-35.56,33.0,5.6,mwc,184.0,42.0,-124.0,46.0,56.0,-63.0,7.0,117.0,22.0,210.0,67.0,10.0,,,,,,,us,outer_rise
B070497E,1997-07-04T23:52:04,-76.31,-45.53,10.0,5.2,mwc,264.0,90.0,-180.0,354.0,90.0,0.0,0.0,219.0,90.0,180.0,0.0,129.0,,,,,,,us,outer_rise
B081299C,1999-08-12T07:27:13,-76.58,-45.62,33.0,5.5,mwc,6.0,40.0,-20.0,111.0,77.0,-128.0,23.0,230.0,37.0,121.0,44.0,344.0,,,,,,,us,outer_rise
pde20010409090057170_11,2001-04-09T09:00:57,-73.109,-32.668,11.0,6.7,mwc,45.0,55.0,-55.0,174.0,48.0,-129.0,41.41718153849125,291.0119686191941,47.39510372777765,94.5824179781522,8.255081883706419,193.65875398657843,,,,,,,us,outer_rise
B102301I,2001-10-23T23:54:24,-75.89,-43.5,33.0,5.1,mwc,232.0,45.0,-27.0,342.0,71.0,-132.0,16.0,101.0,39.0,358.0,47.0,209.0,,,,,,,us,outer_rise
C030302A,2002-03-03T07:16:15,-76.12,-45.84,10.0,5.9,mwc,258.0,83.0,-176.0,168.0,86.0,-7.0,2.0,213.0,82.0,320.0,8.0,123.0,,,,,,,us,outer_rise
C110404C,2004-11-04T08:10:17,-76.55,-45.92,25.0,5.0,mwc,88.0,61.0,-158.0,347.0,71.0,-31.0,7.0,40.0,54.0,139.0,35.0,305.0,,,,,,,us,outer_rise
C110404D,2004-11-04T08:29:16,-76.44,-45.9,25.6,5.2,mwc,82.0,73.0,-172.0,349.0,82.0,-17.0,6.0,36.0,71.0,146.0,17.0,304.0,,,,,,,us,outer_rise
C200504130925A,2005-04-13T09:25:27,-72.85,-33.14,30.0,5.4,mwc,21.0,38.0,-89.0,200.0,52.0,-91.0,7.0,290.0,0.0,200.0,83.0,106.0,,,,,,,us,outer_rise
C200510101607A,2005-10-10T16:07:00,-76.57,-45.62,35.0,5.1,mwc,85.0,46.0,-158.0,339.0,74.0,-46.0,17.0,38.0,42.0,144.0,43.0,291.0,,,,,,,us,outer_rise
C200604281821A,2006-04-28T18:21:55,-76.25,-45.69,10.0,5.3,mwc,76.0,75.0,-179.0,346.0,89.0,-15.0,10.0,32.0,75.0,161.0,12.0,300.0,,,,,,,us,outer_rise
