id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
B122178B,1978-12-21T01:13:55,-72.46,-36.29,47.0,5.8,mwc,101.0,34.0,52.0,324.0,64.0,112.0,64.0,271.0,20.0,134.0,16.0,38.0,,,,,,,us,subduction_interface
B070679A,1979-07-06T02:01:16,-71.32,-32.15,45.0,5.7,mwc,166.0,39.0,70.0,11.0,54.0,105.0,75.0,328.0,12.0,182.0,8.0,90.0,,,,,,,us,subduction_interface
B021480A,1980-02-14T14:07:01,-71.42,-31.77,45.0,5.1,mwc,226.0,41.0,142.0,346.0,66.0,55.0,55.0,211.0,32.0,2.0,14.0,101.0,,,,,,,us,subduction_interface
B032980D,1980-03-29T17:49:10,-73.5,-37.93,33.0,5.4,mwc,13.0,20.0,106.0,176.0,71.0,85.0,63.0,78.0,5.0,178.0,26.0,271.0,,,,,,,us,subduction_interface
B061180C,1980-06-11T14:21:18,-71.65,-32.72,35.0,5.8,mwc,1.0,26.0,87.0,184.0,64.0,91.0,71.0,97.0,1.0,3.0,19.0,273.0,,,,,,,us,subduction_interface
B061184A,1984-06-11T02:05:33,-71.21,-30.72,45.0,6.2,mwc,357.0,36.0,94.0,171.0,54.0,87.0,81.0,68.0,2.0,173.0,9.0,264.0,,,,,,,us,subduction_interface
B110884B,1984-11-08T06:32:55,-71.36,-30.67,42.0,5.5,mwc,359.0,40.0,87.0,182.0,50.0,92.0,84.0,109.0,2.0,1.0,5.0,271.0,,,,,,,us,subduction_interface
B022185B,1985-02-21T18:53:08,-71.72,-33.28,33.0,5.7,mwc,29.0,31.0,127.0,167.0,66.0,70.0,63.0,45.0,18.0,176.0,19.0,272.0,,,,,,,us,subduction_interface
B030485A,1985-03-04T00:32:21,-71.76,-33.23,33.0,7.3,mwc,234.0,32.0,155.0,346.0,77.0,60.0,49.0,223.0,29.0,353.0,26.0,99.0,,,,,,,us,subduction_interface
B030485B,1985-03-04T06:06:57,-71.86,-33.58,33.0,6.3,mwc,215.0,24.0,143.0,340.0,76.0,70.0,55.0,225.0,19.0,345.0,28.0,86.0,,,,,,,us,subduction_interface
B030485C,1985-03-04T13:49:29,-71.96,-33.95,33.0,5.7,mwc,26.0,24.0,128.0,165.0,71.0,74.0,61.0,52.0,15.0,170.0,25.0,267.0,,,,,,,us,subduction_interface
B030485E,1985-03-04T19:03:07,-71.6,-32.75,33.0,6.1,mwc,16.0,29.0,111.0,172.0,63.0,79.0,70.0,58.0,10.0,177.0,17.0,270.0,,,,,,,us,subduction_interface
C031785A,1985-03-17T10:41:37,-71.56,-32.66,33.0,6.5,mwc,356.0,26.0,91.0,175.0,64.0,90.0,71.0,84.0,0.0,175.0,19.0,265.0,,,,,,,us,subduction_interface
C031985A,1985-03-19T04:01:06,-71.76,-33.28,33.0,6.6,mwc,355.0,24.0,90.0,175.0,66.0,90.0,69.0,85.0,0.0,355.0,21.0,265.0,,,,,,,us,subduction_interface
B032385A,1985-03-23T13:45:19,-72.11,-34.28,33.0,5.7,mwc,26.0,21.0,106.0,189.0,70.0,84.0,65.0,89.0,6.0,191.0,24.0,284.0,,,,,,,us,subduction_interface
B040385B,1985-04-03T13:06:19,-71.61,-32.62,33.0,6.1,mwc,18.0,21.0,87.0,201.0,69.0,91.0,66.0,112.0,1.0,20.0,24.0,290.0,,,,,,,us,subduction_interface
B051985C,1985-05-19T18:09:15,-71.28,-30.24,39.0,6.2,mwc,359.0,35.0,96.0,172.0,55.0,86.0,79.0,66.0,3.0,174.0,10.0,265.0,,,,,,,us,subduction_interface
B061185A,1985-06-11T11:12:28,-71.68,-32.48,33.0,5.5,mwc,14.0,28.0,103.0,180.0,63.0,83.0,71.0,76.0,6.0,183.0,18.0,275.0,,,,,,,us,subduction_interface
B081285A,1985-08-12T00:04:50,-73.49,-38.42,33.0,6.2,mwc,16.0,15.0,111.0,174.0,76.0,84.0,59.0,76.0,5.0,175.0,31.0,268.0,,,,,,,us,subduction_interface
B050588C,1988-05-05T17:39:17,-71.46,-29.32,33.0,5.4,mwc,0.0,3.0,53.0,217.0,87.0,92.0,48.0,129.0,2.0,36.0,42.0,305.0,,,,,,,us,subduction_interface
B042290A,1990-04-22T20:25:25,-73.36,-38.01,33.0,5.6,mwc,347.0,16.0,81.0,177.0,74.0,93.0,61.0,91.0,3.0,356.0,29.0,264.0,,,,,,,us,subduction_interface
B041092B,1992-04-10T09:33:07,-71.96,-33.96,32.0,5.1,mwc,248.0,57.0,-172.0,154.0,83.0,-33.0,18.0,205.0,56.0,323.0,28.0,106.0,,,,,,,us,subduction_interface
B102992F,1992-10-29T14:39:17,-71.1,-29.26,46.0,5.3,mwc,130.0,17.0,-11.0,231.0,87.0,-107.0,40.0,336.0,17.0,232.0,46.0,124.0,,,,,,,us,subduction_interface
B110492E,1992-11-04T21:32:36,-71.55,-31.63,37.0,6.0,mwc,0.0,28.0,93.0,177.0,62.0,89.0,73.0,84.0,1.0,177.0,17.0,268.0,,,,,,,us,subduction_interface
B111792B,1992-11-17T04:24:16,-71.13,-30.58,54.0,5.3,mwc,0.0,32.0,106.0,161.0,60.0,80.0,73.0,47.0,8.0,166.0,14.0,258.0,,,,,,,us,subduction_interface
B071793A,1993-07-17T01:35:37,-71.5,-29.93,33.0,5.7,mwc,342.0,10.0,46.0,207.0,83.0,97.0,52.0,125.0,7.0,26.0,37.0,290.0,,,,,,,us,subduction_interface
B091794D,1994-09-17T12:22:14,-71.67,-32.19,28.0,5.7,mwc,11.0,26.0,83.0,199.0,64.0,93.0,71.0,117.0,3.0,18.0,19.0,287.0,,,,,,,us,subduction_interface
B092294C,1994-09-22T14:24:34,-71.86,-32.22,27.0,5.4,mwc,61.0,36.0,21.0,314.0,78.0,124.0,46.0,259.0,33.0,126.0,25.0,18.0,,,,,,,us,subduction_interface
B052895F,1995-05-28T19:59:12,-71.1,-29.05,42.0,5.5,mwc,170.0,19.0,88.0,352.0,71.0,91.0,64.0,264.0,1.0,172.0,26.0,82.0,,,,,,,us,subduction_interface
B103195A,1995-10-31T01:55:57,-71.32,-28.96,33.0,5.7,mwc,20.0,11.0,128.0,162.0,81.0,83.0,53.0,64.0,7.0,163.0,36.0,258.0,,,,,,,us,subduction_interface
pde19960909002039120_39,1996-09-09T00:20:39,-71.56,-31.9,40.0,6.0,mwb,351.0,52.0,63.0,211.0,45.0,120.0,9.561831584790824,18.808919209886824,45.38547168006586,118.63942839777286,43.03202117094225,279.76100851755336,,,,,,,us,subduction_interface
pde19970706095400760_19,1997-07-06T09:54:00,-71.872,-30.058,23.0,6.8,mwc,350.0,25.0,90.0,170.0,65.0,90.0,45.000000000000014,80.0,4.770832022195277e-15,170.0,44.99999999999999,260.0,,,,,,,us,subduction_interface
pde19970719122257310_26,1997-07-19T12:22:57,-71.684,-29.281,26.0,5.9,mwc,315.0,55.0,60.0,180.0,45.0,126.0,12.860679260604114,347.81556423275043,44.81098549602642,90.92472418042564,42.34665367452149,245.805427089543,,,,,,,us,subduction_interface
pde19980401224256900_9,1998-04-01T22:42:56,-74.874,-40.316,9.0,6.7,mwc,350.0,65.0,-90.0,170.0,25.0,-90.0,44.99999999999999,260.0,3.1805546814635176e-15,170.0,45.000000000000014,80.0,,,,,,,us,subduction_interface
B071898D,1998-07-18T09:57:13,-70.84,-28.31,46.9,5.4,mwc,8.0,17.0,119.0,158.0,75.0,82.0,59.0,57.0,8.0,161.0,29.0,255.0,,,,,,,us,subduction_interface
pde19980729071424080_51,1998-07-29T07:14:24,-71.286,-32.312,51.0,6.4,mwc,325.0,65.0,75.0,177.0,29.0,119.0,38.89253067578455,27.542566630544517,20.40868478590897,135.0086949330978,44.09390416644857,246.1385814718389,,,,,,,us,subduction_interface
pde19980903173758240_27,1998-09-03T17:37:58,-71.715,-29.45,27.0,6.6,mwc,215.0,70.0,100.0,8.0,22.0,64.0,42.91960047322896,321.0683347759985,12.168370968376864,219.5013658114048,44.5328763238511,117.25344272790552,,,,,,,us,subduction_interface
B122698A,1998-12-26T11:20:22,-74.85,-40.75,10.0,5.5,mwc,187.0,18.0,-89.0,6.0,72.0,-90.0,27.0,96.0,0.0,6.0,63.0,275.0,,,,,,,us,subduction_interface
B110399D,1999-11-03T13:59:21,-73.38,-38.03,33.0,5.3,mwc,28.0,7.0,132.0,166.0,85.0,85.0,50.0,71.0,5.0,167.0,39.0,261.0,,,,,,,us,subduction_interface
B120499G,1999-12-04T17:06:51,-71.22,-28.5,34.3,5.6,mwc,219.0,43.0,131.0,349.0,59.0,59.0,62.0,208.0,27.0,6.0,9.0,101.0,,,,,,,us,subduction_interface
B022100C,2000-02-21T14:36:22,-71.46,-29.81,33.0,5.1,mwc,196.0,31.0,114.0,349.0,62.0,76.0,70.0,229.0,12.0,355.0,16.0,89.0,,,,,,,us,subduction_interface
