id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
B100577B,1977-10-05T04:34:09,-70.74,-28.25,52.0,5.5,mwc,16.0,36.0,113.0,168.0,57.0,74.0,73.0,38.0,13.0,177.0,11.0,270.0,,,,,,,us,subduction_intraslab
B021778B,1978-02-17T06:43:30,-71.02,-28.57,55.0,5.3,mwc,141.0,23.0,35.0,18.0,77.0,109.0,54.0,311.0,18.0,194.0,30.0,93.0,,,,,,,us,subduction_intraslab
B042679A,1979-04-26T02:00:09,-71.9,-33.82,38.0,5.9,mwc,26.0,25.0,124.0,170.0,70.0,76.0,63.0,57.0,13.0,175.0,23.0,271.0,,,,,,,us,subduction_intraslab
19791011085556,1979-10-11T08:56:02,-71.55,-33.41,44.0,5.4,mwc,13.0,24.0,96.0,187.0,66.0,87.0,69.0,92.0,2.0,188.0,21.0,279.0,9.57e+16,1.85e+16,-1.142e+17,-1e+16,-9.56e+16,-2.26e+16,us,subduction_intraslab
B032380A,1980-03-23T23:33:10,-71.54,-29.95,36.0,5.4,mwc,1.0,37.0,75.0,200.0,55.0,101.0,77.0,148.0,9.0,14.0,9.0,282.0,,,,,,,us,subduction_intraslab
B032980B,1980-03-29T06:41:50,-75.2,-43.08,33.0,6.1,mwc,185.0,14.0,-119.0,34.0,78.0,-83.0,32.0,119.0,7.0,213.0,57.0,313.0,,,,,,,us,subduction_intraslab
B032381A,1981-03-23T19:28:10,-71.89,-33.66,46.0,6.4,mwc,335.0,5.0,73.0,173.0,85.0,91.0,50.0,84.0,1.0,352.0,40.0,261.0,,,,,,,us,subduction_intraslab
B091981B,1981-09-19T11:40:56,-74.81,-39.08,30.0,5.5,mwc,206.0,38.0,-53.0,342.0,61.0,-116.0,12.0,90.0,22.0,355.0,65.0,207.0,,,,,,,us,subduction_intraslab
C110781A,1981-11-07T03:29:50,-71.37,-32.23,64.0,6.9,mwc,208.0,5.0,-47.0,345.0,86.0,-94.0,41.0,78.0,4.0,345.0,49.0,251.0,,,,,,,us,subduction_intraslab
C060182A,1982-06-01T04:14:15,-74.99,-41.63,32.0,6.4,mwc,160.0,33.0,-130.0,25.0,65.0,-67.0,17.0,99.0,21.0,195.0,63.0,332.0,,,,,,,us,subduction_intraslab
B060582A,1982-06-05T00:17:00,-75.21,-43.1,33.0,5.3,mwc,191.0,29.0,-87.0,8.0,61.0,-91.0,16.0,99.0,1.0,9.0,74.0,275.0,,,,,,,us,subduction_intraslab
B090682C,1982-09-06T11:13:26,-71.46,-32.14,73.0,5.3,mwc,68.0,21.0,-166.0,326.0,85.0,-69.0,37.0,38.0,20.0,144.0,46.0,257.0,,,,,,,us,subduction_intraslab
B102682A,1982-10-26T03:24:30,-71.26,-29.67,69.0,5.7,mwc,100.0,15.0,-154.0,345.0,84.0,-77.0,37.0,63.0,13.0,164.0,50.0,270.0,,,,,,,us,subduction_intraslab
B050983A,1983-05-09T10:58:26,-74.84,-40.87,33.0,6.1,mwc,358.0,41.0,-118.0,213.0,54.0,-68.0,7.0,287.0,18.0,19.0,71.0,177.0,,,,,,,us,subduction_intraslab
B091483A,1983-09-14T00:47:04,-73.08,-36.42,37.0,5.4,mwc,23.0,16.0,131.0,161.0,78.0,79.0,56.0,57.0,11.0,163.0,32.0,260.0,,,,,,,us,subduction_intraslab
B041984B,1984-04-19T08:28:53,-71.9,-31.8,31.0,5.7,mwc,19.0,16.0,120.0,168.0,76.0,82.0,58.0,68.0,8.0,170.0,31.0,265.0,,,,,,,us,subduction_intraslab
B052584B,1984-05-25T13:20:23,-75.13,-42.62,31.0,5.4,mwc,185.0,27.0,-98.0,14.0,63.0,-86.0,18.0,101.0,4.0,192.0,71.0,294.0,,,,,,,us,subduction_intraslab
