id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
7000efb4,1970-01-01T00:00:00,0.0,0.0,80.0,4.9,mwr,359.63,35.0,-88.18,177.4,55.02,-91.28,10.0,268.0,1.0,178.0,80.0,82.0,-2.7689e+16,-1660000000000000.0,2.9349e+16,-813000000000000.0,1.0378e+16,-822000000000000.0,us,unclassified
6000dgd0,1970-01-01T00:00:00,0.0,0.0,62.0,5.1,mwr,328.85,22.48,72.53,167.66,68.61,97.08,66.0,90.0,7.0,345.0,23.0,252.0,4.2545e+16,-1.0173e+16,-3.2372e+16,5511000000000000.0,-4.2562e+16,1.2045e+16,us,unclassified
6000c8ev,1970-01-01T00:00:00,0.0,0.0,103.0,4.9,mwr,356.69,34.04,-122.06,213.78,61.68,-70.27,15.0,290.0,17.0,24.0,67.0,162.0,-2.0184e+16,-1385000000000000.0,2.1568e+16,1.0637e+16,9050000000000000.0,6964000000000000.0,us,unclassified
70009awg,1970-01-01T00:00:00,0.0,0.0,78.0,4.9,mwr,45.57,68.44,-109.82,270.01,28.97,-49.37,21.0,150.0,18.0,53.0,61.0,285.0,-1.5224e+16,1.523e+16,-5000000000000.0,-9544000000000000.0,-1.3483e+16,7467000000000000.0,us,unclassified
70006t6h,1970-01-01T00:00:00,0.0,0.0,53.0,5.0,mwr,35.06,45.6,132.02,162.89,57.94,55.64,60.0,19.0,29.0,183.0,7.0,277.0,2.6898e+16,7855000000000000.0,-3.4752e+16,1.3862e+16,-9295000000000000.0,-6818000000000000.0,us,unclassified
700039yk,1970-01-01T00:00:00,0.0,0.0,84.0,4.9,mwr,327.96,64.22,-155.28,226.64,67.88,-28.0,2.0,278.0,55.0,11.0,35.0,186.0,-9334000000000000.0,-1.8075e+16,2.7409e+16,1.31e+16,-267000000000000.0,5935000000000000.0,us,unclassified
2000bkrs,1970-01-01T00:00:00,0.0,0.0,51.0,4.9,mwr,160.03,52.94,72.22,8.06,40.55,112.02,74.0,16.0,14.0,171.0,6.0,263.0,2.4779e+16,2466000000000000.0,-2.7245e+16,6796000000000000.0,-5093000000000000.0,3230000000000000.0,us,unclassified
20008uxc,1970-01-01T00:00:00,0.0,0.0,87.0,5.0,mwr,250.97,28.14,-1.0,341.85,89.53,-118.14,38.0,97.0,28.0,342.0,39.0,226.0,909000000000000.0,-1.5641e+16,1.4733e+16,5517000000000000.0,-3.4021e+16,1.1512e+16,us,unclassified
10007pnw,1970-01-01T00:00:00,0.0,0.0,51.0,4.9,mwr,336.42,50.48,78.64,173.94,40.86,103.43,80.0,193.0,9.0,344.0,5.0,74.0,2.5191e+16,522000000000000.0,-2.5713e+16,-4712000000000000.0,3402000000000000.0,7550000000000000.0,us,unclassified
b000jdpj,1970-01-01T00:00:00,0.0,0.0,111.0,4.9,mwr,337.19,42.72,1.7,245.94,88.85,132.71,32.0,190.0,43.0,65.0,30.0,302.0,2883000000000000.0,1.037e+16,-1.3253e+16,-1.6512e+16,-1.5621e+16,-1.6941e+16,us,unclassified
B022277A,1977-02-22T14:10:08,-75.29,-45.61,33.0,5.4,mwc,261.0,76.0,-168.0,168.0,78.0,-14.0,2.0,215.0,72.0,310.0,18.0,124.0,,,,,,,us,unclassified
C200605300250A,2006-05-30T02:50:09,-75.52,-45.76,36.3,5.7,mwc,78.0,71.0,-175.0,346.0,85.0,-19.0,9.0,33.0,71.0,151.0,17.0,300.0,,,,,,,us,unclassified
C200804110129A,2008-04-11T01:29:45,-75.22,-45.77,10.0,5.1,mwc,80.0,67.0,-165.0,343.0,76.0,-24.0,6.0,33.0,62.0,135.0,27.0,300.0,,,,,,,us,unclassified
C201007092257A,2010-07-09T22:57:17,-75.59,-46.06,14.9,5.3,mwc,79.0,59.0,-176.0,347.0,86.0,-31.0,19.0,37.0,58.0,161.0,24.0,298.0,,,,,,,us,unclassified
7000lhnw,2023-12-09T04:49:51,-75.6818,-45.7598,13.5,5.2,mww,258.15,86.82,177.25,348.3,87.25,3.19,4.0,213.0,86.0,29.0,0.0,123.0,-2.2894e+16,4.3735e+16,-2.0841e+16,-6971000000000000.0,4862000000000000.0,-7.4131e+16,us,unclassified
