id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
B010278A,1978-01-02T08:27:43,-71.61,-37.96,144.0,5.5,mw,93.0,53.0,-9.0,189.0,83.0,-142.0,20.0,315.0,52.0,198.0,31.0,58.0,-1.84e+16,4.66e+16,-2.82e+16,-1.97e+16,1.21e+17,1.454e+17,gcmt,gmt:010278A,deep
B012078A,1978-01-20T04:43:03,-70.04,-34.55,109.3,5.7,mw,183.0,26.0,-98.0,12.0,64.0,-86.0,19.0,99.0,4.0,190.0,70.0,291.0,-2.592e+17,4.56e+16,2.136e+17,-5.36e+16,-1.819e+17,1.94e+16,gcmt,gmt:012078A,deep
B032079B,1979-03-20T21:41:27,-71.42,-35.79,122.7,5.5,mw,141.0,24.0,-158.0,32.0,81.0,-68.0,33.0,103.0,22.0,208.0,49.0,326.0,-4.52e+16,-2.82e+16,7.35e+16,-8.35e+16,-1.012e+17,-1.7399999999999998e+16,gcmt,gmt:032079B,deep
B062779A,1979-06-27T21:46:30,-68.56,-29.58,141.2,5.6,mw,284.0,32.0,-43.0,52.0,69.0,-115.0,20.0,161.0,23.0,62.0,59.0,287.0,-1.935e+17,2.0830000000000003e+17,-1.48e+16,-1.087e+17,-1.797e+17,2.85e+16,gcmt,,deep
B122679A,1979-12-26T19:43:42,-71.5,-35.9,110.8,5.6,mw,199.0,6.0,-66.0,355.0,85.0,-92.0,40.0,87.0,2.0,355.0,50.0,262.0,-2.66e+16,-4.67e+16,7.33e+16,2.32e+16,-2.625e+17,-100000000000000.0,gcmt,gmt:122679A,deep
B071380A,1980-07-13T06:20:37,-70.49,-33.47,113.4,5.6,mw,102.0,14.0,178.0,195.0,89.0,76.0,44.0,91.0,14.0,195.0,43.0,299.0,6.870000000000001e+16,-1.682e+17,9.95e+16,-4.32e+16,-3.728e+17,-3.1e+16,gcmt,gmt:071380A,deep
C071980A,1980-07-19T11:52:29,-69.89,-29.0,129.3,6.1,mw,306.0,26.0,-77.0,112.0,65.0,-96.0,20.0,206.0,6.0,114.0,70.0,9.0,-8.087e+17,5.889e+17,2.198e+17,-6.221e+17,1.875e+17,-3.052e+17,gcmt,,deep
B080380A,1980-08-03T03:00:49,-69.99,-35.25,151.0,5.3,mw,2.0,20.0,93.0,179.0,70.0,89.0,65.0,87.0,1.0,180.0,25.0,270.0,,,,,,,us,gmt:080380A,deep
B040681A,1981-04-06T14:34:09,-70.81,-35.36,112.8,5.3,mw,95.0,33.0,163.0,200.0,81.0,58.0,45.0,78.0,31.0,205.0,29.0,315.0,2.323e+16,-2.948e+16,6250000000000000.0,-2.116e+16,-6.902999999999999e+16,-4.644999999999999e+16,gcmt,gmt:040681A,deep
B121581A,1981-12-15T12:32:02,-71.16,-36.13,104.6,5.2,mw,157.0,10.0,-61.0,308.0,81.0,-95.0,36.0,42.0,5.0,309.0,54.0,212.0,-1.102e+16,4370000000000000.0,6650000000000000.0,3.461e+16,-2.7e+16,-1.2609999999999998e+16,gcmt,gmt:121581A,deep
