id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
B022277A,1977-02-22T14:10:08,-75.29,-45.61,33.0,5.4,Mw,261.0,76.0,-168.0,168.0,78.0,-14.0,2.0,215.0,72.0,310.0,18.0,124.0,,,,,,,USGS,OTHER:080485B;OTHER:081299C;OTHER:110404C;OTHER:110404D;OTHER:112886A;OTHER:112987A;OTHER:200510101607A;OTHER:200604281821A;OTHER:200605292219A;OTHER:200605300250A;OTHER:200610071632A;OTHER:200709220801A;OTHER:200710161337A;OTHER:200804110129A;OTHER:200906170705A;OTHER:200906290307A;OTHER:200909120356A;OTHER:201003230234A;OTHER:201007092257A;OTHER:201104040754A;OTHER:201110192045A;OTHER:201112161202A;OTHER:201112161254A;OTHER:201112221506A;OTHER:201201050054A;OTHER:201211120507A;OTHER:201211121055A;OTHER:201211130310A;OTHER:201211130431A;OTHER:201304130919A;OTHER:201305211251A;OTHER:201305211351A;OTHER:201312292008A;OTHER:201403021012A;OTHER:201403021114A;OTHER:201403021618A;OTHER:201403021703A;OTHER:201602192150A;OTHER:201602211337A;OTHER:201603271201A;OTHER:201608231447A;OTHER:201705270738A;OTHER:201708182031A;OTHER:201710011648A;OTHER:201806140627A;OTHER:201809110049A;OTHER:201810011511A;OTHER:201811062122A;OTHER:201903161754A;OTHER:202004010355A;OTHER:202004010409A;OTHER:202004010412A;OTHER:202012260147A;OTHER:202012260219A;OTHER:202101191158A;OTHER:202103100153A;OTHER:202106021447A;OTHER:202110181832A;OTHER:202110182223A;OTHER:202209281513A;OTHER:202209300615A;OTHER:202212232003A;OTHER:202212300519A;OTHER:202303110235A;OTHER:202312090449A;OTHER:202312120100A;OTHER:202409030116A;OTHER:202409030121A;OTHER:202502222220A;OTHER:202502241226A,forearc
Z112377A,1977-11-23T09:26:48,-67.69,-31.22,20.8,7.4,Mw,183.0,44.0,90.0,4.0,46.0,90.0,89.0,289.0,0.0,184.0,1.0,94.0,1.855e+20,8e+17,-1.863e+20,1.3e+18,6.5e+18,-1.19e+19,GCMT,,forearc
B112477A,1977-11-24T18:20:20,-68.05,-31.53,46.5,5.7,Mw,190.0,34.0,91.0,8.0,56.0,89.0,79.0,275.0,1.0,9.0,11.0,99.0,2.04e+17,1.0049999999999998e+17,-3.046e+17,1.51e+16,1.08e+17,-6.4e+16,GCMT,OTHER:011498D;OTHER:011778A;OTHER:022102D;OTHER:040980B;OTHER:042702B;OTHER:052703D;OTHER:060104D;OTHER:060798B;OTHER:070202D;OTHER:080499C;OTHER:081186E;OTHER:082178A;OTHER:083079A;OTHER:090490F;OTHER:102183A;OTHER:102485A;OTHER:102904B;OTHER:103093E;OTHER:110884E;OTHER:111080A;OTHER:112477A;OTHER:112798D;OTHER:112877B;OTHER:112877C;OTHER:120191C;OTHER:120402F;OTHER:120577B;OTHER:120677A;OTHER:121077B;OTHER:121198B;OTHER:121202A;OTHER:122580B;OTHER:122602C;OTHER:122992C;OTHER:200505191556A;OTHER:200609170934A;OTHER:200609242108A;OTHER:200703201759A;OTHER:200710270116A;OTHER:200812201707A;OTHER:200903111306A;OTHER:200905081344A;OTHER:201001181228A;OTHER:201201181135A;OTHER:201208041905A;OTHER:201209110635A;OTHER:201312100051A;OTHER:201401150838A;OTHER:201406082019A;OTHER:201410061203A;OTHER:201602260852A;OTHER:201611202057A;OTHER:201612120256A;OTHER:201709231725A;OTHER:201711291635A;OTHER:201801282353A;OTHER:201805282059A;OTHER:201811020820A;OTHER:201909140515A;OTHER:201910280355A;OTHER:202012030237A;OTHER:202101190246A;OTHER:202204030516A;OTHER:202410202259A,forearc
B112877B,1977-11-28T04:19:39,-68.21,-32.02,33.1,5.4,Mw,150.0,52.0,27.0,43.0,69.0,139.0,43.0,0.0,45.0,200.0,10.0,100.0,1.298e+17,1.472e+17,-2.77e+17,1.333e+17,5.460000000000001e+16,-5.27e+16,GCMT,,forearc
B112877C,1977-11-28T06:31:38,-67.64,-31.67,15.0,5.8,Mw,182.0,21.0,106.0,345.0,70.0,84.0,64.0,246.0,6.0,347.0,25.0,80.0,1.174e+18,2.18e+17,-1.391e+18,-4.24e+17,1.488e+18,2.12e+17,GCMT,,forearc
B120577B,1977-12-05T15:43:27,-67.7,-30.97,32.0,5.7,Mw,103.0,65.0,-5.0,195.0,86.0,-154.0,15.0,326.0,64.0,203.0,21.0,61.0,,,,,,,USGS,OTHER:041504G,forearc
B120577B,1977-12-05T15:43:35,-68.22,-31.57,32.0,5.6,Mw,103.0,65.0,-5.0,195.0,86.0,-154.0,15.0,326.0,64.0,203.0,21.0,61.0,2.46e+16,1.995e+17,-2.241e+17,-2.25e+16,2.3250000000000003e+17,3.903e+17,GCMT,,forearc
B120677A,1977-12-06T17:05:16,-68.11,-31.43,19.0,5.9,Mw,181.0,37.0,82.0,11.0,54.0,96.0,80.0,306.0,5.0,187.0,8.0,97.0,6.121e+17,2.788e+17,-8.909000000000001e+17,5.540000000000001e+16,2.254e+17,-1.3700000000000002e+17,GCMT,,forearc
B121077B,1977-12-10T07:11:56,-67.64,-31.19,39.0,5.5,Mw,199.0,29.0,117.0,348.0,65.0,76.0,67.0,232.0,13.0,355.0,18.0,89.0,,,,,,,USGS,,forearc
B011778A,1978-01-17T11:33:21,-68.08,-31.53,23.0,5.7,Mw,142.0,66.0,12.0,47.0,79.0,156.0,25.0,2.0,64.0,203.0,8.0,96.0,9.75e+16,8.938e+17,-9.913e+17,4.83e+17,1.0940000000000002e+17,-1.401e+17,GCMT,,forearc
