id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,duplicate_id,class
B121583A,1983-12-15T04:22:28,-70.28,-33.09,55.0,6.0,mwc,202.0,21.0,-78.0,9.0,69.0,-95.0,24.0,102.0,4.0,10.0,65.0,271.0,,,,,,,us,44_us,crustal_intraarc_deep
457546,1987-09-13T20:08:51,-69.971,-34.333,33.0,6.0,mw,44.0,69.0,173.0,136.0,83.0,21.0,20.0,2.0,68.0,153.0,10.0,268.0,9000000000.0,91000000000.0,-99000000000.0,34000000000.0,-19000000000.0,0.0,neic,98_neic,crustal_intraarc_deep
B022489C,1989-02-24T12:36:59,-70.98,-38.42,33.0,5.2,mwc,110.0,62.0,23.0,9.0,70.0,150.0,35.0,327.0,54.0,159.0,5.0,61.0,,,,,,,us,104_us,crustal_intraarc_deep
B031196C,1996-03-11T11:56:11,-71.45,-42.34,134.4,5.2,mw,208.0,13.0,40.0,79.0,82.0,100.0,52.0,0.0,10.0,257.0,36.0,160.0,1.55e+16,-4.06e+16,2.51e+16,1.113e+17,2.84e+16,-3.69e+16,gcmt,148_gcmt,crustal_intraarc_deep
B081496F,1996-08-14T21:23:49,-72.81,-42.36,33.0,5.0,mw,215.0,29.0,-11.0,314.0,85.0,-119.0,33.0,69.0,29.0,317.0,43.0,196.0,-6950000000000000.0,-3.253e+16,3.948e+16,3.276e+16,-5.418999999999999e+16,-2.383e+16,gcmt,150_gcmt,crustal_intraarc_deep
B032799B,1999-03-27T11:13:34,-71.75,-40.04,33.0,5.4,mwc,174.0,72.0,174.0,266.0,85.0,18.0,17.0,132.0,71.0,282.0,9.0,39.0,,,,,,,us,180_us,crustal_intraarc_deep
B051099A,1999-05-10T08:47:25,-69.16,-30.4,65.2,5.2,mwc,119.0,53.0,15.0,20.0,78.0,142.0,35.0,333.0,50.0,186.0,17.0,75.0,,,,,,,us,371_us,crustal_intraarc_deep
B051099A,1999-05-10T08:47:26,-69.05,-29.51,67.5,5.2,mw,119.0,53.0,15.0,20.0,78.0,142.0,35.0,333.0,50.0,186.0,17.0,75.0,2.061e+16,3.323e+16,-5.385e+16,1.623e+16,3.3e+16,3.402e+16,gcmt,371_gcmt,crustal_intraarc_deep
200701280253A,2007-01-28T02:53:00,-73.69,-45.39,47.0,5.2,mw,104.0,76.0,1.0,14.0,89.0,166.0,11.0,328.0,,,9.0,60.0,,,,,,,gmt,475_gmt,crustal_intraarc_deep
C200701280253A,2007-01-28T02:53:20,-72.32,-45.16,49.7,5.2,mwc,104.0,76.0,1.0,14.0,89.0,166.0,10.0,328.0,76.0,190.0,9.0,59.0,,,,,,,us,475_us,crustal_intraarc_deep
11931187,2007-04-21T17:53:46,-72.648,-45.243,36.7,6.2,mw,93.0,87.0,-1.0,183.0,89.0,-177.0,1.0,318.0,87.0,203.0,3.0,48.0,-25000000000.0,40000000000.0,-15000000000.0,-2000000000.0,13000000000.0,248000000000.0,neic,488_neic,crustal_intraarc_deep
C200704211753A,2007-04-21T17:53:46,-72.65,-45.24,36.7,6.2,mwc,84.0,86.0,2.0,354.0,88.0,176.0,5.0,309.0,85.0,145.0,1.0,39.0,,,,,,,us,488_us,crustal_intraarc_deep
200903111306A,2009-03-11T13:06:00,-69.29,-31.98,37.0,5.3,mw,190.0,44.0,109.0,344.0,49.0,72.0,77.0,187.0,,,3.0,87.0,,,,,,,gmt,525_gmt,crustal_intraarc_deep
C200903111306A,2009-03-11T13:06:56,-69.29,-31.98,36.8,5.5,mw,190.0,44.0,109.0,344.0,49.0,72.0,76.0,186.0,13.0,356.0,2.0,87.0,1.03e+17,1.97e+16,-1.23e+17,-2.14e+16,8000000000000000.0,7800000000000000.0,gcmt,525_gcmtb,crustal_intraarc_deep
C200903111306A,2009-03-11T13:06:56,-69.29,-31.98,36.8,5.5,mw,190.0,44.0,109.0,344.0,49.0,72.0,76.0,186.0,13.0,356.0,2.0,87.0,1.03e+17,1.97e+16,-1.23e+17,-2.14e+16,8000000000000000.0,7800000000000000.0,gcmt,525_gcmt,crustal_intraarc_deep
b000tq1p,2015-02-17T14:36:01,-70.42,-32.38,60.5,5.4,mww,149.0,82.0,169.0,241.0,79.0,8.0,13.0,105.0,77.0,295.0,2.0,195.0,2.71e+16,-1.372e+17,1.101e+17,400000000000000.0,-2.56e+16,7.18e+16,us,874_us,crustal_intraarc_deep
606732299,2015-02-17T14:36:01,-70.42,-32.38,60.5,5.4,mw,149.0,82.0,169.0,241.0,79.0,8.0,13.0,105.0,77.0,295.0,2.0,195.0,2710000000.0,-13720000000.000002,11010000000.0,40000000.0,-2560000000.0,7180000000.0,neic,874_neic,crustal_intraarc_deep
615010353,2016-11-04T16:20:50,-70.65,-35.08,90.5,6.3,mw,36.0,71.0,-74.0,176.0,24.0,-127.0,25.0,114.0,15.0,211.0,61.0,329.0,-229600000000.0,-2500000000.0,232100000000.0,-201300000000.0,-208500000000.0,65800000000.0,neic,1022_neic,crustal_intraarc_deep
1000744u,2016-11-04T16:20:50,-70.65,-35.08,90.5,6.3,mww,36.0,71.0,-74.0,176.0,24.0,-127.0,25.0,114.0,15.0,211.0,61.0,329.0,-2.296e+18,-2.5e+16,2.321e+18,-2.013e+18,-2.085e+18,6.58e+17,us,1022_us,crustal_intraarc_deep
610655584,2017-05-29T14:57:53,-71.6896,-37.3446,81.1,5.9,mw,15.46,78.62,-118.89,265.78,30.87,-22.62,28.0,128.0,28.0,22.0,48.0,255.0,-23570000000.000004,11080000000.000002,12490000000.000002,-21430000000.0,-59060000000.0,47100000000.0,neic,1066_neic,crustal_intraarc_deep
