id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,duplicate_id,class
706555,1976-11-30T00:41:00,-68.844,-20.489,90.0,7.54,mw,181.0,27.0,-73.0,342.0,64.0,-99.0,44.71542814037139,78.38196209949928,12.092711323618804,336.13471908461867,42.76772263538868,234.704630908517,-1.79,-0.35,2.14,0.55,-1.42,-0.44,gem,288_gem,deep_subduction
M113076A,1976-11-30T00:41:13,-68.51,-20.54,133.7,6.5,mw,181.0,27.0,-73.0,342.0,64.0,-99.0,18.0,78.0,8.0,346.0,70.0,234.0,-1.79e+20,-3.5e+19,2.14e+20,5.500000000000001e+19,-1.42e+20,-4.4e+19,gcmt,289_gcmt,deep_subduction
703668,1977-01-17T21:27:22,-68.84,-25.026,110.0,6.85,mw,26.0,49.0,105.0,183.0,44.0,73.0,14.320366430720808,180.94258191513205,42.04816878094368,77.63138619124027,44.44128948885093,285.44049645786924,1.98,0.44,-2.42,0.33,0.13,-0.82,gem,290_gem,deep_subduction
C011777C,1977-01-17T21:27:36,-68.61,-24.89,134.4,6.1,mw,183.0,44.0,73.0,26.0,49.0,105.0,78.0,2.0,11.0,196.0,3.0,105.0,1.978e+19,4.43e+18,-2.422e+19,3.27e+18,1.33e+18,-8.21e+18,gcmt,290_gcmt,deep_subduction
699876,1977-04-15T23:35:36,-68.833,-23.15,96.1,5.38,mw,18.0,74.0,-41.0,121.0,51.0,-159.0,33.506012898099634,254.5428356646929,50.69077284160863,38.50072999945729,18.10759618554664,152.04022884398762,-0.63,-0.66,1.29,-0.27,-0.69,-0.74,gem,292_gem,deep_subduction
B041577A,1977-04-15T23:35:40,-69.27,-23.01,129.7,5.4,mw,121.0,51.0,-159.0,18.0,74.0,-41.0,14.0,74.0,46.0,180.0,40.0,332.0,-6.34e+16,-6.6e+16,1.294e+17,-2.7400000000000004e+16,-6.929999999999999e+16,-7.38e+16,gcmt,292_gcmt,deep_subduction
697026,1977-06-08T13:25:18,-67.388,-22.276,166.5,5.65,mw,195.0,87.0,93.0,325.0,4.0,40.0,44.91262620617109,288.1653507113765,3.0123565867748563,195.15801674205548,44.92914318331224,102.14894678807872,0.39,-0.02,-0.36,-0.98,-3.5,0.13,gem,294_gem,deep_subduction
B060877A,1977-06-08T13:25:24,-67.12,-22.21,185.5,5.4,mw,325.0,4.0,40.0,195.0,87.0,93.0,48.0,109.0,3.0,15.0,42.0,282.0,3.91e+16,-2300000000000000.0,-3.67e+16,-9.81e+16,-3.499e+17,1.29e+16,gcmt,294_gcmt,deep_subduction
697434,1977-06-18T16:49:41,-68.354,-20.996,124.9,5.81,mw,101.0,35.0,-120.0,315.0,60.0,-71.0,43.70050278960608,32.29169841040476,29.56992792998508,155.12621167278382,31.893471983346537,265.8018087992368,-4.81,4.42,0.38,1.69,-2.57,-3.33,gem,295_gem,deep_subduction
B061877A,1977-06-18T16:49:45,-68.48,-20.95,135.9,5.4,mw,101.0,35.0,-120.0,315.0,60.0,-71.0,13.0,32.0,16.0,126.0,69.0,264.0,-4.806e+17,4.42e+17,3.86e+16,1.688e+17,-2.5710000000000003e+17,-3.329e+17,gcmt,295_gcmt,deep_subduction
