id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,duplicate_id,class
B011177A,1977-01-11T07:02:34,-71.44,-31.68,35.0,5.2,mwc,5.0,34.0,111.0,160.0,59.0,77.0,73.0,36.0,11.0,167.0,13.0,259.0,,,,,,,us,3_us,forearc
672797,1978-12-21T01:13:54,-72.703,-36.286,30.0,5.85,mw,101.0,34.0,52.0,324.0,64.0,112.0,31.947842090407622,272.31016906485445,30.28015885928362,160.9570223621215,43.03647904424201,37.920047360127,5.48,-4.29,-1.19,-1.29,4.27,2.87,gem,14_gem,forearc
B052079D,1979-05-20T19:37:48,-71.11,-27.32,15.0,5.6,mw,11.0,13.0,117.0,163.0,79.0,84.0,56.0,66.0,6.0,165.0,34.0,258.0,2.679e+17,4.94e+16,-3.173e+17,2.082e+17,-6.646e+17,2.86e+16,gcmt,295_gcmt,forearc
B082980A,1980-08-29T10:38:13,-73.1,-39.66,34.0,5.4,mwc,171.0,29.0,140.0,298.0,72.0,67.0,57.0,177.0,22.0,305.0,23.0,45.0,,,,,,,us,234_us,forearc
640730,1980-08-29T10:38:14,-73.104,-39.745,30.7,5.37,mw,171.0,29.0,140.0,298.0,72.0,67.0,36.174640747865936,176.7683971088676,26.29481084247204,287.9487004328174,42.43928792913759,44.80879888973266,0.83,-0.16,-0.67,-1.05,0.22,0.47,gem,234_gem,forearc
B031681A,1981-03-16T13:40:46,-71.79,-35.53,55.0,5.4,mwc,252.0,46.0,-39.0,11.0,63.0,-129.0,10.0,128.0,34.0,31.0,54.0,232.0,,,,,,,us,30_us,forearc
629971,1981-03-16T13:40:47,-71.764,-35.55,54.4,5.36,mw,11.0,63.0,-129.0,252.0,46.0,-39.0,39.43473954305274,307.8374206218016,46.14333252636005,158.9758015860334,16.06440692267477,51.53679051924559,-8.33,2.67,5.66,1.61,-6.27,9.19,gem,30_gem,forearc
B031681A,1981-03-16T13:40:52,-71.67,-35.67,60.1,5.2,mw,252.0,46.0,-39.0,11.0,63.0,-129.0,10.0,128.0,34.0,31.0,54.0,232.0,-8.331e+16,2.665e+16,5.667e+16,1.611e+16,-6.269e+16,9.187e+16,gcmt,30_gcmt,forearc
B032381A,1981-03-23T19:28:15,-71.81,-33.96,16.6,6.2,mw,335.0,5.0,73.0,173.0,85.0,91.0,50.0,84.0,1.0,352.0,40.0,261.0,1.027e+18,-5.4000000000000006e+17,-4.87e+17,5.85e+17,-4.676e+18,1.14e+17,gcmt,31_gcmt,forearc
B072881B,1981-07-28T03:03:21,-73.2,-41.57,43.0,5.6,mwc,44.0,59.0,17.0,305.0,75.0,148.0,33.0,261.0,55.0,103.0,10.0,357.0,,,,,,,us,235_us,forearc
