id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,duplicate_id,class
C022876A,1976-02-28T16:27:13,-75.57,-40.3,15.0,5.5,mw,13.0,45.0,-85.0,187.0,45.0,-95.0,0.0,280.0,3.0,190.0,87.0,13.0,-8e+17,-2.3e+17,1.03e+18,-3e+16,1e+16,2.3e+17,gcmt,1_gcmt,outer_rise
714840,1976-05-30T03:08:53,-75.479,-41.493,15.0,6.09,mw,23.0,47.0,-79.0,187.0,44.0,-101.0,44.71812621806434,285.24335354643136,43.50121317153992,85.24675940341228,10.151791173494518,185.03043265676345,-1.66,0.08,1.59,-0.24,-0.03,0.43,gem,2_gem,outer_rise
C053076A,1976-05-30T03:08:55,-75.94,-42.06,15.0,5.9,mw,187.0,44.0,-101.0,23.0,47.0,-79.0,2.0,105.0,8.0,195.0,82.0,4.0,-1.66e+18,8e+16,1.59e+18,-2.4e+17,-3e+16,4.3e+17,gcmt,2_gcmt,outer_rise
B022277A,1977-02-22T14:10:12,-76.35,-45.97,10.0,5.4,mw,261.0,76.0,-168.0,168.0,78.0,-14.0,2.0,215.0,72.0,310.0,18.0,124.0,-7300000000000000.0,6.61e+16,-5.88e+16,3.02e+16,5.34e+16,-1.642e+17,gcmt,4_gcmt,outer_rise
682971,1978-05-29T17:20:28,-79.406,-44.905,15.0,6.45,mw,170.0,81.0,-17.0,263.0,73.0,-171.0,17.54674848196461,37.21963467442197,71.51556066169412,198.2805165791776,5.630573755034515,305.4332266329947,-0.19,1.73,-1.54,0.72,1.93,-5.28,gem,304_gem,outer_rise
B021679C,1979-02-16T22:18:22,-72.38,-17.05,55.0,5.2,mw,58.0,35.0,21.0,311.0,78.0,124.0,46.0,255.0,33.0,123.0,25.0,15.0,8.97e+16,-2.022e+17,1.125e+17,-1.463e+17,1.3580000000000002e+17,4.07e+16,gcmt,311_gcmt,outer_rise
653427,1980-01-28T16:59:21,-76.228,-44.93,16.4,5.44,mw,195.0,27.0,-56.0,338.0,68.0,-106.0,43.894605391292274,79.88006100957074,20.015109492391066,329.36352177598286,39.35664427694056,221.98082982662885,-1.21,-0.18,1.39,0.64,-1.07,-0.11,gem,22_gem,outer_rise
B012880C,1980-01-28T16:59:22,-76.11,-44.96,33.0,5.4,mwc,195.0,27.0,-56.0,338.0,68.0,-106.0,21.0,80.0,15.0,344.0,64.0,221.0,,,,,,,us,22_us,outer_rise
B012880C,1980-01-28T16:59:24,-76.29,-45.17,15.0,5.2,mw,195.0,27.0,-56.0,338.0,68.0,-106.0,21.0,80.0,15.0,344.0,64.0,221.0,-1.209e+17,-1.82e+16,1.391e+17,6.37e+16,-1.073e+17,-1.12e+16,gcmt,22_gcmt,outer_rise
B030780A,1980-03-07T08:25:12,-73.48,-17.17,15.0,5.9,mw,306.0,36.0,56.0,166.0,61.0,112.0,67.0,117.0,19.0,335.0,13.0,240.0,1.45e+18,-3.08e+17,-1.142e+18,-4.4e+16,-9.66e+17,9.59e+17,gcmt,329_gcmt,outer_rise
