id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
B011480E,1980-01-14T21:51:08,-69.42,-33.27,15.0,5.2,mw,141.0,69.0,5.0,49.0,85.0,159.0,18.0,3.0,69.0,217.0,11.0,97.0,-1.31e+16,2.734e+17,-2.6030000000000003e+17,1.078e+17,3.83e+16,-4.49e+16,gcmt,crustal_intraarc_shallow
B080183A,1983-08-01T14:09:24,-76.46,-48.33,11.0,5.5,mw,355.0,14.0,107.0,157.0,76.0,86.0,58.0,61.0,4.0,158.0,31.0,251.0,1.858e+17,1.26e+16,-1.984e+17,1.552e+17,-3.524e+17,6.3e+16,gcmt,crustal_intraarc_shallow
B012685A,1985-01-26T03:07:05,-68.75,-33.11,28.4,5.8,mw,158.0,38.0,65.0,9.0,56.0,108.0,72.0,325.0,15.0,179.0,9.0,86.0,8.699999999999999e+17,1.161e+17,-9.861e+17,2.094e+17,3.349e+17,1.172e+17,gcmt,crustal_intraarc_shallow
B091387C,1987-09-13T20:08:53,-70.0,-34.59,15.0,5.6,mw,27.0,58.0,176.0,119.0,87.0,32.0,24.0,348.0,58.0,124.0,20.0,249.0,-2200000000000000.0,5.529e+17,-5.507e+17,4.011e+17,-1.2410000000000002e+17,3.47e+17,gcmt,crustal_intraarc_shallow
B022489C,1989-02-24T12:36:48,-71.83,-39.26,15.0,5.3,mw,110.0,62.0,23.0,9.0,70.0,150.0,35.0,327.0,54.0,159.0,5.0,61.0,2.3650000000000004e+16,2.289e+16,-4.654e+16,4.16e+16,3.467e+16,6.386999999999999e+16,gcmt,crustal_intraarc_shallow
B030599B,1999-03-05T03:35:19,-70.25,-34.75,15.0,5.5,mw,170.0,12.0,69.0,12.0,79.0,94.0,56.0,287.0,4.0,191.0,34.0,98.0,3.858e+17,-2.7300000000000004e+16,-3.585e+17,2.023e+17,8.644e+17,4500000000000000.0,gcmt,crustal_intraarc_shallow
B032799B,1999-03-27T11:13:35,-71.85,-40.32,15.0,5.1,mw,174.0,72.0,174.0,266.0,85.0,18.0,17.0,132.0,71.0,282.0,9.0,39.0,-1.28e+16,-2e+16,3.27e+16,-5.779999999999999e+16,-3.24e+16,1.7e+17,gcmt,crustal_intraarc_shallow
B101201B,2001-10-12T04:21:37,-69.04,-33.16,15.0,5.6,mw,222.0,78.0,171.0,314.0,81.0,12.0,15.0,178.0,75.0,349.0,2.0,87.0,-7099999999999999.0,1.041e+17,-9.7e+16,-3.09e+16,2000000000000000.0,7700000000000000.0,gcmt,crustal_intraarc_shallow
C082804C,2004-08-28T13:41:35,-70.36,-35.21,16.0,6.3,mw,21.0,61.0,-178.0,290.0,88.0,-29.0,19.0,339.0,61.0,107.0,21.0,241.0,-2e+17,4.190000000000001e+18,-3.99e+18,3.18e+18,-1.36e+18,4.78e+18,gcmt,crustal_intraarc_shallow
C200608051403A,2006-08-05T14:03:50,-68.86,-33.2,32.0,5.6,mw,137.0,39.0,44.0,10.0,64.0,120.0,59.0,323.0,27.0,176.0,14.0,78.0,1.74e+17,7.33e+16,-2.4700000000000003e+17,5.01e+16,1.34e+17,9.02e+16,gcmt,crustal_intraarc_shallow
C200608051403A,2006-08-05T14:03:50,-68.86,-33.2,32.0,5.6,mw,137.0,39.0,44.0,10.0,64.0,120.0,59.0,323.0,27.0,176.0,14.0,78.0,1.74e+17,7.33e+16,-2.4700000000000003e+17,5.01e+16,1.34e+17,9.02e+16,gcmt,crustal_intraarc_shallow
C200612311455A,2006-12-31T14:55:06,-71.4,-38.04,17.7,5.6,mw,31.0,86.0,178.0,121.0,88.0,4.0,4.0,346.0,86.0,153.0,1.0,256.0,1.64e+16,2.15e+17,-2.32e+17,1.7100000000000002e+16,-600000000000000.0,1.16e+17,gcmt,crustal_intraarc_shallow
C200612311455A,2006-12-31T14:55:06,-71.4,-38.04,17.7,5.6,mw,31.0,86.0,178.0,121.0,88.0,4.0,4.0,346.0,86.0,153.0,1.0,256.0,1.64e+16,2.15e+17,-2.32e+17,1.7100000000000002e+16,-600000000000000.0,1.16e+17,gcmt,crustal_intraarc_shallow
C200701232040A,2007-01-23T20:40:16,-73.07,-45.46,12.8,5.2,mw,264.0,89.0,-1.0,354.0,89.0,-179.0,0.0,129.0,88.0,37.0,2.0,219.0,-1.34e+16,-1.89e+16,3.22e+16,2600000000000000.0,-2400000000000000.0,1.26e+17,gcmt,crustal_intraarc_shallow
C200701232040A,2007-01-23T20:40:16,-73.07,-45.46,12.8,5.2,mw,264.0,89.0,-1.0,354.0,89.0,-179.0,0.0,129.0,88.0,37.0,2.0,219.0,-1.34e+16,-1.89e+16,3.22e+16,2600000000000000.0,-2400000000000000.0,1.26e+17,gcmt,crustal_intraarc_shallow
