id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
B052079D,1979-05-20T19:37:48,-71.11,-27.32,15.0,5.6,mw,11.0,13.0,117.0,163.0,79.0,84.0,56.0,66.0,6.0,165.0,34.0,258.0,2.679e+17,4.94e+16,-3.173e+17,2.082e+17,-6.646e+17,2.86e+16,gcmt,forearc
B031681A,1981-03-16T13:40:52,-71.67,-35.67,60.1,5.2,mw,252.0,46.0,-39.0,11.0,63.0,-129.0,10.0,128.0,34.0,31.0,54.0,232.0,-8.331e+16,2.665e+16,5.667e+16,1.611e+16,-6.269e+16,9.187e+16,gcmt,forearc
B032381A,1981-03-23T19:28:15,-71.81,-33.96,16.6,6.2,mw,335.0,5.0,73.0,173.0,85.0,91.0,50.0,84.0,1.0,352.0,40.0,261.0,1.027e+18,-5.4000000000000006e+17,-4.87e+17,5.85e+17,-4.676e+18,1.14e+17,gcmt,forearc
B091483A,1983-09-14T00:47:01,-73.65,-36.4,10.1,5.0,mw,23.0,16.0,131.0,161.0,78.0,79.0,56.0,57.0,11.0,163.0,32.0,260.0,6.26e+16,1.04e+16,-7.3e+16,5.07e+16,-1.2809999999999998e+17,-3400000000000000.0,gcmt,forearc
B030485B,1985-03-04T06:07:12,-72.08,-33.43,10.0,6.0,mw,215.0,24.0,143.0,340.0,76.0,70.0,55.0,225.0,19.0,345.0,28.0,86.0,1.579e+18,7.2e+17,-2.299e+18,-1.231e+18,2.721e+18,-3.16e+17,gcmt,forearc
B030585A,1985-03-05T09:09:01,-71.42,-34.18,33.0,5.4,mw,36.0,14.0,126.0,180.0,79.0,82.0,55.0,80.0,8.0,181.0,33.0,277.0,6.16e+16,-2700000000000000.0,-5.89e+16,5400000000000000.0,-1.46e+17,-2.2e+16,gcmt,forearc
B041585A,1985-04-15T04:41:53,-72.11,-33.64,14.2,5.4,mw,28.0,21.0,127.0,169.0,74.0,77.0,59.0,61.0,12.0,173.0,28.0,270.0,1.218e+17,2.55e+16,-1.473e+17,4.77e+16,-1.908e+17,-2.25e+16,gcmt,forearc
B052188B,1988-05-21T14:28:49,-71.57,-32.92,15.0,5.7,mw,64.0,4.0,159.0,175.0,89.0,87.0,46.0,81.0,3.0,175.0,44.0,268.0,1.62e+17,-1.3500000000000002e+17,-2.7e+16,1.85e+17,-1.81e+18,-1.23e+17,gcmt,forearc
B011589A,1989-01-15T01:27:52,-71.72,-31.69,15.0,5.3,mw,336.0,10.0,113.0,133.0,81.0,86.0,54.0,38.0,4.0,134.0,36.0,226.0,5.649999999999999e+16,-1.94e+16,-3.71e+16,1.1319999999999998e+17,-1.002e+17,1.57e+16,gcmt,forearc
B041789A,1989-04-17T04:55:28,-71.85,-30.92,15.0,5.0,mw,351.0,23.0,85.0,176.0,67.0,92.0,68.0,90.0,2.0,355.0,22.0,265.0,4.434e+16,1.649e+16,-6.083e+16,3410000000000000.5,-5.019e+16,7980000000000000.0,gcmt,forearc
