id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
C022876A,1976-02-28T16:27:13,-75.57,-40.3,15.0,5.5,mw,13.0,45.0,-85.0,187.0,45.0,-95.0,0.0,280.0,3.0,190.0,87.0,13.0,-8e+17,-2.3e+17,1.03e+18,-3e+16,1e+16,2.3e+17,gcmt,outer_rise
C053076A,1976-05-30T03:08:55,-75.94,-42.06,15.0,5.9,mw,187.0,44.0,-101.0,23.0,47.0,-79.0,2.0,105.0,8.0,195.0,82.0,4.0,-1.66e+18,8e+16,1.59e+18,-2.4e+17,-3e+16,4.3e+17,gcmt,outer_rise
B022277A,1977-02-22T14:10:12,-76.35,-45.97,10.0,5.4,mw,261.0,76.0,-168.0,168.0,78.0,-14.0,2.0,215.0,72.0,310.0,18.0,124.0,-7300000000000000.0,6.61e+16,-5.88e+16,3.02e+16,5.34e+16,-1.642e+17,gcmt,outer_rise
B021679C,1979-02-16T22:18:22,-72.38,-17.05,55.0,5.2,mw,58.0,35.0,21.0,311.0,78.0,124.0,46.0,255.0,33.0,123.0,25.0,15.0,8.97e+16,-2.022e+17,1.125e+17,-1.463e+17,1.3580000000000002e+17,4.07e+16,gcmt,outer_rise
B012880C,1980-01-28T16:59:24,-76.29,-45.17,15.0,5.2,mw,195.0,27.0,-56.0,338.0,68.0,-106.0,21.0,80.0,15.0,344.0,64.0,221.0,-1.209e+17,-1.82e+16,1.391e+17,6.37e+16,-1.073e+17,-1.12e+16,gcmt,outer_rise
B030780A,1980-03-07T08:25:12,-73.48,-17.17,15.0,5.9,mw,306.0,36.0,56.0,166.0,61.0,112.0,67.0,117.0,19.0,335.0,13.0,240.0,1.45e+18,-3.08e+17,-1.142e+18,-4.4e+16,-9.66e+17,9.59e+17,gcmt,outer_rise
B032980B,1980-03-29T06:41:53,-75.86,-43.38,15.0,5.9,mw,185.0,14.0,-119.0,34.0,78.0,-83.0,32.0,119.0,7.0,213.0,57.0,313.0,-5.33e+17,-1.14e+17,6.47e+17,-8.21e+17,-1.21e+18,4.29e+17,gcmt,outer_rise
B051781C,1981-05-17T17:05:00,-72.14,-27.39,15.0,5.4,mw,191.0,37.0,-79.0,358.0,54.0,-98.0,9.0,94.0,6.0,3.0,79.0,237.0,-9.022e+16,-4970000000000000.0,9.519e+16,8250000000000000.0,-3.02e+16,8250000000000000.0,gcmt,outer_rise
C101681A,1981-10-16T03:25:47,-73.15,-33.48,40.4,7.2,mw,194.0,34.0,96.0,6.0,56.0,86.0,78.0,262.0,4.0,9.0,11.0,100.0,4.936e+19,-5.75e+18,-4.361e+19,-3e+17,1.967e+19,-7.27e+18,gcmt,outer_rise
C060182A,1982-06-01T04:14:16,-75.87,-41.69,10.0,6.3,mw,160.0,33.0,-130.0,25.0,65.0,-67.0,17.0,99.0,21.0,195.0,63.0,332.0,-3.372e+18,-8.6e+17,4.232e+18,-1.871e+18,-2.339e+18,3.07e+17,gcmt,outer_rise
B060582A,1982-06-05T00:17:01,-76.07,-43.44,23.0,5.0,mw,191.0,29.0,-87.0,8.0,61.0,-91.0,16.0,99.0,1.0,9.0,74.0,275.0,-7.497e+16,-1.0069999999999998e+16,8.504e+16,-6780000000000000.0,-5.132e+16,1.658e+16,gcmt,outer_rise
B071182A,1982-07-11T02:13:42,-73.81,-17.0,29.0,5.2,mw,284.0,28.0,29.0,168.0,77.0,115.0,52.0,107.0,24.0,342.0,27.0,238.0,6.840000000000001e+16,-2.48e+16,-4.36e+16,1.86e+16,-1.385e+17,8.43e+16,gcmt,outer_rise
B022883B,1983-02-28T22:44:20,-79.16,-44.78,15.0,5.5,mw,260.0,90.0,180.0,350.0,90.0,0.0,0.0,215.0,90.0,180.0,0.0,125.0,-1.98e+17,4.7e+17,-2.7200000000000003e+17,0.0,0.0,-1.056e+18,gcmt,outer_rise
B112683D,1983-11-26T23:29:09,-79.94,-45.11,15.0,5.1,mw,257.0,90.0,180.0,347.0,90.0,0.0,0.0,212.0,90.0,180.0,0.0,122.0,-5.610000000000001e+16,2.746e+17,-2.1840000000000003e+17,0.0,0.0,-5.172e+17,gcmt,outer_rise
