id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
B122178B,1978-12-21T01:13:57,-72.57,-36.4,50.0,5.6,mw,101.0,34.0,52.0,324.0,64.0,112.0,64.0,271.0,20.0,134.0,16.0,38.0,5.478e+17,-4.288e+17,-1.19e+17,-1.293e+17,4.274e+17,2.866e+17,gcmt,subduction_interface
B042879E,1979-04-28T11:38:25,-71.17,-27.39,21.1,6.1,mw,31.0,24.0,68.0,234.0,68.0,99.0,66.0,161.0,9.0,51.0,22.0,317.0,1.307e+18,-6.07e+17,-7e+17,-1.162e+18,-7.19e+17,-8.27e+17,gcmt,subduction_interface
C051479B,1979-05-14T23:04:07,-69.32,-23.05,72.4,5.9,mw,183.0,27.0,-101.0,16.0,63.0,-84.0,18.0,102.0,5.0,193.0,71.0,298.0,-2.219e+18,-3.61e+17,2.58e+18,-5.66e+17,-1.707e+18,5.5800000000000006e+17,gcmt,subduction_interface
B080279A,1979-08-02T07:40:29,-71.48,-28.01,19.0,5.1,mw,15.0,28.0,113.0,169.0,65.0,79.0,68.0,57.0,10.0,174.0,19.0,268.0,1.488e+17,5.27e+16,-2.015e+17,3.28e+16,-1.353e+17,899999999999999.9,gcmt,subduction_interface
B061180C,1980-06-11T14:21:25,-71.93,-33.03,20.0,5.5,mw,1.0,26.0,87.0,184.0,64.0,91.0,71.0,97.0,1.0,3.0,19.0,273.0,5.183e+17,8.24e+16,-6.008e+17,-3.3700000000000004e+16,-4.4560000000000006e+17,-2.7500000000000004e+16,gcmt,subduction_interface
B010781C,1981-01-07T16:26:47,-71.39,-23.96,15.0,5.2,mw,5.0,33.0,93.0,181.0,57.0,88.0,78.0,84.0,2.0,182.0,12.0,273.0,2.8370000000000003e+17,5.659999999999999e+16,-3.403e+17,800000000000000.0,-1.417e+17,-2.13e+16,gcmt,subduction_interface
B062181A,1981-06-21T10:30:09,-70.83,-20.84,15.0,5.6,mw,299.0,24.0,40.0,172.0,75.0,109.0,56.0,107.0,18.0,347.0,27.0,247.0,2.378e+17,-4.03e+16,-1.975e+17,1.64e+16,-4.147e+17,1.879e+17,gcmt,subduction_interface
C100483C,1983-10-04T18:52:37,-70.56,-26.01,38.7,7.3,mw,9.0,20.0,110.0,168.0,71.0,83.0,63.0,66.0,7.0,170.0,26.0,263.0,2.044e+20,1.31e+19,-2.175e+20,6.790000000000001e+19,-2.552e+20,8e+18,gcmt,subduction_interface
B072484A,1984-07-24T04:49:53,-71.18,-25.71,15.8,5.3,mw,14.0,18.0,126.0,157.0,75.0,79.0,58.0,53.0,10.0,160.0,30.0,256.0,3.327e+17,5200000000000000.0,-3.378e+17,2.5790000000000003e+17,-5.042e+17,9700000000000000.0,gcmt,subduction_interface
B022185C,1985-02-21T21:53:02,-71.01,-20.79,15.0,5.3,mw,10.0,30.0,114.0,163.0,63.0,77.0,69.0,47.0,11.0,169.0,17.0,263.0,2.371e+17,6.25e+16,-2.996e+17,7.15e+16,-1.762e+17,3.17e+16,gcmt,subduction_interface
