id,time_iso,latitude,longitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,P_plunge,P_azimuth,N_plunge,N_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
200608051403A,2006-08-05T14:03:00,-33.2,-68.86,32,5.6,mw,137,39,44,10,64,120,59,324,14,79,,,,,,,,,gmt,crustal_intraarc_shallow
200612311455A,2006-12-31T14:55:00,-38.04,-71.4,18,5.5,mw,31,86,178,121,88,4,4,346,1,256,,,,,,,,,gmt,crustal_intraarc_shallow
200701232040A,2007-01-23T20:40:00,-45.46,-73.07,13,5.3,mw,264,89,-1,354,89,-179,0,129,1,219,,,,,,,,,gmt,crustal_intraarc_shallow
200702030900A,2007-02-03T09:00:00,-45.51,-73.03,12,5.3,mw,91,84,-6,182,84,-174,0,316,8,46,,,,,,,,,gmt,crustal_intraarc_shallow
200702231955A,2007-02-23T19:55:00,-45.51,-73.08,17,5.7,mw,87,70,-12,181,79,-160,6,313,22,45,,,,,,,,,gmt,crustal_intraarc_shallow
200704020249A,2007-04-02T02:49:00,-45.41,-73.04,30,6.2,mw,53,43,-86,228,47,-94,2,320,87,87,,,,,,,,,gmt,crustal_intraarc_shallow
200704211753A,2007-04-21T17:53:00,-45.48,-72.95,12,6.2,mw,84,86,2,354,88,176,4,309,1,39,,,,,,,,,gmt,crustal_intraarc_shallow
200805020551A,2008-05-02T05:51:00,-42.93,-72.65,17,5.3,mw,206,77,-177,115,87,-13,7,161,11,70,,,,,,,,,gmt,crustal_intraarc_shallow
200805030236A,2008-05-03T02:36:00,-42.82,-72.56,12,5.1,mw,280,52,-31,31,66,-137,9,152,46,251,,,,,,,,,gmt,crustal_intraarc_shallow
200805240243A,2008-05-24T02:43:00,-42.17,-72.46,12,5.5,mw,84,57,-11,180,81,-146,16,308,30,47,,,,,,,,,gmt,crustal_intraarc_shallow
201003020209A,2010-03-02T02:09:00,-39.86,-71.47,16,5.1,mw,176,65,-168,80,79,-25,10,131,26,36,,,,,,,,,gmt,crustal_intraarc_shallow
201003171738A,2010-03-17T17:38:00,-44.36,-73.03,12,5.4,mw,191,68,-178,100,88,-22,14,148,17,53,,,,,,,,,gmt,crustal_intraarc_shallow
201003180932A,2010-03-18T09:32:00,-44.43,-73.01,20,5.2,mw,186,72,171,279,81,18,19,144,7,51,,,,,,,,,gmt,crustal_intraarc_shallow
201008150750A,2010-08-15T07:50:00,-37.09,-71.47,16,5.2,mw,290,58,-9,25,82,-148,16,153,28,252,,,,,,,,,gmt,crustal_intraarc_shallow
201102141218A,2011-02-14T12:18:00,-35.65,-71.54,13,5.2,mw,211,21,-33,331,79,-108,31,77,53,221,,,,,,,,,gmt,crustal_intraarc_shallow
201102210538A,2011-02-21T05:38:00,-46.02,-72.55,18,5.0,mw,271,32,-20,18,79,-121,28,132,47,257,,,,,,,,,gmt,crustal_intraarc_shallow
201106041628A,2011-06-04T16:28:00,-40.59,-72.22,21,5.0,mw,162,64,-165,65,77,-27,8,116,28,21,,,,,,,,,gmt,crustal_intraarc_shallow
201206070405A,2012-06-07T04:05:00,-36.23,-70.97,17,6.0,mw,2,69,-173,269,84,-21,10,317,20,224,,,,,,,,,gmt,crustal_intraarc_shallow
201503131916A,2015-03-13T19:16:00,-44.79,-73.51,25,5.0,mw,99,61,4,7,86,151,23,319,17,57,,,,,,,,,gmt,crustal_intraarc_shallow
201702030052A,2017-02-03T00:52:00,-33.07,-69.51,20,5.4,mw,138,46,-15,238,79,-135,21,1,39,109,,,,,,,,,gmt,crustal_intraarc_shallow
201706252208A,2017-06-25T22:08:00,-42.09,-71.66,12,5.2,mw,172,17,118,322,75,82,59,222,30,60,,,,,,,,,gmt,crustal_intraarc_shallow
202101190246A,2021-01-19T02:46:00,-31.85,-68.86,26,6.5,mw,223,61,164,321,76,30,31,185,10,89,,,,,,,,,gmt,crustal_intraarc_shallow
202102111401A,2021-02-11T14:01:00,-39.87,-71.96,21,5.0,mw,78,82,-7,169,83,-172,1,303,11,34,,,,,,,,,gmt,crustal_intraarc_shallow
202411081137A,2024-11-08T11:37:00,-46.72,-75.63,12,6.3,mw,10,28,87,193,62,92,73,107,17,282,,,,,,,,,gmt,crustal_intraarc_shallow
011480E,,-33.27,-69.42,15,5.6,mw,141,69,5,49,85,159,18,3,11,97,,,,,,,,,gmt,crustal_intraarc_shallow
012685A,,-33.11,-68.75,28,5.9,mw,158,38,65,9,56,108,72,325,9,86,,,,,,,,,gmt,crustal_intraarc_shallow
022489C,,-39.26,-71.83,15,5.2,mw,110,62,23,9,70,150,35,327,5,61,,,,,,,,,gmt,crustal_intraarc_shallow
030599B,,-34.75,-70.25,15,5.9,mw,170,12,69,12,79,94,56,287,34,98,,,,,,,,,gmt,crustal_intraarc_shallow
032799B,,-40.32,-71.85,15,5.4,mw,174,72,174,266,85,18,17,131,9,39,,,,,,,,,gmt,crustal_intraarc_shallow
082804C,,-35.21,-70.36,16,6.5,mw,21,61,-178,290,88,-29,19,339,21,242,,,,,,,,,gmt,crustal_intraarc_shallow
091204C,,-34.31,-70.15,12,5.3,mw,162,44,114,310,50,68,73,157,3,55,,,,,,,,,gmt,crustal_intraarc_shallow
091387C,,-34.59,-70.0,15,5.9,mw,27,58,176,119,87,32,25,348,19,249,,,,,,,,,gmt,crustal_intraarc_shallow
101201B,,-33.16,-69.04,15,5.3,mw,222,78,171,314,81,12,15,178,2,88,,,,,,,,,gmt,crustal_intraarc_shallow
