id,time_iso,latitude,longitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,P_plunge,P_azimuth,N_plunge,N_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
200605090902A,2006-05-09T09:02:00,-32.85,-70.04,126,5.0,mw,270,44,-29,22,70,-130,16,140,48,248,,,,,,,,,gmt,deep_subduction
200609170934A,2006-09-17T09:34:00,-31.9,-67.15,146,6.2,mw,147,17,-147,25,81,-76,34,103,52,312,,,,,,,,,gmt,deep_subduction
200609242108A,2006-09-24T21:08:00,-31.89,-67.18,152,5.7,mw,122,34,-131,348,65,-66,17,61,62,296,,,,,,,,,gmt,deep_subduction
200701071055A,2007-01-07T10:55:00,-35.52,-71.23,121,5.0,mw,199,23,-83,12,68,-93,22,104,68,276,,,,,,,,,gmt,deep_subduction
200702100603A,2007-02-10T06:03:00,-43.26,-72.26,162,5.5,mw,207,6,117,360,84,87,50,267,40,92,,,,,,,,,gmt,deep_subduction
200703201759A,2007-03-20T17:59:00,-31.92,-67.19,146,5.2,mw,168,19,-125,24,75,-79,29,106,59,310,,,,,,,,,gmt,deep_subduction
200707111512A,2007-07-11T15:12:00,-32.67,-70.3,116,5.1,mw,150,50,-177,58,88,-40,25,111,29,6,,,,,,,,,gmt,deep_subduction
200710270116A,2007-10-27T01:16:00,-31.85,-69.21,114,5.0,mw,299,51,-26,46,70,-138,12,169,43,270,,,,,,,,,gmt,deep_subduction
200810011703A,2008-10-01T17:03:00,-35.03,-71.04,119,5.2,mw,288,4,-10,28,89,-94,44,122,46,294,,,,,,,,,gmt,deep_subduction
200812201707A,2008-12-20T17:07:00,-31.72,-68.14,123,5.2,mw,66,46,-52,198,56,-122,5,310,63,50,,,,,,,,,gmt,deep_subduction
200901231256A,2009-01-23T12:56:00,-36.64,-71.22,122,5.2,mw,253,56,-16,352,77,-145,14,119,34,218,,,,,,,,,gmt,deep_subduction
200904260803A,2009-04-26T08:03:00,-32.89,-69.49,141,5.3,mw,145,49,169,242,82,42,34,112,21,7,,,,,,,,,gmt,deep_subduction
200905081344A,2009-05-08T13:44:00,-32.02,-69.68,110,5.4,mw,185,48,-121,47,50,-60,1,116,67,23,,,,,,,,,gmt,deep_subduction
201001181228A,2010-01-18T12:28:00,-31.48,-68.97,116,5.4,mw,231,37,-97,60,54,-85,8,146,81,354,,,,,,,,,gmt,deep_subduction
201002121203A,2010-02-12T12:03:00,-33.63,-69.02,174,5.8,mw,69,57,-156,325,70,-35,8,20,39,283,,,,,,,,,gmt,deep_subduction
201009131644A,2010-09-13T16:44:00,-31.82,-70.46,126,5.1,mw,260,68,15,165,76,158,26,121,5,213,,,,,,,,,gmt,deep_subduction
201205241918A,2012-05-24T19:18:00,-37.11,-70.84,163,5.4,mw,123,17,-146,360,81,-76,34,78,52,287,,,,,,,,,gmt,deep_subduction
201209110635A,2012-09-11T06:35:00,-31.92,-68.39,127,5.0,mw,20,35,-77,184,56,-99,11,281,77,65,,,,,,,,,gmt,deep_subduction
201210111722A,2012-10-11T17:22:00,-32.86,-70.57,107,5.6,mw,170,84,-174,80,84,-6,0,125,8,35,,,,,,,,,gmt,deep_subduction
201306192129A,2013-06-19T21:29:00,-32.74,-70.2,115,5.2,mw,190,45,-111,39,48,-70,2,115,75,17,,,,,,,,,gmt,deep_subduction
201308301048A,2013-08-30T10:48:00,-34.57,-70.74,112,5.0,mw,338,45,-18,81,77,-133,20,202,41,311,,,,,,,,,gmt,deep_subduction
201312100051A,2013-12-10T00:51:00,-31.39,-69.29,117,5.1,mw,202,45,-117,57,51,-66,3,131,71,32,,,,,,,,,gmt,deep_subduction
201401150838A,2014-01-15T08:38:00,-31.27,-68.25,123,5.2,mw,182,74,-173,90,83,-16,6,137,16,45,,,,,,,,,gmt,deep_subduction
201404040952A,2014-04-04T09:52:00,-31.45,-70.54,116,5.4,mw,167,66,169,262,80,24,24,127,9,32,,,,,,,,,gmt,deep_subduction
201407130718A,2014-07-13T07:18:00,-30.98,-70.81,106,5.4,mw,290,7,32,168,86,96,48,85,41,253,,,,,,,,,gmt,deep_subduction
201502021049A,2015-02-02T10:49:00,-32.77,-67.14,177,6.3,mw,304,4,-13,47,89,-94,44,141,46,313,,,,,,,,,gmt,deep_subduction
201604140938A,2016-04-14T09:38:00,-33.85,-70.39,129,5.1,mw,120,10,162,228,87,80,47,128,41,327,,,,,,,,,gmt,deep_subduction
201611041620A,2016-11-04T16:20:00,-35.06,-70.98,96,6.3,mw,173,27,-128,35,69,-73,22,111,62,331,,,,,,,,,gmt,deep_subduction
201611202057A,2016-11-20T20:57:00,-31.66,-68.74,119,6.4,mw,31,40,-92,214,50,-89,5,302,85,137,,,,,,,,,gmt,deep_subduction
201703270303A,2017-03-27T03:03:00,-36.34,-71.79,103,5.1,mw,246,42,-6,341,86,-132,28,103,35,215,,,,,,,,,gmt,deep_subduction
201705291457A,2017-05-29T14:57:00,-37.38,-71.87,98,5.9,mw,263,34,-22,12,78,-122,26,126,47,248,,,,,,,,,gmt,deep_subduction
201706231000A,2017-06-23T10:00:00,-39.47,-71.87,129,5.0,mw,260,39,56,121,59,114,67,78,10,194,,,,,,,,,gmt,deep_subduction
201708020715A,2017-08-02T07:15:00,-33.17,-70.58,96,5.4,mw,202,32,-115,51,62,-75,15,130,70,353,,,,,,,,,gmt,deep_subduction
201709231725A,2017-09-23T17:25:00,-30.74,-69.04,130,5.1,mw,44,59,177,136,87,32,23,4,19,266,,,,,,,,,gmt,deep_subduction
201801282353A,2018-01-28T23:53:00,-31.25,-68.78,120,5.4,mw,218,46,-107,61,47,-74,0,140,78,49,,,,,,,,,gmt,deep_subduction
201802012313A,2018-02-01T23:13:00,-31.5,-69.95,118,5.2,mw,2,78,176,92,86,12,11,318,6,227,,,,,,,,,gmt,deep_subduction
201803191251A,2018-03-19T12:51:00,-32.44,-69.76,113,5.0,mw,194,71,-165,99,76,-20,3,147,24,56,,,,,,,,,gmt,deep_subduction
