id,time_iso,latitude,longitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,P_plunge,P_azimuth,N_plunge,N_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
201003021130A,2010-03-02T11:30:00,-35.45,-72.99,12,5.0,mw,198,67,-163,101,74,-24,5,151,28,58,,,,,,,,,gmt,forearc
201003050334A,2010-03-05T03:34:00,-34.67,-71.94,12,5.4,mw,1,38,-77,165,53,-100,8,262,79,35,,,,,,,,,gmt,forearc
201003050355A,2010-03-05T03:55:00,-34.63,-71.95,26,5.2,mw,319,75,177,50,87,15,13,275,8,183,,,,,,,,,gmt,forearc
201003050919A,2010-03-05T09:19:00,-36.76,-73.59,15,6.1,mw,11,8,116,164,83,87,52,71,38,258,,,,,,,,,gmt,forearc
201003112011A,2010-03-11T20:11:00,-34.62,-72.08,19,5.6,mw,3,44,-61,146,52,-115,5,253,70,355,,,,,,,,,gmt,forearc
201003121650A,2010-03-12T16:50:00,-34.41,-72.18,12,5.7,mw,342,40,-87,158,50,-92,5,250,85,49,,,,,,,,,gmt,forearc
201003130712A,2010-03-13T07:12:00,-34.65,-71.97,19,5.1,mw,345,45,-81,152,46,-99,0,249,84,342,,,,,,,,,gmt,forearc
201003131522A,2010-03-13T15:22:00,-34.57,-72.07,16,5.2,mw,10,29,-75,172,62,-99,17,269,72,64,,,,,,,,,gmt,forearc
201003140731A,2010-03-14T07:31:00,-34.42,-72.1,16,5.2,mw,341,34,-116,191,59,-73,13,270,70,138,,,,,,,,,gmt,forearc
201003142004A,2010-03-14T20:04:00,-38.68,-73.85,13,5.4,mw,228,23,-60,15,71,-102,24,115,63,267,,,,,,,,,gmt,forearc
201003180157A,2010-03-18T01:57:00,-36.65,-72.98,25,5.2,mw,340,8,63,188,83,94,52,101,38,274,,,,,,,,,gmt,forearc
201004011253A,2010-04-01T12:53:00,-34.87,-72.22,12,5.1,mw,195,58,-142,82,59,-39,0,139,48,49,,,,,,,,,gmt,forearc
201005021452A,2010-05-02T14:52:00,-34.48,-72.22,15,5.9,mw,26,25,-36,149,76,-110,28,256,55,34,,,,,,,,,gmt,forearc
201005211852A,2010-05-21T18:52:00,-34.75,-72.09,12,5.3,mw,25,38,-91,206,52,-90,7,296,83,121,,,,,,,,,gmt,forearc
201101110533A,2011-01-11T05:33:00,-35.33,-72.08,12,5.1,mw,138,15,60,349,77,98,57,269,32,73,,,,,,,,,gmt,forearc
201102130851A,2011-02-13T08:51:00,-36.78,-73.61,16,5.9,mw,13,11,101,182,79,88,56,89,34,274,,,,,,,,,gmt,forearc
201908012001A,2019-08-01T20:01:00,-34.35,-72.08,15,5.9,mw,358,13,87,181,77,91,58,92,32,271,,,,,,,,,gmt,forearc
010193C,,-31.93,-71.66,22,5.3,mw,356,19,92,174,71,89,64,83,26,264,,,,,,,,,gmt,forearc
011589A,,-31.69,-71.72,15,5.4,mw,336,10,113,133,81,86,54,38,36,226,,,,,,,,,gmt,forearc
030485B,,-33.43,-72.08,10,6.3,mw,215,24,143,340,76,70,55,225,28,85,,,,,,,,,gmt,forearc
030585A,,-34.18,-71.42,33,5.4,mw,36,14,126,180,79,82,56,79,33,276,,,,,,,,,gmt,forearc
031681A,,-35.67,-71.67,60,5.3,mw,252,46,-39,11,63,-129,10,128,54,232,,,,,,,,,gmt,forearc
032381A,,-33.96,-71.81,17,6.4,mw,335,5,73,173,85,91,50,84,40,261,,,,,,,,,gmt,forearc
032395B,,-36.33,-72.81,15,5.5,mw,21,6,120,170,85,87,50,78,40,264,,,,,,,,,gmt,forearc
041585A,,-33.64,-72.11,14,5.5,mw,28,21,127,169,74,77,60,61,27,269,,,,,,,,,gmt,forearc
041789A,,-30.92,-71.85,15,5.2,mw,351,23,85,176,67,92,68,90,22,265,,,,,,,,,gmt,forearc
050601E,,-32.95,-70.92,50,5.2,mw,313,32,42,185,69,115,58,130,20,257,,,,,,,,,gmt,forearc
051892B,,-33.61,-72.03,15,6.1,mw,19,8,120,169,83,86,52,74,38,262,,,,,,,,,gmt,forearc
052188B,,-32.92,-71.57,15,6.1,mw,64,4,159,175,89,87,46,81,43,269,,,,,,,,,gmt,forearc
060698B,,-36.56,-73.2,15,5.2,mw,341,12,65,186,79,95,56,103,34,272,,,,,,,,,gmt,forearc
072197H,,-30.72,-71.79,15,5.9,mw,29,27,123,173,67,74,64,57,21,275,,,,,,,,,gmt,forearc
080697D,,-30.67,-71.89,15,5.5,mw,339,5,63,186,85,92,49,99,41,274,,,,,,,,,gmt,forearc
091004D,,-38.06,-73.24,12,5.2,mw,30,48,62,248,49,118,70,228,1,319,,,,,,,,,gmt,forearc
091483A,,-36.4,-73.65,10,5.4,mw,23,16,131,161,78,79,56,57,32,260,,,,,,,,,gmt,forearc
101190A,,-34.17,-72.07,15,5.4,mw,329,11,58,182,81,96,54,99,35,266,,,,,,,,,gmt,forearc
