id,time_iso,latitude,longitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,P_plunge,P_azimuth,N_plunge,N_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
200504130925A,2005-04-13T09:25:00,-33.27,-73.24,12,5.4,mw,21,38,-89,200,52,-91,7,290,83,105,,,,,,,,,gmt,outer_rise
200510101607A,2005-10-10T16:07:00,-45.7,-77.12,12,5.1,mw,85,46,-158,339,74,-46,17,38,43,291,,,,,,,,,gmt,outer_rise
200604281821A,2006-04-28T18:21:00,-45.76,-77.47,12,5.3,mw,76,75,-179,346,89,-15,10,32,11,300,,,,,,,,,gmt,outer_rise
200605300250A,2006-05-30T02:50:00,-45.92,-76.17,15,5.7,mw,78,71,-175,346,85,-19,10,34,17,301,,,,,,,,,gmt,outer_rise
200610071632A,2006-10-07T16:32:00,-45.79,-77.03,14,5.1,mw,135,33,-74,296,58,-100,13,33,74,178,,,,,,,,,gmt,outer_rise
200611201933A,2006-11-20T19:33:00,-40.24,-75.57,12,5.2,mw,190,42,-82,359,48,-97,3,94,84,216,,,,,,,,,gmt,outer_rise
200709220801A,2007-09-22T08:01:00,-46.01,-76.8,12,5.5,mw,75,80,178,165,88,10,8,31,6,300,,,,,,,,,gmt,outer_rise
200710161337A,2007-10-16T13:37:00,-45.98,-76.84,14,5.2,mw,71,63,-173,338,83,-27,14,27,23,291,,,,,,,,,gmt,outer_rise
200802292251A,2008-02-29T22:51:00,-40.56,-75.49,19,5.0,mw,212,46,-107,56,47,-73,0,134,78,43,,,,,,,,,gmt,outer_rise
200804110129A,2008-04-11T01:29:00,-45.88,-76.36,17,5.1,mw,80,67,-165,343,76,-24,6,33,26,300,,,,,,,,,gmt,outer_rise
200805201516A,2008-05-20T15:16:00,-44.57,-78.9,12,5.6,mw,76,64,-170,342,81,-27,12,31,25,296,,,,,,,,,gmt,outer_rise
200903121103A,2009-03-12T11:03:00,-45.27,-78.35,17,5.0,mw,157,43,-117,12,53,-67,5,86,71,341,,,,,,,,,gmt,outer_rise
200906170705A,2009-06-17T07:05:00,-45.83,-77.61,25,5.2,mw,346,68,-11,80,80,-158,8,211,23,305,,,,,,,,,gmt,outer_rise
200906290307A,2009-06-29T03:07:00,-45.64,-77.15,17,5.3,mw,79,67,-171,346,81,-23,10,34,22,300,,,,,,,,,gmt,outer_rise
200909120356A,2009-09-12T03:56:00,-45.83,-76.99,18,5.0,mw,176,26,-92,359,64,-89,19,87,71,270,,,,,,,,,gmt,outer_rise
200911222207A,2009-11-22T22:07:00,-39.77,-75.46,12,5.8,mw,199,43,-69,351,51,-109,4,94,75,199,,,,,,,,,gmt,outer_rise
201002270801A,2010-02-27T08:01:00,-38.09,-75.41,20,6.6,mw,3,46,-102,200,46,-78,0,101,81,194,,,,,,,,,gmt,outer_rise
201003010858A,2010-03-01T08:58:00,-37.91,-74.96,19,5.0,mw,204,41,-79,9,50,-100,4,106,82,228,,,,,,,,,gmt,outer_rise
201003011220A,2010-03-01T12:20:00,-34.57,-74.01,12,5.1,mw,41,40,-91,222,50,-89,5,312,85,139,,,,,,,,,gmt,outer_rise
201003011436A,2010-03-01T14:36:00,-34.53,-73.96,12,5.2,mw,46,39,-89,224,51,-91,6,315,84,129,,,,,,,,,gmt,outer_rise
201003012240A,2010-03-01T22:40:00,-34.9,-74.27,18,5.0,mw,32,37,-88,209,53,-92,8,301,82,112,,,,,,,,,gmt,outer_rise
201003040903A,2010-03-04T09:03:00,-37.72,-74.96,17,5.0,mw,217,45,-56,353,54,-119,5,104,66,205,,,,,,,,,gmt,outer_rise
201003081303A,2010-03-08T13:03:00,-34.54,-73.97,12,5.1,mw,38,41,-97,228,49,-84,4,313,84,181,,,,,,,,,gmt,outer_rise
201003100845A,2010-03-10T08:45:00,-35.16,-74.29,18,5.1,mw,48,34,-59,192,61,-109,14,296,68,64,,,,,,,,,gmt,outer_rise
201003101220A,2010-03-10T12:20:00,-33.6,-72.85,15,5.6,mw,47,6,122,195,85,87,50,101,40,288,,,,,,,,,gmt,outer_rise
201003101600A,2010-03-10T16:00:00,-38.25,-75.28,27,5.1,mw,344,55,-152,237,67,-38,8,293,43,196,,,,,,,,,gmt,outer_rise
201003121032A,2010-03-12T10:32:00,-37.86,-74.69,18,5.1,mw,348,18,71,188,73,96,62,107,28,273,,,,,,,,,gmt,outer_rise
201006280059A,2010-06-28T00:59:00,-37.91,-75.34,20,5.6,mw,41,39,-59,184,57,-113,10,289,69,45,,,,,,,,,gmt,outer_rise
201007092257A,2010-07-09T22:57:00,-45.93,-76.41,12,5.3,mw,79,59,-176,347,86,-31,19,37,24,298,,,,,,,,,gmt,outer_rise
201010210249A,2010-10-21T02:49:00,-34.82,-74.07,12,5.9,mw,2,45,-136,237,60,-54,9,303,58,199,,,,,,,,,gmt,outer_rise
201012131851A,2010-12-13T18:51:00,-34.07,-73.51,12,5.2,mw,38,28,-89,217,62,-90,17,307,73,126,,,,,,,,,gmt,outer_rise
201104040754A,2011-04-04T07:54:00,-45.8,-77.04,12,5.3,mw,174,32,-79,341,59,-97,13,76,75,232,,,,,,,,,gmt,outer_rise
201110192045A,2011-10-19T20:45:00,-45.74,-77.8,26,5.2,mw,69,70,-159,331,70,-22,0,20,29,290,,,,,,,,,gmt,outer_rise
201111251735A,2011-11-25T17:35:00,-37.77,-75.59,30,5.0,mw,321,47,-122,184,52,-60,3,253,67,157,,,,,,,,,gmt,outer_rise
201112161202A,2011-12-16T12:02:00,-46.0,-76.43,14,5.4,mw,75,75,178,165,89,15,12,31,9,299,,,,,,,,,gmt,outer_rise
201112161254A,2011-12-16T12:54:00,-46.01,-76.57,15,5.7,mw,76,71,177,167,87,19,15,33,11,300,,,,,,,,,gmt,outer_rise
201112221506A,2011-12-22T15:06:00,-46.06,-76.64,28,5.0,mw,72,66,-177,341,87,-24,15,29,19,294,,,,,,,,,gmt,outer_rise
201112230418A,2011-12-23T04:18:00,-44.71,-79.85,23,5.0,mw,258,75,-166,164,76,-15,1,211,20,121,,,,,,,,,gmt,outer_rise
201201050054A,2012-01-05T00:54:00,-45.95,-76.65,18,5.3,mw,75,69,-175,343,85,-22,11,31,18,297,,,,,,,,,gmt,outer_rise
201204061325A,2012-04-06T13:25:00,-38.54,-75.38,21,5.0,mw,181,42,-110,27,52,-73,5,105,76,356,,,,,,,,,gmt,outer_rise
201211120507A,2012-11-12T05:07:00,-45.76,-77.28,18,5.2,mw,78,73,179,168,89,17,13,34,11,302,,,,,,,,,gmt,outer_rise
201211121055A,2012-11-12T10:55:00,-45.76,-77.41,17,5.1,mw,77,64,-179,346,89,-26,17,35,19,299,,,,,,,,,gmt,outer_rise
201211130431A,2012-11-13T04:31:00,-45.8,-77.54,18,6.0,mw,77,79,176,168,86,11,11,33,5,302,,,,,,,,,gmt,outer_rise
201211252211A,2012-11-25T22:11:00,-44.5,-78.37,16,5.1,mw,80,79,-172,349,82,-11,2,34,13,304,,,,,,,,,gmt,outer_rise
201301230743A,2013-01-23T07:43:00,-44.71,-79.68,25,5.5,mw,348,85,5,258,85,175,7,213,0,303,,,,,,,,,gmt,outer_rise
201304130919A,2013-04-13T09:19:00,-45.89,-76.3,14,5.4,mw,76,68,-178,346,88,-22,14,33,17,298,,,,,,,,,gmt,outer_rise
201305211251A,2013-05-21T12:51:00,-45.7,-77.04,12,5.2,mw,113,32,-118,326,62,-73,16,43,69,268,,,,,,,,,gmt,outer_rise
201310211817A,2013-10-21T18:17:00,-38.04,-75.48,13,5.0,mw,201,38,-61,346,57,-111,10,91,70,210,,,,,,,,,gmt,outer_rise
201401071206A,2014-01-07T12:06:00,-44.7,-79.9,24,5.1,mw,256,81,176,347,86,9,9,212,4,121,,,,,,,,,gmt,outer_rise
201403021012A,2014-03-02T10:12:00,-45.56,-76.95,18,5.4,mw,170,33,-47,302,67,-114,18,50,61,176,,,,,,,,,gmt,outer_rise
201403021114A,2014-03-02T11:14:00,-46.15,-76.89,15,5.2,mw,6,49,-50,134,55,-127,3,249,61,345,,,,,,,,,gmt,outer_rise
201403021618A,2014-03-02T16:18:00,-45.78,-76.93,21,5.0,mw,160,33,-86,336,57,-93,12,67,78,237,,,,,,,,,gmt,outer_rise
201403021703A,2014-03-02T17:03:00,-45.81,-76.96,12,5.4,mw,177,32,-64,328,61,-105,15,68,69,205,,,,,,,,,gmt,outer_rise
201503061039A,2015-03-06T10:39:00,-44.52,-78.91,14,5.0,mw,77,74,-172,345,82,-16,6,32,17,300,,,,,,,,,gmt,outer_rise
201507200947A,2015-07-20T09:47:00,-35.81,-74.45,17,5.1,mw,16,43,-97,205,47,-84,2,291,85,176,,,,,,,,,gmt,outer_rise
201509180818A,2015-09-18T08:18:00,-32.32,-72.6,12,5.5,mw,348,20,85,173,70,92,65,86,25,262,,,,,,,,,gmt,outer_rise
201510021633A,2015-10-02T16:33:00,-31.08,-72.93,20,5.0,mw,216,52,-50,343,53,-129,0,99,60,190,,,,,,,,,gmt,outer_rise
201510060451A,2015-10-06T04:51:00,-30.26,-72.52,24,5.0,mw,342,34,75,181,57,100,76,119,12,263,,,,,,,,,gmt,outer_rise
201602192150A,2016-02-19T21:50:00,-45.8,-77.89,25,5.0,mw,80,72,-163,344,74,-19,1,33,25,302,,,,,,,,,gmt,outer_rise
201603271201A,2016-03-27T12:01:00,-45.64,-77.32,36,5.0,mw,74,80,-174,343,84,-10,3,29,11,298,,,,,,,,,gmt,outer_rise
201607270125A,2016-07-27T01:25:00,-44.62,-79.48,20,5.9,mw,78,88,179,168,89,2,2,33,1,303,,,,,,,,,gmt,outer_rise
201608231447A,2016-08-23T14:47:00,-45.77,-77.66,22,5.0,mw,76,70,-175,344,86,-20,11,32,17,298,,,,,,,,,gmt,outer_rise
201705061451A,2017-05-06T14:51:00,-44.52,-78.83,14,5.4,mw,76,73,178,167,88,17,13,33,11,300,,,,,,,,,gmt,outer_rise
201705270738A,2017-05-27T07:38:00,-45.88,-76.26,15,5.3,mw,76,58,-176,344,86,-32,19,34,25,295,,,,,,,,,gmt,outer_rise
201708182031A,2017-08-18T20:31:00,-45.7,-77.44,24,5.1,mw,74,62,171,168,82,29,25,35,14,298,,,,,,,,,gmt,outer_rise
201710011648A,2017-10-01T16:48:00,-45.94,-76.52,27,5.0,mw,75,69,-175,343,85,-21,11,31,18,297,,,,,,,,,gmt,outer_rise
201710161929A,2017-10-16T19:29:00,-35.5,-74.36,19,5.0,mw,27,38,-88,205,52,-91,7,296,83,106,,,,,,,,,gmt,outer_rise
201803021806A,2018-03-02T18:06:00,-44.45,-76.6,13,5.0,mw,111,64,-170,16,81,-26,12,66,25,331,,,,,,,,,gmt,outer_rise
201806140627A,2018-06-14T06:27:00,-45.99,-76.46,15,5.7,mw,74,58,177,166,88,32,24,35,20,295,,,,,,,,,gmt,outer_rise
201806230231A,2018-06-23T02:31:00,-44.67,-79.85,25,5.1,mw,350,77,0,80,90,-167,9,214,9,306,,,,,,,,,gmt,outer_rise
201810011511A,2018-10-01T15:11:00,-45.88,-76.26,18,5.3,mw,78,44,178,170,88,46,32,44,29,294,,,,,,,,,gmt,outer_rise
201811062122A,2018-11-06T21:22:00,-45.69,-77.09,12,5.3,mw,75,53,-176,343,87,-37,23,35,28,292,,,,,,,,,gmt,outer_rise
201903151842A,2019-03-15T18:42:00,-44.38,-76.42,13,5.0,mw,351,38,-114,200,56,-73,9,278,73,157,,,,,,,,,gmt,outer_rise
201903161754A,2019-03-16T17:54:00,-45.68,-77.23,16,5.1,mw,78,64,-177,347,88,-26,16,35,20,299,,,,,,,,,gmt,outer_rise
201905170527A,2019-05-17T05:27:00,-35.2,-74.15,12,5.2,mw,25,43,-88,203,47,-92,2,294,88,79,,,,,,,,,gmt,outer_rise
202004010355A,2020-04-01T03:55:00,-45.63,-76.77,20,5.0,mw,341,43,-87,157,47,-93,2,249,87,24,,,,,,,,,gmt,outer_rise
202004010409A,2020-04-01T04:09:00,-45.62,-76.81,12,5.2,mw,330,44,-109,176,49,-73,3,253,77,153,,,,,,,,,gmt,outer_rise
202004010412A,2020-04-01T04:12:00,-45.66,-77.02,20,5.2,mw,336,25,-109,176,66,-81,21,260,67,103,,,,,,,,,gmt,outer_rise
202004141854A,2020-04-14T18:54:00,-44.71,-79.9,33,5.0,mw,351,79,9,259,81,169,14,215,2,305,,,,,,,,,gmt,outer_rise
202011030240A,2020-11-03T02:40:00,-44.61,-79.46,18,6.0,mw,258,86,-179,168,89,-4,2,213,4,123,,,,,,,,,gmt,outer_rise
202011031947A,2020-11-03T19:47:00,-44.77,-79.91,29,5.0,mw,263,73,179,353,89,17,13,219,11,127,,,,,,,,,gmt,outer_rise
202106050305A,2021-06-05T03:05:00,-35.01,-74.1,19,5.4,mw,19,33,-114,226,60,-75,14,306,71,170,,,,,,,,,gmt,outer_rise
202110181832A,2021-10-18T18:32:00,-45.73,-77.41,17,5.0,mw,347,81,-4,77,86,-171,4,212,9,303,,,,,,,,,gmt,outer_rise
202110182223A,2021-10-18T22:23:00,-45.73,-77.36,12,5.1,mw,80,78,-172,349,82,-12,3,35,14,304,,,,,,,,,gmt,outer_rise
202111080616A,2021-11-08T06:16:00,-34.06,-73.48,17,5.0,mw,39,32,-100,231,59,-84,13,316,76,159,,,,,,,,,gmt,outer_rise
202205052105A,2022-05-05T21:05:00,-33.14,-73.07,38,5.2,mw,218,45,118,1,51,65,70,208,3,109,,,,,,,,,gmt,outer_rise
202207061512A,2022-07-06T15:12:00,-42.4,-75.55,12,5.5,mw,9,41,-105,208,50,-78,5,290,79,173,,,,,,,,,gmt,outer_rise
202207132121A,2022-07-13T21:21:00,-33.33,-73.13,19,5.0,mw,17,32,-121,232,63,-72,16,309,67,176,,,,,,,,,gmt,outer_rise
202209232253A,2022-09-23T22:53:00,-41.44,-75.62,32,6.1,mw,190,46,120,330,51,63,69,177,3,79,,,,,,,,,gmt,outer_rise
202209281513A,2022-09-28T15:13:00,-45.83,-76.24,20,5.0,mw,80,72,-166,345,77,-19,3,33,22,302,,,,,,,,,gmt,outer_rise
202209300615A,2022-09-30T06:15:00,-45.89,-76.27,12,5.3,mw,345,78,-8,76,82,-168,3,210,14,301,,,,,,,,,gmt,outer_rise
202211050757A,2022-11-05T07:57:00,-35.62,-73.85,20,5.0,mw,151,56,175,244,86,34,27,113,20,12,,,,,,,,,gmt,outer_rise
202212090806A,2022-12-09T08:06:00,-44.66,-79.82,21,5.1,mw,259,76,-171,167,81,-14,4,213,16,122,,,,,,,,,gmt,outer_rise
202212232003A,2022-12-23T20:03:00,-45.56,-76.94,12,5.3,mw,160,42,-55,296,57,-117,8,46,66,154,,,,,,,,,gmt,outer_rise
