id,time_iso,latitude,longitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,P_plunge,P_azimuth,N_plunge,N_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
200503291638A,2005-03-29T16:38:00,-33.76,-72.38,20,5.3,mw,6,17,100,175,73,87,62,81,28,268,,,,,,,,,gmt,subduction_interface
200601052251A,2006-01-05T22:51:00,-36.43,-73.52,20,5.2,mw,19,16,104,184,74,86,60,89,29,278,,,,,,,,,gmt,subduction_interface
200605210511A,2006-05-21T05:11:00,-37.41,-74.14,15,5.2,mw,27,17,120,176,76,82,59,74,30,273,,,,,,,,,gmt,subduction_interface
200703291709A,2007-03-29T17:09:00,-31.59,-72.06,22,5.6,mw,29,22,112,185,69,81,64,81,24,282,,,,,,,,,gmt,subduction_interface
200703291746A,2007-03-29T17:46:00,-31.69,-72.12,20,5.3,mw,336,15,59,188,78,98,57,108,32,271,,,,,,,,,gmt,subduction_interface
200708081414A,2007-08-08T14:14:00,-32.66,-71.92,24,5.3,mw,335,17,78,167,74,93,61,83,28,255,,,,,,,,,gmt,subduction_interface
200712200306A,2007-12-20T03:06:00,-32.85,-72.01,25,5.5,mw,351,12,80,181,78,92,57,94,33,269,,,,,,,,,gmt,subduction_interface
200812182119A,2008-12-18T21:19:00,-32.63,-72.13,22,6.1,mw,360,19,94,175,71,89,64,84,26,267,,,,,,,,,gmt,subduction_interface
200812182150A,2008-12-18T21:50:00,-32.62,-72.11,21,5.8,mw,350,18,83,177,72,92,63,91,27,266,,,,,,,,,gmt,subduction_interface
200812190936A,2008-12-19T09:36:00,-32.56,-72.1,23,5.7,mw,2,19,100,172,72,87,64,76,26,264,,,,,,,,,gmt,subduction_interface
200812191357A,2008-12-19T13:57:00,-32.68,-71.97,24,5.2,mw,11,19,118,162,74,81,61,58,28,259,,,,,,,,,gmt,subduction_interface
200910280620A,2009-10-28T06:20:00,-32.84,-72.05,19,5.0,mw,164,43,86,349,47,94,87,310,2,77,,,,,,,,,gmt,subduction_interface
201002281948A,2010-02-28T19:48:00,-38.36,-74.15,15,5.8,mw,1,16,91,180,74,90,61,90,29,270,,,,,,,,,gmt,subduction_interface
201003010244A,2010-03-01T02:44:00,-35.22,-72.75,19,5.6,mw,302,29,32,183,75,115,53,123,26,254,,,,,,,,,gmt,subduction_interface
201003010749A,2010-03-01T07:49:00,-34.73,-73.53,12,5.3,mw,208,35,-65,358,58,-107,12,100,71,230,,,,,,,,,gmt,subduction_interface
201003010846A,2010-03-01T08:46:00,-35.51,-73.46,15,5.3,mw,26,17,98,197,73,87,62,104,28,290,,,,,,,,,gmt,subduction_interface
201003020409A,2010-03-02T04:09:00,-35.88,-73.73,15,5.4,mw,359,13,78,191,78,93,58,105,32,279,,,,,,,,,gmt,subduction_interface
201003020428A,2010-03-02T04:28:00,-36.85,-73.81,15,5.5,mw,17,11,110,178,79,86,55,82,35,270,,,,,,,,,gmt,subduction_interface
201003020610A,2010-03-02T06:10:00,-34.63,-72.87,15,5.3,mw,3,5,84,189,85,91,50,100,40,279,,,,,,,,,gmt,subduction_interface
201003021216A,2010-03-02T12:16:00,-36.76,-73.83,18,5.2,mw,5,16,95,181,74,89,61,88,29,271,,,,,,,,,gmt,subduction_interface
201003021912A,2010-03-02T19:12:00,-34.39,-72.55,19,5.6,mw,14,17,119,163,75,81,59,62,30,261,,,,,,,,,gmt,subduction_interface
201003030435A,2010-03-03T04:35:00,-37.61,-74.29,15,5.3,mw,350,12,66,194,79,95,56,111,34,280,,,,,,,,,gmt,subduction_interface
201003031744A,2010-03-03T17:44:00,-36.7,-73.69,16,6.1,mw,15,12,103,182,78,87,57,88,33,274,,,,,,,,,gmt,subduction_interface
201003031958A,2010-03-03T19:58:00,-33.59,-72.36,19,5.8,mw,2,17,94,178,73,89,62,86,28,269,,,,,,,,,gmt,subduction_interface
201003040159A,2010-03-04T01:59:00,-33.45,-72.55,13,6.0,mw,10,19,97,183,71,88,64,89,26,274,,,,,,,,,gmt,subduction_interface
201003041737A,2010-03-04T17:37:00,-34.24,-72.41,24,5.4,mw,14,22,106,177,69,84,66,76,24,272,,,,,,,,,gmt,subduction_interface
201003051031A,2010-03-05T10:31:00,-37.58,-73.77,26,5.2,mw,358,28,97,171,62,86,73,71,17,263,,,,,,,,,gmt,subduction_interface
201003061519A,2010-03-06T15:19:00,-37.59,-74.31,14,5.2,mw,28,19,112,185,72,83,62,84,27,281,,,,,,,,,gmt,subduction_interface
201003071559A,2010-03-07T15:59:00,-38.22,-73.78,25,5.9,mw,348,12,84,174,78,91,57,86,33,263,,,,,,,,,gmt,subduction_interface
201003081750A,2010-03-08T17:50:00,-32.88,-72.04,17,5.3,mw,360,28,108,159,63,81,70,50,18,257,,,,,,,,,gmt,subduction_interface
201003081808A,2010-03-08T18:08:00,-32.78,-72.11,16,5.3,mw,353,26,89,175,64,91,71,85,19,264,,,,,,,,,gmt,subduction_interface
201003100401A,2010-03-10T04:01:00,-37.32,-74.12,15,5.1,mw,15,12,109,176,78,86,56,81,34,269,,,,,,,,,gmt,subduction_interface
201003131034A,2010-03-13T10:34:00,-37.78,-73.95,20,5.8,mw,7,19,102,175,71,86,63,78,26,268,,,,,,,,,gmt,subduction_interface
201003132020A,2010-03-13T20:20:00,-37.11,-74.29,15,5.3,mw,346,12,79,177,79,92,57,90,33,265,,,,,,,,,gmt,subduction_interface
201003141352A,2010-03-14T13:52:00,-38.71,-73.85,19,5.5,mw,281,25,-26,35,79,-113,31,143,51,279,,,,,,,,,gmt,subduction_interface
201003151108A,2010-03-15T11:08:00,-35.96,-73.85,12,6.2,mw,21,15,103,187,76,87,59,93,30,280,,,,,,,,,gmt,subduction_interface
201003160304A,2010-03-16T03:04:00,-36.68,-73.76,17,5.9,mw,19,14,112,177,77,85,58,79,32,271,,,,,,,,,gmt,subduction_interface
201003190854A,2010-03-19T08:54:00,-35.67,-73.33,15,5.5,mw,27,10,118,178,81,85,54,83,36,273,,,,,,,,,gmt,subduction_interface
201003191420A,2010-03-19T14:20:00,-33.37,-72.59,15,5.2,mw,20,16,110,178,75,84,60,81,30,274,,,,,,,,,gmt,subduction_interface
201003211831A,2010-03-21T18:31:00,-36.56,-73.57,21,5.5,mw,11,25,113,166,67,79,66,57,21,264,,,,,,,,,gmt,subduction_interface
201003240005A,2010-03-24T00:05:00,-37.28,-74.18,16,5.1,mw,12,14,106,176,77,86,58,80,31,269,,,,,,,,,gmt,subduction_interface
201003251110A,2010-03-25T11:10:00,-35.85,-73.69,15,5.3,mw,21,14,103,187,76,87,59,93,31,280,,,,,,,,,gmt,subduction_interface
