id,time_iso,latitude,longitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,P_plunge,P_azimuth,N_plunge,N_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
200503010724A,2005-03-01T07:24:00,-31.59,-72.1,33,5.4,mw,354,25,103,159,66,84,69,58,20,254,,,,,,,,,gmt,subduction_intraslab
200503132038A,2005-03-13T20:38:00,-32.72,-72.02,36,5.2,mw,9,24,103,175,66,84,68,74,21,269,,,,,,,,,gmt,subduction_intraslab
200503291638A,2005-03-29T16:38:00,-33.76,-72.38,20,5.3,mw,6,17,100,175,73,87,62,81,28,268,,,,,,,,,gmt,subduction_intraslab
200512141052A,2005-12-14T10:52:00,-31.22,-72.05,58,5.3,mw,266,24,-18,12,83,-113,34,122,47,259,,,,,,,,,gmt,subduction_intraslab
200512212219A,2005-12-21T22:19:00,-42.85,-74.43,30,5.2,mw,333,23,60,185,70,102,63,114,24,266,,,,,,,,,gmt,subduction_intraslab
200512260056A,2005-12-26T00:56:00,-39.01,-73.74,41,5.1,mw,4,32,89,185,58,91,77,97,13,275,,,,,,,,,gmt,subduction_intraslab
200601052251A,2006-01-05T22:51:00,-36.43,-73.52,20,5.2,mw,19,16,104,184,74,86,60,89,29,278,,,,,,,,,gmt,subduction_intraslab
200602101751A,2006-02-10T17:51:00,-32.57,-71.84,42,5.2,mw,11,32,97,183,59,86,76,80,13,276,,,,,,,,,gmt,subduction_intraslab
200604151442A,2006-04-15T14:42:00,-31.18,-72.33,28,5.2,mw,1,22,93,179,68,89,67,86,23,269,,,,,,,,,gmt,subduction_intraslab
200605090902A,2006-05-09T09:02:00,-32.85,-70.04,126,5.0,mw,270,44,-29,22,70,-130,16,140,48,248,,,,,,,,,gmt,subduction_intraslab
200605181826A,2006-05-18T18:26:00,-32.34,-72.14,24,5.0,mw,11,24,109,170,68,82,67,66,22,267,,,,,,,,,gmt,subduction_intraslab
200605210511A,2006-05-21T05:11:00,-37.41,-74.14,15,5.2,mw,27,17,120,176,76,82,59,74,30,273,,,,,,,,,gmt,subduction_intraslab
200607192211A,2006-07-19T22:11:00,-32.63,-72.24,31,5.0,mw,336,25,74,174,66,98,68,98,21,258,,,,,,,,,gmt,subduction_intraslab
200609170934A,2006-09-17T09:34:00,-31.9,-67.15,146,6.2,mw,147,17,-147,25,81,-76,34,103,52,312,,,,,,,,,gmt,subduction_intraslab
200609242108A,2006-09-24T21:08:00,-31.89,-67.18,152,5.7,mw,122,34,-131,348,65,-66,17,61,62,296,,,,,,,,,gmt,subduction_intraslab
200610121805A,2006-10-12T18:05:00,-31.48,-72.03,37,6.4,mw,3,26,96,176,65,87,71,80,19,269,,,,,,,,,gmt,subduction_intraslab
200610131612A,2006-10-13T16:12:00,-31.55,-72.02,39,5.3,mw,360,26,95,174,64,88,71,79,19,266,,,,,,,,,gmt,subduction_intraslab
200610160133A,2006-10-16T01:33:00,-30.32,-71.76,43,5.5,mw,8,38,113,160,56,73,73,24,9,262,,,,,,,,,gmt,subduction_intraslab
200701071055A,2007-01-07T10:55:00,-35.52,-71.23,121,5.0,mw,199,23,-83,12,68,-93,22,104,68,276,,,,,,,,,gmt,subduction_intraslab
200702100603A,2007-02-10T06:03:00,-43.26,-72.26,162,5.5,mw,207,6,117,360,84,87,50,267,40,92,,,,,,,,,gmt,subduction_intraslab
200703021307A,2007-03-02T13:07:00,-30.93,-71.64,55,5.4,mw,7,35,100,176,55,83,78,60,10,270,,,,,,,,,gmt,subduction_intraslab
200703201759A,2007-03-20T17:59:00,-31.92,-67.19,146,5.2,mw,168,19,-125,24,75,-79,29,106,59,310,,,,,,,,,gmt,subduction_intraslab
200703291440A,2007-03-29T14:40:00,-31.63,-72.16,27,5.6,mw,12,19,91,191,71,90,64,100,26,281,,,,,,,,,gmt,subduction_intraslab
200703291709A,2007-03-29T17:09:00,-31.59,-72.06,22,5.6,mw,29,22,112,185,69,81,64,81,24,282,,,,,,,,,gmt,subduction_intraslab
200703291746A,2007-03-29T17:46:00,-31.69,-72.12,20,5.3,mw,336,15,59,188,78,98,57,108,32,271,,,,,,,,,gmt,subduction_intraslab
200703291832A,2007-03-29T18:32:00,-31.72,-72.23,32,5.0,mw,347,31,85,172,59,93,76,91,14,261,,,,,,,,,gmt,subduction_intraslab
200704220605A,2007-04-22T06:05:00,-31.59,-72.34,28,5.1,mw,348,28,61,201,66,105,66,136,20,279,,,,,,,,,gmt,subduction_intraslab
200706210954A,2007-06-21T09:54:00,-31.79,-71.42,54,5.1,mw,359,32,94,174,58,88,77,77,13,266,,,,,,,,,gmt,subduction_intraslab
200706281925A,2007-06-28T19:25:00,-32.08,-71.63,80,5.6,mw,198,15,-73,0,75,-95,31,94,59,264,,,,,,,,,gmt,subduction_intraslab
200707111512A,2007-07-11T15:12:00,-32.67,-70.3,116,5.1,mw,150,50,-177,58,88,-40,25,111,29,6,,,,,,,,,gmt,subduction_intraslab
200708081414A,2007-08-08T14:14:00,-32.66,-71.92,24,5.3,mw,335,17,78,167,74,93,61,83,28,255,,,,,,,,,gmt,subduction_intraslab
200710201956A,2007-10-20T19:56:00,-36.5,-73.51,41,5.2,mw,13,23,104,177,67,84,67,77,23,272,,,,,,,,,gmt,subduction_intraslab
200710270116A,2007-10-27T01:16:00,-31.85,-69.21,114,5.0,mw,299,51,-26,46,70,-138,12,169,43,270,,,,,,,,,gmt,subduction_intraslab
200712151822A,2007-12-15T18:22:00,-32.81,-72.02,33,5.9,mw,359,21,89,179,69,90,66,91,24,270,,,,,,,,,gmt,subduction_intraslab
200712200306A,2007-12-20T03:06:00,-32.85,-72.01,25,5.5,mw,351,12,80,181,78,92,57,94,33,269,,,,,,,,,gmt,subduction_intraslab
200803290134A,2008-03-29T01:34:00,-43.2,-74.58,42,5.1,mw,5,32,90,184,58,90,77,95,13,275,,,,,,,,,gmt,subduction_intraslab
200810011703A,2008-10-01T17:03:00,-35.03,-71.04,119,5.2,mw,288,4,-10,28,89,-94,44,122,46,294,,,,,,,,,gmt,subduction_intraslab
200811232119A,2008-11-23T21:19:00,-36.38,-73.36,38,5.3,mw,11,22,111,169,69,82,65,65,24,265,,,,,,,,,gmt,subduction_intraslab
200812182119A,2008-12-18T21:19:00,-32.63,-72.13,22,6.1,mw,360,19,94,175,71,89,64,84,26,267,,,,,,,,,gmt,subduction_intraslab
200812182150A,2008-12-18T21:50:00,-32.62,-72.11,21,5.8,mw,350,18,83,177,72,92,63,91,27,266,,,,,,,,,gmt,subduction_intraslab
200812190730A,2008-12-19T07:30:00,-32.66,-72.24,22,5.4,mw,359,20,90,179,70,90,65,89,25,269,,,,,,,,,gmt,subduction_intraslab
200812190936A,2008-12-19T09:36:00,-32.56,-72.1,23,5.7,mw,2,19,100,172,72,87,64,76,26,264,,,,,,,,,gmt,subduction_intraslab
200812191357A,2008-12-19T13:57:00,-32.68,-71.97,24,5.2,mw,11,19,118,162,74,81,61,58,28,259,,,,,,,,,gmt,subduction_intraslab
200812191648A,2008-12-19T16:48:00,-32.6,-72.25,29,5.2,mw,351,23,82,180,67,93,68,96,22,267,,,,,,,,,gmt,subduction_intraslab
200812201707A,2008-12-20T17:07:00,-31.72,-68.14,123,5.2,mw,66,46,-52,198,56,-122,5,310,63,50,,,,,,,,,gmt,subduction_intraslab
200901231256A,2009-01-23T12:56:00,-36.64,-71.22,122,5.2,mw,253,56,-16,352,77,-145,14,119,34,218,,,,,,,,,gmt,subduction_intraslab
200903111306A,2009-03-11T13:06:00,-31.98,-69.29,37,5.3,mw,190,44,109,344,49,72,77,187,3,87,,,,,,,,,gmt,subduction_intraslab
200904260803A,2009-04-26T08:03:00,-32.89,-69.49,141,5.3,mw,145,49,169,242,82,42,34,112,21,7,,,,,,,,,gmt,subduction_intraslab
200905081344A,2009-05-08T13:44:00,-32.02,-69.68,110,5.4,mw,185,48,-121,47,50,-60,1,116,67,23,,,,,,,,,gmt,subduction_intraslab
200906132122A,2009-06-13T21:22:00,-30.8,-71.99,34,5.0,mw,352,29,88,175,61,91,74,87,16,263,,,,,,,,,gmt,subduction_intraslab
200907121443A,2009-07-12T14:43:00,-30.71,-71.58,66,5.2,mw,360,32,99,169,58,84,76,63,13,263,,,,,,,,,gmt,subduction_intraslab
200909251547A,2009-09-25T15:47:00,-32.26,-71.9,42,5.1,mw,277,58,15,180,78,147,32,133,13,231,,,,,,,,,gmt,subduction_intraslab
200910280620A,2009-10-28T06:20:00,-32.84,-72.05,19,5.0,mw,164,43,86,349,47,94,87,310,2,77,,,,,,,,,gmt,subduction_intraslab
200912291147A,2009-12-29T11:47:00,-36.78,-73.39,43,5.1,mw,1,21,95,175,69,88,66,82,24,267,,,,,,,,,gmt,subduction_intraslab
201001181228A,2010-01-18T12:28:00,-31.48,-68.97,116,5.4,mw,231,37,-97,60,54,-85,8,146,81,354,,,,,,,,,gmt,subduction_intraslab
201002121203A,2010-02-12T12:03:00,-33.63,-69.02,174,5.8,mw,69,57,-156,325,70,-35,8,20,39,283,,,,,,,,,gmt,subduction_intraslab
201002271900A,2010-02-27T19:00:00,-33.62,-72.29,24,6.2,mw,3,27,97,175,64,86,72,77,18,268,,,,,,,,,gmt,subduction_intraslab
201002272302A,2010-02-27T23:02:00,-37.94,-73.33,53,5.9,mw,349,27,90,169,63,90,72,79,18,259,,,,,,,,,gmt,subduction_intraslab
201002280108A,2010-02-28T01:08:00,-34.25,-72.46,31,5.9,mw,13,24,95,187,66,88,69,93,21,279,,,,,,,,,gmt,subduction_intraslab
