id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
B031681A,1981-03-16T13:40:52,-71.67,-35.67,60.1,5.2,Mw,252.0,46.0,-39.0,11.0,63.0,-129.0,10.0,128.0,34.0,31.0,54.0,232.0,-8.331e+16,2.665e+16,5.667e+16,1.611e+16,-6.269e+16,9.187e+16,GCMT,,intra_arc_deep
B072881B,1981-07-28T03:03:21,-73.2,-41.57,43.0,5.6,Mw,44.0,59.0,17.0,305.0,75.0,148.0,33.0,261.0,55.0,103.0,10.0,357.0,,,,,,,USGS,OTHER:072881B;OTHER:081496F;OTHER:121897B;OTHER:200805020551A;OTHER:200805030236A;OTHER:200805240243A;OTHER:201706252208A,intra_arc_deep
B040285B,1985-04-02T02:35:28,-68.97,-28.77,94.0,5.1,Mw,133.0,58.0,-143.0,21.0,59.0,-38.0,0.0,77.0,42.0,167.0,48.0,346.0,,,,,,,USGS,,intra_arc_deep
B040285B,1985-04-02T02:35:36,-69.72,-28.48,83.2,5.1,Mw,133.0,58.0,-143.0,21.0,59.0,-38.0,0.0,77.0,42.0,167.0,48.0,346.0,-3.339e+16,-2.702e+16,6.041e+16,-8080000000000002.0,-3320000000000000.0,-2.1e+16,GCMT,,intra_arc_deep
B010886A,1986-01-08T03:42:54,-71.38,-35.83,96.4,5.4,Mw,303.0,16.0,0.0,33.0,90.0,-106.0,43.0,138.0,16.0,33.0,43.0,288.0,1380000000000000.0,1.464e+16,-1.602e+16,-3.571e+16,-5.215e+16,9440000000000000.0,GCMT,,intra_arc_deep
C051490C,1990-05-14T21:34:09,-71.34,-35.89,92.0,5.7,Mw,273.0,40.0,19.0,168.0,78.0,128.0,44.0,115.0,37.0,339.0,24.0,230.0,5.77e+17,-5.92e+17,1.4e+16,-1.64e+17,-1.458e+18,1.059e+18,GCMT,NEIC:369309,intra_arc_deep
B032597A,1997-03-25T00:14:50,-70.62,-33.45,89.9,5.5,Mw,158.0,59.0,-161.0,58.0,74.0,-33.0,10.0,111.0,54.0,215.0,34.0,14.0,-6.04e+16,-1.123e+17,1.727e+17,-1.1279999999999998e+17,-8000000000000000.0,1.068e+17,GCMT,,intra_arc_deep
B121897B,1997-12-18T12:30:07,-72.92,-41.99,44.2,5.1,Mw,87.0,27.0,37.0,323.0,74.0,112.0,56.0,261.0,21.0,136.0,26.0,35.0,3.339e+16,-3.686e+16,3470000000000000.0,-2.889e+16,4.644e+16,2.567e+16,GCMT,,intra_arc_deep
B020599D,1999-02-05T16:07:10,-70.56,-34.78,99.0,5.0,Mw,126.0,47.0,146.0,241.0,66.0,48.0,51.0,103.0,37.0,261.0,11.0,359.0,4.761999999999999e+16,-6.595e+16,1.833e+16,-2.171e+16,-6.548e+16,1.162e+16,GCMT,,intra_arc_deep
B051099A,1999-05-10T08:47:25,-69.16,-30.4,65.2,5.2,Mw,119.0,53.0,15.0,20.0,78.0,142.0,35.0,333.0,50.0,186.0,17.0,75.0,,,,,,,USGS,,intra_arc_deep
