id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
562902,1983-12-15T04:22:33,-70.12,-33.099,106.0,6.2,mw,4.0,82.0,-115.0,257.0,27.0,-19.0,32.0,115.0,25.0,8.0,47.0,248.0,-64000000000.0,14000000000.000002,50000000000.0,0.0,-212000000000.0,107000000000.0,NEIS,deep_subduction
522354,1985-06-10T15:37:00,-66.995,-27.958,201.0,6.4,mw,79.0,53.0,-151.0,331.0,67.0,-40.0,8.0,28.0,45.0,126.0,44.0,290.0,-234000000000.0,357000000000.0,-122000000000.0,-28000000000.000004,-282000000000.0,-284000000000.0,NEIC,deep_subduction
451852,1987-12-30T11:56:19,-70.797,-35.053,96.0,5.4,mw,39.0,79.0,-57.0,146.0,35.0,-160.0,26.0,103.0,33.0,212.0,46.0,343.0,-4600000000.0,-5800000000.0,10400000000.0,-8100000000.0,-7700000000.0,800000000.0,NEIC,deep_subduction
369309,1990-05-14T21:34:04,-71.415,-35.925,83.0,6.2,mw,170.0,82.0,142.0,267.0,52.0,11.0,32.0,121.0,51.0,340.0,19.0,224.0,40000000000.0,-53000000000.0,13000000000.0,3000000000.0,-119000000000.0,156000000000.0,NEIC,deep_subduction
227125,1993-06-08T23:17:41,-69.234,-31.56,131.0,6.3,mw,53.0,45.0,-75.0,211.0,47.0,-105.0,1.0,312.0,11.0,222.0,79.0,47.0,-326000000000.0,142000000000.0,184000000000.0,-36000000000.0,48000000000.0,191000000000.0,NEIC,deep_subduction
151335,1994-10-20T01:15:16,-70.811,-39.187,168.0,6.0,mw,241.0,21.0,167.0,344.0,85.0,70.0,46.0,233.0,20.0,346.0,37.0,92.0,16800000000.0,12600000000.0,-29300000000.0,-30400000000.0,84200000000.0,-26400000000.0,NEIC,deep_subduction
87160,1995-08-03T08:18:53,-69.239,-28.281,109.0,5.8,mw,169.0,50.0,-88.0,345.0,40.0,-93.0,5.0,257.0,2.0,347.0,85.0,97.0,-61500000000.0,5300000000.0,56500000000.00001,-300000000.0,10800000000.0,-12500000000.0,NEIC,deep_subduction
1027534,1997-05-17T02:10:18,-69.499,-27.162,114.0,5.5,mw,48.0,31.0,-28.0,162.0,76.0,-118.0,26.0,274.0,27.0,170.0,51.0,41.0,-7800000000.0,-4300000000.0,12100000000.0,-6500000000.0,13500000000.000002,4800000000.0,NEIC,deep_subduction
1032843,1997-06-19T12:21:03,-70.142,-33.2,105.0,5.4,mw,37.0,84.0,-79.0,155.0,12.0,-152.0,38.0,117.0,11.0,216.0,50.0,319.0,-3400000000.0000005,-1200000000.0,4600000000.0,-9200000000.0,-11200000000.000002,0.0,NEIC,deep_subduction
1144367,1998-06-07T16:10:46,-67.833,-31.518,110.0,5.9,mw,33.0,61.0,-36.0,143.0,59.0,-146.0,1.0,88.0,45.0,180.0,45.0,357.0,-43700000000.0,-43499999999.99999,87200000000.0,-31600000000.0,-4200000000.0,-4400000000.0,NEIC,deep_subduction
1333806,1998-12-14T16:25:24,-71.033,-38.214,136.0,6.0,mw,247.0,32.0,-4.0,341.0,88.0,-122.0,35.0,98.0,32.0,342.0,39.0,222.0,-6000000000.0,-38000000000.0,43000000000.0,24000000000.0,-82000000000.0,36000000000.0,NEIC,deep_subduction
1654972,1999-08-04T16:49:50,-68.079,-31.656,115.2,5.4,mw,8.0,54.0,-43.0,127.0,56.0,-135.0,2.0,247.0,36.0,156.0,54.0,339.0,-8700000000.0,-2200000000.0,10800000000.0,-5500000000.000001,-1700000000.0000002,-6600000000.0,NEIC,deep_subduction
1736564,2000-06-16T07:55:35,-70.088,-33.877,120.2,6.4,mw,21.0,67.0,-97.0,218.0,24.0,-74.0,22.0,116.0,6.0,24.0,67.0,278.0,-300000000000.0,44000000000.0,257000000000.0,-98000000000.0,-295000000000.0,167000000000.0,NEIC,deep_subduction
1800532,2001-03-31T06:54:15,-68.327,-29.402,104.0,5.4,mw,4.0,64.0,-25.0,106.0,68.0,-152.0,2.0,234.0,55.0,142.0,35.0,326.0,-5900000000.0,-1200000000.0,7100000000.0,-4400000000.0,-2200000000.0,-11700000000.0,NEIC,deep_subduction
1817649,2001-04-21T18:15:46,-67.52,-29.103,127.8,5.8,mw,172.0,60.0,-12.0,268.0,79.0,-149.0,13.0,37.0,57.0,285.0,29.0,134.0,-15000000000.0,17400000000.0,-2300000000.0,26600000000.0,5500000000.000001,-49800000000.00001,NEIC,deep_subduction
2238618,2001-10-17T02:34:41,-68.916,-28.493,117.3,5.4,mw,156.0,50.0,-85.0,327.0,40.0,-96.0,5.0,242.0,4.0,332.0,84.0,102.0,-14100000000.0,3499999999.9999995,10500000000.0,-200000000.0,2600000000.0,-5400000000.0,NEIC,deep_subduction
3379719,2002-09-24T03:57:22,-69.2,-31.519,119.6,6.3,mw,5.0,41.0,-95.0,192.0,50.0,-86.0,4.0,279.0,3.0,9.0,84.0,136.0,-353000000000.0,15000000000.0,338000000000.0,29000000000.0,51000000000.0,49000000000.0,NEIC,deep_subduction
6843892,2003-05-18T21:10:21,-69.094,-31.396,114.1,5.5,mw,38.0,39.0,-81.0,206.0,52.0,-97.0,6.0,301.0,6.0,210.0,81.0,78.0,-17800000000.0,5000000000.0,12800000000.0,400000000.0,4300000000.0,7800000000.0,NEIC,deep_subduction
6851922,2003-05-27T08:29:45,-68.596,-31.365,118.0,5.7,mw,11.0,51.0,-69.0,159.0,44.0,-114.0,4.0,86.0,17.0,177.0,73.0,343.0,-27600000000.0,-10400000000.0,37800000000.0,-5200000000.0,-4900000000.0,-4000000000.0,NEIC,deep_subduction
11121520,2006-09-12T13:30:55,-68.898,-28.944,114.0,6.0,mw,154.0,69.0,-81.0,311.0,22.0,-111.0,24.0,237.0,8.0,331.0,65.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,NEIC,deep_subduction
8715487,2006-09-17T09:34:13,-67.145,-31.733,137.0,6.2,mw,26.0,80.0,-55.0,130.0,37.0,-163.0,26.0,89.0,35.0,199.0,44.0,330.0,-72000000000.0,-87000000000.0,159000000000.0,-125000000000.0,-155000000000.0,-70000000000.0,NEIC,deep_subduction
11121679,2006-09-24T21:08:49,-67.687,-32.228,141.0,5.7,mw,104.0,48.0,-145.0,349.0,65.0,-48.0,10.0,50.0,38.0,148.0,51.0,308.0,-27000000000.000004,12000000000.0,14900000000.0,-9000000000.0,-24600000000.0,-32000000000.0,NEIC,deep_subduction
13485624,2008-03-10T09:43:01,-69.294,-28.337,89.5,5.6,mw,20.0,41.0,-80.0,188.0,49.0,-98.0,4.0,283.0,6.0,193.0,82.0,46.0,-29400000000.0,-400000000.0,29900000000.0,-2000000000.0,5000000000.0,8000000000.0,NEIC,deep_subduction
12086165,2009-04-03T17:55:06,-65.83,-27.92,173.0,5.7,mw,181.0,45.0,-24.0,289.0,73.0,-131.0,17.0,48.0,39.0,304.0,45.0,157.0,-18900000000.0,-100000000.0,19000000000.0,26900000000.0,-2600000000.0,-28700000000.0,NEIC,deep_subduction
12784565,2009-05-08T13:44:53,-69.678,-32.057,111.9,5.4,mw,31.0,69.0,-74.0,172.0,26.0,-126.0,22.0,108.0,14.0,204.0,62.0,325.0,-9300000000.0,-1500000000.0,10800000000.0,-6500000000.0,-8800000000.0,2900000000.0,NEIC,deep_subduction
14238697,2010-01-18T12:28:51,-67.99,-30.97,93.0,5.4,mw,81.0,50.0,-64.0,226.0,46.0,-115.0,1.0,154.0,18.0,244.0,71.0,58.0,-12500000000.0,12900000000.0,-400000000.0,-2200000000.0,2300000000.0,8500000000.0,NEIC,deep_subduction
14630539,2010-04-09T22:23:02,-68.124,-28.559,117.7,5.8,mw,175.0,49.0,-60.0,314.0,49.0,-120.0,0.0,244.0,21.0,334.0,68.0,154.0,-56300000000.0,500000000.0,55800000000.0,17100000000.0,8300000000.0,-35000000000.0,NEIC,deep_subduction
15905612,2011-01-04T22:59:08,-69.791,-29.075,133.6,5.0,mw,7.0,0.0,7.0,,,,,,,,,,,,,,,,SJA,deep_subduction
