id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
529154,1985-03-04T15:01:07,-71.249,-33.842,31.0,6.3,mw,52.0,42.0,138.0,176.0,64.0,57.0,57.0,40.0,30.0,192.0,13.0,289.0,211000000000.0,-41000000000.0,-170000000000.0,150000000000.0,-161000000000.0,-108000000000.00002,NEIC,forearc
530333,1985-03-17T10:41:38,-71.551,-32.633,30.0,6.7,mw,27.0,18.0,103.0,193.0,73.0,86.0,62.0,96.0,4.0,194.0,27.0,286.0,790000000000.0,-350000000000.0,-440000000000.0,-150000000000.0,-900000000000.0,-100000000000.0,NEIC,forearc
473671,1987-02-03T16:42:41,-72.893,-37.75,35.0,5.9,mw,155.0,71.0,125.0,269.0,39.0,31.0,51.0,104.0,33.0,322.0,19.0,219.0,39600000000.0,-39400000000.0,-300000000.0,15000000000.0,-49000000000.00001,48499999999.99999,NEIC,forearc
373223,1990-04-21T18:54:52,-73.303,-36.985,5.0,6.3,mw,172.0,83.0,101.0,296.0,13.0,35.0,51.0,94.0,11.0,351.0,37.0,253.0,72000000000.0,-9000000000.0,-63000000000.0,34000000000.0,-286000000000.0,66000000000.0,NEIC,forearc
264929,1992-11-28T03:13:33,-71.992,-31.33,11.0,6.5,mw,52.0,60.0,180.0,142.0,90.0,30.0,21.0,11.0,60.0,143.0,20.0,273.0,7000000000.000001,539000000000.0,-546000000000.0,198000000000.0,-255000000000.0,-142000000000.0,NEIC,forearc
66512,1995-11-01T00:35:32,-71.417,-28.906,10.0,6.6,mw,42.0,41.0,144.0,161.0,67.0,55.0,54.0,28.0,32.0,176.0,15.0,276.0,561000000000.0,241000000000.0,-802000000000.0,380000000000.0,-453000000000.0,-227000000000.0,NEIC,forearc
1015384,1997-03-09T11:43:43,-71.147,-29.815,41.0,6.1,mw,195.0,49.0,101.0,358.0,42.0,78.0,81.0,165.0,8.0,7.0,3.0,277.0,165000000000.0,15000000000.0,-181000000000.0,-24000000000.0,-18000000000.0,-22000000000.0,NEIC,forearc
1035633,1997-07-06T09:54:00,-71.872,-30.058,5.0,6.8,mw,154.0,72.0,93.0,323.0,18.0,80.0,63.0,69.0,3.0,333.0,27.0,241.0,1200000000000.0,-430000000000.0,-770000000000.0,640000000000.0,-1390000000000.0,380000000000.0,NEIC,forearc
1038069,1997-07-21T23:19:39,-71.917,-30.328,4.0,6.0,mw,163.0,81.0,90.0,341.0,9.0,87.0,54.0,74.0,0.0,343.0,36.0,253.0,37000000000.0,-10000000000.0,-27000000000.000004,30000000000.0,-101000000000.0,7000000000.000001,NEIC,forearc
1038555,1997-07-25T06:47:02,-71.906,-30.462,3.0,6.2,mw,158.0,78.0,98.0,305.0,15.0,57.0,57.0,79.0,8.0,337.0,32.0,242.0,108000000000.00002,-42000000000.0,-66000000000.0,76000000000.0,-216000000000.00003,59000000000.0,NEIC,forearc
1038836,1997-07-27T05:21:29,-71.862,-30.517,11.0,6.2,mw,80.0,40.0,164.0,182.0,80.0,51.0,42.0,55.0,39.0,190.0,24.0,301.0,58000000000.0,-31000000000.0,-28000000000.000004,59000000000.0,-175000000000.0,-137000000000.0,NEIC,forearc
1050658,1997-11-03T19:17:33,-71.224,-30.744,43.0,6.2,mw,1.0,36.0,95.0,175.0,54.0,87.0,81.0,70.0,3.0,177.0,9.0,267.0,217000000000.0,3000000000.0,-219000000000.0,14000000000.000002,-68000000000.0,9000000000.0,NEIC,forearc
