id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
610009,1981-10-16T03:25:42,-73.074,-33.134,42.0,7.4,mw,57.0,25.0,135.0,190.0,73.0,72.0,59.0,75.0,17.0,195.0,26.0,294.0,8100000000000.0,-2100000000000.0,-6000000000000.0,-500000000000.0,-11700000000000.0,-5200000000000.0,NEIS,outer_rise
608340,1981-11-07T03:29:51,-71.336,-32.199,54.0,7.0,mw,83.0,46.0,179.0,174.0,89.0,44.0,30.0,48.0,46.0,175.0,29.0,299.0,60000000000.0,520000000000.0,-580000000000.0,390000000000.0,-2520000000000.0,-2540000000000.0,NEIS,subduction_intraslab
575911,1983-05-09T10:58:25,-74.909,-40.93,10.0,6.0,mw,18.0,59.0,-113.0,238.0,38.0,-57.0,11.0,125.0,19.0,31.0,67.0,243.0,-82000000000.0,27000000000.000004,55000000000.00001,4000000000.0,-47000000000.0,54000000000.00001,NEIS,subduction_intraslab
562902,1983-12-15T04:22:33,-70.12,-33.099,106.0,6.2,mw,4.0,82.0,-115.0,257.0,27.0,-19.0,32.0,115.0,25.0,8.0,47.0,248.0,-64000000000.0,14000000000.000002,50000000000.0,0.0,-212000000000.0,107000000000.0,NEIS,subduction_intraslab
550649,1984-06-11T02:05:34,-71.179,-30.707,49.0,6.2,mw,163.0,42.0,80.0,357.0,48.0,99.0,82.0,327.0,7.0,171.0,3.0,80.0,250000000000.0,-4000000000.0,-246000000000.0,26000000000.0,32000000000.0,43000000000.0,NEIS,subduction_intraslab
534791,1985-01-18T15:00:09,-70.793,-29.374,85.0,6.3,mw,205.0,63.0,170.0,300.0,81.0,27.0,26.0,165.0,61.0,317.0,12.0,70.0,35000000000.0,245000000000.0,-280000000000.0,-177000000000.0,22000000000.0,183000000000.0,NEIC,subduction_intraslab
535314,1985-01-26T03:06:57,-68.467,-33.053,10.0,6.2,mw,7.0,71.0,166.0,102.0,77.0,20.0,23.0,325.0,66.0,133.0,5.0,233.0,40000000000.0,39000000000.0,-78000000000.0,64000000000.0,23000000000.0,177000000000.0,NEIC,subduction_intraslab
529084,1985-03-03T22:47:07,-71.871,-33.135,51.0,7.5,mw,56.0,45.0,156.0,164.0,73.0,48.0,45.0,31.0,40.0,179.0,17.0,284.0,7500000000000.0,4000000000000.0,-11499999999999.998,11900000000000.0,-10600000000000.0,-8900000000000.0,NEIC,subduction_intraslab
529154,1985-03-04T15:01:07,-71.249,-33.842,31.0,6.3,mw,52.0,42.0,138.0,176.0,64.0,57.0,57.0,40.0,30.0,192.0,13.0,289.0,211000000000.0,-41000000000.0,-170000000000.0,150000000000.0,-161000000000.0,-108000000000.00002,NEIC,subduction_intraslab
530333,1985-03-17T10:41:38,-71.551,-32.633,30.0,6.7,mw,27.0,18.0,103.0,193.0,73.0,86.0,62.0,96.0,4.0,194.0,27.0,286.0,790000000000.0,-350000000000.0,-440000000000.0,-150000000000.0,-900000000000.0,-100000000000.0,NEIC,subduction_intraslab
530501,1985-03-19T04:01:08,-71.653,-33.198,40.0,6.7,mw,8.0,22.0,85.0,193.0,68.0,92.0,66.0,107.0,2.0,12.0,23.0,281.0,1000000000000.0,-340000000000.0,-660000000000.0,-230000000000.0,-860000000000.0,-40000000000.0,NEIC,subduction_intraslab
530954,1985-03-25T05:14:35,-72.185,-34.254,23.0,6.5,mw,171.0,80.0,108.0,289.0,21.0,29.0,52.0,102.0,18.0,348.0,33.0,246.0,197000000000.0,-55000000000.00001,-142000000000.0,50000000000.0,-543000000000.0,211000000000.0,NEIC,subduction_intraslab
526675,1985-04-03T13:06:20,-71.656,-32.584,28.0,6.2,mw,213.0,65.0,118.0,341.0,37.0,44.0,60.0,165.0,26.0,20.0,15.0,283.0,130000000000.0,41000000000.0,-171000000000.0,-90000000000.0,-72000000000.0,-27000000000.000004,NEIC,subduction_intraslab
527122,1985-04-09T01:56:59,-71.618,-34.131,42.0,7.2,mw,161.0,73.0,104.0,301.0,22.0,51.0,60.0,92.0,14.0,337.0,26.0,240.0,3660000000000.0,-1730000000000.0,-1930000000000.0,870000000000.0,-4840000000000.0,1790000000000.0,NEIC,subduction_intraslab
528625,1985-04-28T08:30:29,-75.664,-39.728,4.0,6.0,mw,21.0,69.0,-68.0,153.0,30.0,-134.0,21.0,95.0,20.0,193.0,60.0,323.0,-65000000000.0,-12000000000.0,77000000000.0,-41000000000.0,-61000000000.0,-6000000000.0,NEIC,outer_rise
525455,1985-05-19T18:09:15,-71.329,-30.253,45.0,6.3,mw,183.0,60.0,92.0,360.0,30.0,87.0,75.0,98.0,2.0,2.0,15.0,272.0,308000000000.0,7000000000.000001,-315000000000.0,-16000000000.0,-180000000000.0,-8000000000.0,NEIC,subduction_intraslab
522354,1985-06-10T15:37:00,-66.995,-27.958,201.0,6.4,mw,79.0,53.0,-151.0,331.0,67.0,-40.0,8.0,28.0,45.0,126.0,44.0,290.0,-234000000000.0,357000000000.0,-122000000000.0,-28000000000.000004,-282000000000.0,-284000000000.0,NEIC,subduction_intraslab
473671,1987-02-03T16:42:41,-72.893,-37.75,35.0,5.9,mw,155.0,71.0,125.0,269.0,39.0,31.0,51.0,104.0,33.0,322.0,19.0,219.0,39600000000.0,-39400000000.0,-300000000.0,15000000000.0,-49000000000.00001,48499999999.99999,NEIC,subduction_intraslab
459865,1987-08-15T18:04:23,-70.884,-28.135,51.0,6.5,mw,158.0,68.0,84.0,354.0,23.0,105.0,66.0,57.0,6.0,160.0,23.0,253.0,450000000000.0,-23000000000.0,-427000000000.0,198000000000.0,-420000000000.0,108000000000.00002,NEIC,subduction_intraslab
457546,1987-09-13T20:08:51,-69.971,-34.333,33.0,6.0,mw,44.0,69.0,173.0,136.0,83.0,21.0,20.0,2.0,68.0,153.0,10.0,268.0,9000000000.0,91000000000.0,-99000000000.0,34000000000.0,-19000000000.0,0.0,NEIC,subduction_intraslab
451852,1987-12-30T11:56:19,-70.797,-35.053,96.0,5.4,mw,39.0,79.0,-57.0,146.0,35.0,-160.0,26.0,103.0,33.0,212.0,46.0,343.0,-4600000000.0,-5800000000.0,10400000000.0,-8100000000.0,-7700000000.0,800000000.0,NEIC,subduction_intraslab
429001,1988-08-14T17:53:09,-71.092,-27.26,33.0,6.6,mw,80.0,22.0,131.0,217.0,73.0,75.0,59.0,106.0,14.0,222.0,27.0,319.0,440000000000.0,-370000000000.0,-70000000000.00002,-490000000000.0,-640000000000.0,-490000000000.0,NEIC,subduction_intraslab
407160,1989-04-13T00:43:11,-75.002,-39.533,8.0,5.8,mw,2.0,72.0,-97.0,204.0,19.0,-69.0,27.0,98.0,7.0,4.0,62.0,262.0,-33000000000.0,2300000000.0,30700000000.0,500000000.0,-45300000000.0,7500000000.0,NEIC,subduction_intraslab
373223,1990-04-21T18:54:52,-73.303,-36.985,5.0,6.3,mw,172.0,83.0,101.0,296.0,13.0,35.0,51.0,94.0,11.0,351.0,37.0,253.0,72000000000.0,-9000000000.0,-63000000000.0,34000000000.0,-286000000000.0,66000000000.0,NEIC,subduction_intraslab
369309,1990-05-14T21:34:04,-71.415,-35.925,83.0,6.2,mw,170.0,82.0,142.0,267.0,52.0,11.0,32.0,121.0,51.0,340.0,19.0,224.0,40000000000.0,-53000000000.0,13000000000.0,3000000000.0,-119000000000.0,156000000000.0,NEIC,subduction_intraslab
261004,1992-11-04T21:32:33,-71.565,-31.565,31.0,5.8,mw,153.0,74.0,110.0,280.0,26.0,41.0,57.0,89.0,19.0,327.0,26.0,227.0,25200000000.0,-17100000000.0,-8100000000.0,18300000000.0,-38800000000.0,26900000000.0,NEIC,subduction_intraslab
264929,1992-11-28T03:13:33,-71.992,-31.33,11.0,6.5,mw,52.0,60.0,180.0,142.0,90.0,30.0,21.0,11.0,60.0,143.0,20.0,273.0,7000000000.000001,539000000000.0,-546000000000.0,198000000000.0,-255000000000.0,-142000000000.0,NEIC,subduction_intraslab
227125,1993-06-08T23:17:41,-69.234,-31.56,131.0,6.3,mw,53.0,45.0,-75.0,211.0,47.0,-105.0,1.0,312.0,11.0,222.0,79.0,47.0,-326000000000.0,142000000000.0,184000000000.0,-36000000000.0,48000000000.0,191000000000.0,NEIC,subduction_intraslab
155708,1994-09-12T06:29:54,-71.706,-31.103,46.0,6.0,mw,162.0,73.0,111.0,289.0,27.0,40.0,57.0,100.0,20.0,336.0,25.0,236.0,48000000000.0,-8000000000.0,-40000000000.0,31000000000.0,-81000000000.0,67000000000.0,NEIC,subduction_intraslab
148630,1994-10-11T01:37:20,-71.447,-32.1,57.0,5.8,mw,163.0,63.0,139.0,275.0,54.0,34.0,47.0,125.0,42.0,315.0,5.0,220.0,28300000000.0,-22500000000.0,-5800000000.0,-11000000000.000002,-24400000000.0,37400000000.0,NEIC,subduction_intraslab
151335,1994-10-20T01:15:16,-70.811,-39.187,168.0,6.0,mw,241.0,21.0,167.0,344.0,85.0,70.0,46.0,233.0,20.0,346.0,37.0,92.0,16800000000.0,12600000000.0,-29300000000.0,-30400000000.0,84200000000.0,-26400000000.0,NEIC,subduction_intraslab
106610,1995-05-28T19:59:12,-71.217,-28.978,44.0,5.7,mw,199.0,35.0,107.0,359.0,57.0,78.0,75.0,236.0,10.0,5.0,11.0,97.0,32300000000.0,600000000.0,-33000000000.0,-4200000000.0,14500000000.0,-5300000000.0,NEIC,subduction_intraslab
87160,1995-08-03T08:18:53,-69.239,-28.281,109.0,5.8,mw,169.0,50.0,-88.0,345.0,40.0,-93.0,5.0,257.0,2.0,347.0,85.0,97.0,-61500000000.0,5300000000.0,56500000000.00001,-300000000.0,10800000000.0,-12500000000.0,NEIC,subduction_intraslab
84590,1995-09-17T07:25:26,-74.167,-35.561,9.0,5.5,mw,66.0,46.0,-66.0,214.0,49.0,-113.0,2.0,319.0,17.0,229.0,73.0,55.0,-16100000000.0,9800000000.0,6300000000.0,-2100000000.0,4200000000.0,10600000000.0,NEIC,outer_rise
66512,1995-11-01T00:35:32,-71.417,-28.906,10.0,6.6,mw,42.0,41.0,144.0,161.0,67.0,55.0,54.0,28.0,32.0,176.0,15.0,276.0,561000000000.0,241000000000.0,-802000000000.0,380000000000.0,-453000000000.0,-227000000000.0,NEIC,subduction_intraslab
72559,1995-11-30T13:15:35,-70.933,-27.75,27.0,5.7,mw,24.0,27.0,123.0,167.0,68.0,74.0,64.0,51.0,15.0,173.0,21.0,269.0,29200000000.0,3300000000.0,-32500000000.0,11000000000.000002,-27800000000.0,-3300000000.0,NEIC,subduction_intraslab
948724,1996-02-19T07:10:06,-75.283,-42.132,21.0,5.7,mw,17.0,55.0,-102.0,217.0,37.0,-74.0,9.0,115.0,10.0,24.0,77.0,248.0,-42900000000.0,8300000000.0,34700000000.0,900000000.0,-16500000000.0,18100000000.0,NEIC,subduction_intraslab
949543,1996-02-22T13:40:53,-71.671,-33.672,37.0,6.0,mw,108.0,38.0,53.0,332.0,61.0,115.0,65.0,287.0,22.0,139.0,12.0,44.0,85000000000.0,-52000000000.0,-32000000000.0,-4000000000.0,56999999999.99999,56999999999.99999,NEIC,subduction_intraslab
985382,1996-09-09T00:20:39,-71.56,-31.9,42.0,6.0,mw,203.0,52.0,116.0,344.0,45.0,61.0,69.0,175.0,20.0,6.0,3.0,274.0,95000000000.0,18000000000.0,-113999999999.99998,-34000000000.0,-10000000000.0,-8000000000.0,NEIC,subduction_intraslab
1015384,1997-03-09T11:43:43,-71.147,-29.815,41.0,6.1,mw,195.0,49.0,101.0,358.0,42.0,78.0,81.0,165.0,8.0,7.0,3.0,277.0,165000000000.0,15000000000.0,-181000000000.0,-24000000000.0,-18000000000.0,-22000000000.0,NEIC,subduction_intraslab
1027534,1997-05-17T02:10:18,-69.499,-27.162,114.0,5.5,mw,48.0,31.0,-28.0,162.0,76.0,-118.0,26.0,274.0,27.0,170.0,51.0,41.0,-7800000000.0,-4300000000.0,12100000000.0,-6500000000.0,13500000000.000002,4800000000.0,NEIC,subduction_intraslab
