id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
610009,1981-10-16T03:25:42,-73.074,-33.134,42.0,7.4,mw,57.0,25.0,135.0,190.0,73.0,72.0,59.0,75.0,17.0,195.0,26.0,294.0,8100000000000.0,-2100000000000.0,-6000000000000.0,-500000000000.0,-11700000000000.0,-5200000000000.0,NEIS,outer_rise
528625,1985-04-28T08:30:29,-75.664,-39.728,4.0,6.0,mw,21.0,69.0,-68.0,153.0,30.0,-134.0,21.0,95.0,20.0,193.0,60.0,323.0,-65000000000.0,-12000000000.0,77000000000.0,-41000000000.0,-61000000000.0,-6000000000.0,NEIC,outer_rise
84590,1995-09-17T07:25:26,-74.167,-35.561,9.0,5.5,mw,66.0,46.0,-66.0,214.0,49.0,-113.0,2.0,319.0,17.0,229.0,73.0,55.0,-16100000000.0,9800000000.0,6300000000.0,-2100000000.0,4200000000.0,10600000000.0,NEIC,outer_rise
1065281,1998-01-19T18:23:59,-79.488,-44.971,13.0,6.2,mw,168.0,87.0,-12.0,258.0,78.0,-177.0,6.0,213.0,78.0,334.0,10.0,122.0,30000000000.0,65000000000.0,-95000000000.0,11000000000.0,46000000000.0,-176000000000.0,NEIC,outer_rise
1882885,2001-04-09T09:00:57,-73.109,-32.668,11.0,6.7,mw,54.0,66.0,-87.0,227.0,25.0,-97.0,20.0,142.0,3.0,233.0,69.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,NEIC,outer_rise
2903943,2002-03-03T07:16:15,-76.119,-45.837,10.0,5.9,mw,79.0,86.0,-171.0,349.0,81.0,-4.0,3.0,214.0,81.0,102.0,9.0,304.0,-18300000000.0,42600000000.0,-24400000000.0,-11100000000.000002,-3900000000.0,-81600000000.0,NEIC,outer_rise
7492309,2005-04-13T09:25:27,-72.85,-33.142,30.0,5.3,mw,5.0,54.0,-125.0,235.0,49.0,-51.0,3.0,119.0,28.0,27.0,62.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,NEIC,outer_rise
10699429,2006-07-16T11:42:41,-72.543,-28.715,10.0,6.2,mw,193.0,47.0,-67.0,341.0,48.0,-113.0,0.0,87.0,17.0,357.0,73.0,177.0,-234000000000.0,-67000000000.0,302000000000.0,56000000000.00001,1000000000.0,-20000000000.0,NEIC,outer_rise
12078106,2008-12-18T21:50:39,-72.95,-32.65,32.0,5.8,mw,175.0,81.0,90.0,355.0,9.0,90.0,54.0,85.0,0.0,175.0,35.0,265.0,43000000000.0,0.0,-44000000000.0,11000000000.0,-133000000000.0,4000000000.0,NEIC,outer_rise
15214879,2010-09-30T00:26:10,-74.256,-36.249,20.2,5.8,mw,188.0,73.0,113.0,312.0,29.0,38.0,56.0,128.0,22.0,0.0,24.0,260.0,39300000000.0,-3000000000.0,-36300000000.0,-21100000000.0,-50500000000.0,20400000000.0,NEIC,outer_rise
