id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
575911,1983-05-09T10:58:25,-74.909,-40.93,10.0,6.0,mw,18.0,59.0,-113.0,238.0,38.0,-57.0,11.0,125.0,19.0,31.0,67.0,243.0,-82000000000.0,27000000000.000004,55000000000.00001,4000000000.0,-47000000000.0,54000000000.00001,NEIS,subduction_interface
550649,1984-06-11T02:05:34,-71.179,-30.707,49.0,6.2,mw,163.0,42.0,80.0,357.0,48.0,99.0,82.0,327.0,7.0,171.0,3.0,80.0,250000000000.0,-4000000000.0,-246000000000.0,26000000000.0,32000000000.0,43000000000.0,NEIS,subduction_interface
530954,1985-03-25T05:14:35,-72.185,-34.254,23.0,6.5,mw,171.0,80.0,108.0,289.0,21.0,29.0,52.0,102.0,18.0,348.0,33.0,246.0,197000000000.0,-55000000000.00001,-142000000000.0,50000000000.0,-543000000000.0,211000000000.0,NEIC,subduction_interface
526675,1985-04-03T13:06:20,-71.656,-32.584,28.0,6.2,mw,213.0,65.0,118.0,341.0,37.0,44.0,60.0,165.0,26.0,20.0,15.0,283.0,130000000000.0,41000000000.0,-171000000000.0,-90000000000.0,-72000000000.0,-27000000000.000004,NEIC,subduction_interface
527122,1985-04-09T01:56:59,-71.618,-34.131,42.0,7.2,mw,161.0,73.0,104.0,301.0,22.0,51.0,60.0,92.0,14.0,337.0,26.0,240.0,3660000000000.0,-1730000000000.0,-1930000000000.0,870000000000.0,-4840000000000.0,1790000000000.0,NEIC,subduction_interface
525455,1985-05-19T18:09:15,-71.329,-30.253,45.0,6.3,mw,183.0,60.0,92.0,360.0,30.0,87.0,75.0,98.0,2.0,2.0,15.0,272.0,308000000000.0,7000000000.000001,-315000000000.0,-16000000000.0,-180000000000.0,-8000000000.0,NEIC,subduction_interface
407160,1989-04-13T00:43:11,-75.002,-39.533,8.0,5.8,mw,2.0,72.0,-97.0,204.0,19.0,-69.0,27.0,98.0,7.0,4.0,62.0,262.0,-33000000000.0,2300000000.0,30700000000.0,500000000.0,-45300000000.0,7500000000.0,NEIC,subduction_interface
261004,1992-11-04T21:32:33,-71.565,-31.565,31.0,5.8,mw,153.0,74.0,110.0,280.0,26.0,41.0,57.0,89.0,19.0,327.0,26.0,227.0,25200000000.0,-17100000000.0,-8100000000.0,18300000000.0,-38800000000.0,26900000000.0,NEIC,subduction_interface
72559,1995-11-30T13:15:35,-70.933,-27.75,27.0,5.7,mw,24.0,27.0,123.0,167.0,68.0,74.0,64.0,51.0,15.0,173.0,21.0,269.0,29200000000.0,3300000000.0,-32500000000.0,11000000000.000002,-27800000000.0,-3300000000.0,NEIC,subduction_interface
949543,1996-02-22T13:40:53,-71.671,-33.672,37.0,6.0,mw,108.0,38.0,53.0,332.0,61.0,115.0,65.0,287.0,22.0,139.0,12.0,44.0,85000000000.0,-52000000000.0,-32000000000.0,-4000000000.0,56999999999.99999,56999999999.99999,NEIC,subduction_interface
1089488,1998-04-01T22:42:56,-74.874,-40.316,7.0,6.6,mw,26.0,43.0,-85.0,199.0,47.0,-95.0,2.0,292.0,3.0,202.0,86.0,54.0,-847000000000.0001,166000000000.0,683000000000.0,-27000000000.000004,77000000000.0,256000000000.0,NEIC,subduction_interface
1657955,1999-12-04T17:06:51,-71.221,-28.5,34.3,5.7,mw,198.0,35.0,116.0,348.0,59.0,73.0,71.0,220.0,14.0,357.0,13.0,90.0,29000000000.0,3300000000.0,-32300000000.0,-7900000000.0,14500000000.0,-1800000000.0,NEIC,subduction_interface
