id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
608340,1981-11-07T03:29:51,-71.336,-32.199,54.0,7.0,mw,83.0,46.0,179.0,174.0,89.0,44.0,30.0,48.0,46.0,175.0,29.0,299.0,60000000000.0,520000000000.0,-580000000000.0,390000000000.0,-2520000000000.0,-2540000000000.0,NEIS,subduction_intraslab
534791,1985-01-18T15:00:09,-70.793,-29.374,85.0,6.3,mw,205.0,63.0,170.0,300.0,81.0,27.0,26.0,165.0,61.0,317.0,12.0,70.0,35000000000.0,245000000000.0,-280000000000.0,-177000000000.0,22000000000.0,183000000000.0,NEIC,subduction_intraslab
529084,1985-03-03T22:47:07,-71.871,-33.135,51.0,7.5,mw,56.0,45.0,156.0,164.0,73.0,48.0,45.0,31.0,40.0,179.0,17.0,284.0,7500000000000.0,4000000000000.0,-11499999999999.998,11900000000000.0,-10600000000000.0,-8900000000000.0,NEIC,subduction_intraslab
530501,1985-03-19T04:01:08,-71.653,-33.198,40.0,6.7,mw,8.0,22.0,85.0,193.0,68.0,92.0,66.0,107.0,2.0,12.0,23.0,281.0,1000000000000.0,-340000000000.0,-660000000000.0,-230000000000.0,-860000000000.0,-40000000000.0,NEIC,subduction_intraslab
459865,1987-08-15T18:04:23,-70.884,-28.135,51.0,6.5,mw,158.0,68.0,84.0,354.0,23.0,105.0,66.0,57.0,6.0,160.0,23.0,253.0,450000000000.0,-23000000000.0,-427000000000.0,198000000000.0,-420000000000.0,108000000000.00002,NEIC,subduction_intraslab
429001,1988-08-14T17:53:09,-71.092,-27.26,33.0,6.6,mw,80.0,22.0,131.0,217.0,73.0,75.0,59.0,106.0,14.0,222.0,27.0,319.0,440000000000.0,-370000000000.0,-70000000000.00002,-490000000000.0,-640000000000.0,-490000000000.0,NEIC,subduction_intraslab
155708,1994-09-12T06:29:54,-71.706,-31.103,46.0,6.0,mw,162.0,73.0,111.0,289.0,27.0,40.0,57.0,100.0,20.0,336.0,25.0,236.0,48000000000.0,-8000000000.0,-40000000000.0,31000000000.0,-81000000000.0,67000000000.0,NEIC,subduction_intraslab
148630,1994-10-11T01:37:20,-71.447,-32.1,57.0,5.8,mw,163.0,63.0,139.0,275.0,54.0,34.0,47.0,125.0,42.0,315.0,5.0,220.0,28300000000.0,-22500000000.0,-5800000000.0,-11000000000.000002,-24400000000.0,37400000000.0,NEIC,subduction_intraslab
106610,1995-05-28T19:59:12,-71.217,-28.978,44.0,5.7,mw,199.0,35.0,107.0,359.0,57.0,78.0,75.0,236.0,10.0,5.0,11.0,97.0,32300000000.0,600000000.0,-33000000000.0,-4200000000.0,14500000000.0,-5300000000.0,NEIC,subduction_intraslab
948724,1996-02-19T07:10:06,-75.283,-42.132,21.0,5.7,mw,17.0,55.0,-102.0,217.0,37.0,-74.0,9.0,115.0,10.0,24.0,77.0,248.0,-42900000000.0,8300000000.0,34700000000.0,900000000.0,-16500000000.0,18100000000.0,NEIC,subduction_intraslab
985382,1996-09-09T00:20:39,-71.56,-31.9,42.0,6.0,mw,203.0,52.0,116.0,344.0,45.0,61.0,69.0,175.0,20.0,6.0,3.0,274.0,95000000000.0,18000000000.0,-113999999999.99998,-34000000000.0,-10000000000.0,-8000000000.0,NEIC,subduction_intraslab
1037644,1997-07-19T12:22:57,-71.684,-29.281,29.0,5.9,mw,192.0,60.0,137.0,307.0,54.0,38.0,50.0,156.0,40.0,344.0,4.0,251.0,42000000000.0,17800000000.0,-59800000000.0,-29300000000.0,-18100000000.0,33400000000.0,NEIC,subduction_intraslab
1047434,1997-10-15T01:03:33,-71.22,-30.933,67.0,7.1,mw,52.0,15.0,-31.0,172.0,82.0,-103.0,36.0,274.0,13.0,174.0,51.0,67.0,-1300000000000.0,-290000000000.0,1590000000000.0,-790000000000.0,4550000000000.0,900000000000.0,NEIC,subduction_intraslab
1169274,1998-07-29T07:14:24,-71.286,-32.312,54.0,6.4,mw,167.0,31.0,112.0,322.0,61.0,77.0,71.0,203.0,11.0,328.0,15.0,61.0,423000000000.00006,-74000000000.0,-349000000000.0,-208000000000.0,168000000000.0,164000000000.0,NEIC,subduction_intraslab
1202810,1998-09-03T17:37:58,-71.715,-29.45,28.0,6.5,mw,210.0,71.0,114.0,336.0,30.0,40.0,57.0,152.0,23.0,22.0,23.0,282.0,299000000000.0,190000000000.0,-489000000000.0,-228000000000.0,-363000000000.0,-86000000000.0,NEIC,subduction_intraslab
1703360,1999-08-22T09:35:39,-74.756,-40.509,33.0,6.2,mw,156.0,35.0,-75.0,317.0,56.0,-101.0,11.0,55.0,9.0,323.0,76.0,194.0,-182000000000.0,55000000000.00001,127000000000.0,66000000000.0,-40000000000.0,-85000000000.0,NEIC,subduction_intraslab
1656614,1999-09-29T18:01:31,-71.993,-30.738,33.0,6.0,mw,152.0,77.0,90.0,331.0,13.0,89.0,58.0,63.0,0.0,332.0,32.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,NEIC,subduction_intraslab
1780670,2001-03-03T11:58:13,-74.555,-38.766,33.0,5.9,mw,218.0,38.0,-55.0,356.0,60.0,-114.0,12.0,104.0,21.0,9.0,66.0,221.0,-53000000000.0,-2100000000.0,55100000000.0,16000000000.0,-29500000000.0,20100000000.0,NEIC,subduction_intraslab
2933451,2002-04-01T19:59:32,-71.384,-29.67,71.0,6.4,mw,25.0,74.0,-123.0,272.0,36.0,-28.0,22.0,140.0,31.0,35.0,50.0,258.0,-214000000000.0,241000000000.0,-27000000000.000004,-25000000000.0,-358000000000.0,182000000000.0,NEIC,subduction_intraslab
2991626,2002-04-18T16:08:36,-70.586,-27.535,62.0,6.7,mw,180.0,55.0,122.0,313.0,46.0,53.0,64.0,148.0,26.0,341.0,5.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,NEIC,subduction_intraslab
3187914,2002-06-23T11:10:42,-71.166,-30.842,67.1,5.4,mw,4.0,45.0,-95.0,190.0,45.0,-85.0,0.0,277.0,3.0,7.0,87.0,182.0,-14800000000.0,-1400000000.0000002,16100000000.0,800000000.0,0.0,2100000000.0,NEIC,subduction_intraslab
7203683,2003-12-10T12:25:51,-71.322,-27.961,33.0,5.8,mw,50.0,90.0,-157.0,319.0,67.0,0.0,16.0,182.0,67.0,50.0,16.0,277.0,-1200000000.0,47400000000.0,-46200000000.0,-15500000000.0,-12600000000.0,-7300000000.0,NEIC,subduction_intraslab
7230932,2004-01-10T07:25:44,-71.656,-30.883,55.1,5.7,mw,101.0,38.0,-134.0,332.0,64.0,-62.0,15.0,41.0,25.0,139.0,60.0,285.0,-31800000000.0,23500000000.0,8200000000.0,2700000000.0,-26900000000.0,-22900000000.0,NEIC,subduction_intraslab
7325357,2004-04-03T09:57:13,-71.985,-29.987,34.5,5.4,mw,180.0,58.0,115.0,318.0,40.0,56.0,67.0,139.0,21.0,346.0,10.0,252.0,11900000000.0,-600000000.0,-11299999999.999998,-3700000000.0,-5699999999.999999,4900000000.0,NEIC,subduction_intraslab
12690583,2007-06-28T19:25:21,-71.34,-32.004,68.8,5.7,mw,7.0,74.0,-96.0,209.0,18.0,-69.0,28.0,102.0,6.0,8.0,61.0,267.0,-21600000000.0,-1200000000.0,22800000000.0,-3200000000.0,-35500000000.0,7700000000.0,NEIC,subduction_intraslab
11513615,2008-12-19T09:36:04,-71.949,-32.458,32.2,5.6,mw,184.0,64.0,108.0,328.0,31.0,58.0,66.0,125.0,15.0,356.0,17.0,261.0,26200000000.0,-4500000000.0,-21700000000.0,-8000000000.0,-18700000000.0,6300000000.0,NEIC,subduction_intraslab
14265217,2010-01-30T05:50:09,-70.698,-28.227,57.4,5.3,mw,31.0,26.0,129.0,169.0,70.0,73.0,61.0,54.0,15.0,174.0,23.0,271.0,,,,,,,NEIC,subduction_intraslab
14349505,2010-03-03T17:44:42,-73.78,-36.87,33.0,6.1,mw,20.0,18.0,111.0,179.0,73.0,83.0,61.0,79.0,6.0,180.0,27.0,274.0,87000000000.0,-10000000000.0,-76000000000.0,9000000000.0,-122000000000.0,-14000000000.000002,NEIC,subduction_intraslab
14349541,2010-03-03T19:58:29,-71.868,-33.412,38.8,5.6,mw,186.0,71.0,98.0,343.0,21.0,68.0,63.0,109.0,7.0,3.0,25.0,270.0,23900000000.0,-3400000000.0000005,-20500000000.0,-5600000000.000001,-27200000000.000004,2600000000.0,NEIC,subduction_intraslab
14374363,2010-03-05T09:19:51,-73.86,-36.69,39.0,6.1,mw,5.0,17.0,99.0,176.0,73.0,87.0,61.0,82.0,2.0,176.0,28.0,268.0,,,,,,,NEIC,subduction_intraslab
14405731,2010-03-13T10:34:43,-73.465,-37.551,35.0,5.7,mw,8.0,22.0,97.0,180.0,69.0,87.0,66.0,85.0,2.0,181.0,23.0,272.0,28400000000.0,-600000000.0,-27900000000.0,600000000.0,-30300000000.0,-1900000000.0,NEIC,subduction_intraslab
14554147,2010-03-21T18:31:04,-73.164,-36.344,36.2,5.5,mw,63.0,32.0,118.0,211.0,62.0,74.0,68.0,87.0,14.0,218.0,15.0,312.0,16700000000.0,-8200000000.0,-8500000000.0,-5300000000.0,-11399999999.999998,-14800000000.0,NEIC,subduction_intraslab
14508014,2010-03-26T14:52:19,-71.16,-27.63,37.0,6.1,mw,193.0,47.0,105.0,351.0,45.0,74.0,78.0,176.0,11.0,2.0,1.0,272.0,183000000000.0,4000000000.0,-187000000000.0,-37000000000.0,-6000000000.0,-7000000000.000001,NEIC,subduction_intraslab
14596759,2010-03-28T21:38:28,-73.385,-35.387,29.9,6.0,mw,20.0,28.0,110.0,177.0,64.0,80.0,69.0,65.0,9.0,182.0,17.0,275.0,70000000000.0,43000000000.0,-112999999999.99998,2000000000.0,-67000000000.0,-17000000000.0,NEIC,subduction_intraslab
14606547,2010-04-23T10:03:22,-73.51,-37.51,49.0,6.0,mw,149.0,73.0,86.0,343.0,17.0,104.0,61.0,53.0,3.0,150.0,28.0,242.0,44900000000.0,-4900000000.0,-40000000000.0,37900000000.0,-60800000000.0,19900000000.0,NEIC,subduction_intraslab
15674988,2010-11-28T08:19:45,-72.043,-34.672,41.9,5.3,mw,12.0,88.0,102.0,112.0,12.0,10.0,46.0,294.0,12.0,192.0,42.0,91.0,-1100000000.0,4800000000.0,-3600000000.0,1000000000.0,10600000000.0,600000000.0,NEIC,subduction_intraslab
16160700,2011-02-28T01:29:25,-73.695,-37.36,31.5,5.8,mw,183.0,67.0,115.0,312.0,33.0,45.0,60.0,129.0,23.0,352.0,19.0,254.0,34900000000.0,11000000000.000002,-45800000000.0,-4900000000.0,-36400000000.0,23100000000.0,NEIC,subduction_intraslab
16463269,2011-04-27T04:57:32,-72.502,-33.948,24.2,5.1,mw,184.0,67.0,117.0,311.0,35.0,43.0,59.0,131.0,25.0,353.0,18.0,254.0,3140000000.0,90000000.0,-3240000000.0000005,-1150000000.0,-3009999999.9999995,1780000000.0,NEIC,subduction_intraslab
16887034,2011-07-25T11:15:11,-73.728,-37.714,32.8,5.2,mw,180.0,71.0,109.0,314.0,27.0,48.0,60.0,117.0,18.0,354.0,24.0,256.0,5730000000.000001,-460000000.0,-5269999999.999999,-1240000000.0,-6960000000.0,2740000000.0000005,NEIC,subduction_intraslab
