id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
652719,1980-01-14T21:51:03,-69.469,-33.205,15.0,5.58,mw,49.0,85.0,159.0,141.0,69.0,5.0,11.363984226429048,183.0530606563168,68.72251754751194,61.98274805175004,17.741919101546838,276.739916317901,-0.13,2.73,-2.6,1.08,0.38,-0.45,gem,crustal_intraarc_shallow
569311,1983-08-01T14:09:23,-75.89,-48.263,20.0,5.7,mw,157.0,76.0,86.0,355.0,14.0,107.0,44.753150951329765,241.5338545094536,4.393427854993478,335.90237629387326,44.91061851857281,70.29502405303123,1.86,0.13,-1.98,1.55,-3.52,0.63,gem,crustal_intraarc_shallow
457546,1987-09-13T20:08:52,-70.12,-34.367,10.0,5.87,mw,27.0,58.0,176.0,119.0,87.0,32.0,20.11053342503588,347.88670299887224,57.95697627286813,113.68933754541617,23.832578297275585,248.5786210829178,-0.02,5.53,-5.5,4.01,-1.24,3.47,gem,crustal_intraarc_shallow
413725,1989-02-24T12:36:57,-71.279,-38.448,15.0,5.25,mw,9.0,70.0,150.0,110.0,62.0,23.0,6.299321556710266,147.4077992182102,59.24840688560807,46.71544103765342,29.960686994464048,241.05612021173607,2.37,2.29,-4.65,4.16,3.47,6.39,gem,crustal_intraarc_shallow
1310878,1998-10-09T10:24:29,-75.6,-47.635,15.0,5.13,mw,19.0,46.0,138.0,142.0,61.0,52.0,15.193498295144574,0.0939770380215918,45.97073608987066,106.4099270916226,40.06974461712022,256.888732209301,4.17,2.21,-6.38,2.34,-1.07,1.68,gem,crustal_intraarc_shallow
1538377,1999-03-05T03:35:17,-69.66,-34.693,15.0,5.93,mw,12.0,79.0,94.0,170.0,12.0,69.0,44.78552713156727,107.037952297395,4.233608737388566,12.824459580933706,44.90221648464105,278.59373782380754,3.86,-0.27,-3.58,2.02,8.64,0.04,gem,crustal_intraarc_shallow
1546940,1999-03-27T11:13:33,-71.768,-40.087,15.0,5.45,mw,174.0,72.0,174.0,266.0,85.0,18.0,8.800070739945326,131.26774794862808,71.37638041321999,248.6148822168779,16.279312126898695,38.67659257577719,-0.13,-0.2,0.32,-0.58,-0.32,1.7,gem,crustal_intraarc_shallow
1676426,1999-05-10T08:47:22,-69.224,-30.277,25.0,5.16,mw,20.0,78.0,142.0,119.0,53.0,15.0,18.785729230006,152.82786810489665,52.76466561090362,36.24078574246937,30.815826880176385,254.53430937795932,2.06,3.32,-5.38,1.62,3.3,3.4,gem,crustal_intraarc_shallow
2170887,2001-10-12T04:21:34,-69.745,-33.332,10.0,5.29,mw,222.0,78.0,171.0,314.0,81.0,12.0,2.2989957253931435,178.2464539316892,75.48145863157688,277.16489598974124,14.327440352136636,87.65894892162169,-0.07,1.04,-0.97,-0.31,0.02,0.08,gem,crustal_intraarc_shallow
6129198,2002-11-09T06:05:57,-75.691,-48.121,20.0,5.62,mw,1.0,10.0,89.0,182.0,80.0,90.0,44.99960015031875,92.23277818198738,0.1847797416393719,2.0480000584659592,44.99980393433043,271.86322062053387,1.32,-0.4,-0.92,-0.11,-3.08,-0.01,gem,crustal_intraarc_shallow
