id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
672797,1978-12-21T01:13:54,-72.703,-36.286,30.0,5.85,mw,101.0,34.0,52.0,324.0,64.0,112.0,31.947842090407622,272.31016906485445,30.28015885928362,160.9570223621215,43.03647904424201,37.920047360127,5.48,-4.29,-1.19,-1.29,4.27,2.87,gem,forearc
640730,1980-08-29T10:38:14,-73.104,-39.745,30.7,5.37,mw,171.0,29.0,140.0,298.0,72.0,67.0,36.174640747865936,176.7683971088676,26.29481084247204,287.9487004328174,42.43928792913759,44.80879888973266,0.83,-0.16,-0.67,-1.05,0.22,0.47,gem,forearc
629971,1981-03-16T13:40:47,-71.764,-35.55,54.4,5.36,mw,11.0,63.0,-129.0,252.0,46.0,-39.0,39.43473954305274,307.8374206218016,46.14333252636005,158.9758015860334,16.06440692267477,51.53679051924559,-8.33,2.67,5.66,1.61,-6.27,9.19,gem,forearc
529225,1985-03-05T09:08:56,-71.711,-34.145,32.8,5.41,mw,36.0,14.0,126.0,180.0,79.0,82.0,44.06581496937654,78.73531776873716,8.84239464901175,177.3955094790174,44.58016709938871,276.2138788473455,0.62,-0.03,-0.58,0.05,-1.46,-0.22,gem,forearc
530333,1985-03-17T10:41:39,-71.551,-32.68,30.0,6.54,mw,175.0,64.0,90.0,356.0,26.0,91.0,44.99999999999999,265.0,3.3200499761451704e-15,175.0,45.000000000000014,85.0,6.24,-0.19,-6.05,0.49,-4.83,0.51,gem,forearc
473671,1987-02-03T16:42:42,-73.066,-37.765,32.4,5.82,mw,172.0,74.0,89.0,357.0,16.0,95.0,44.98285096996145,260.54195351270187,1.1334480181660436,351.6749448634849,44.994729631906765,82.80840616053729,3.33,0.42,-3.74,0.86,-5.59,0.46,gem,forearc
459865,1987-08-15T18:04:24,-70.718,-28.075,37.0,6.37,mw,20.0,30.0,110.0,176.0,62.0,78.0,40.48193203209058,62.53585401182147,17.113311005351328,167.77205619911263,44.53808082512438,275.4081078031573,3.52,0.26,-3.77,0.52,-2.34,-0.55,gem,forearc
371101,1990-04-02T13:56:31,-72.132,-32.565,10.0,5.64,mw,6.0,36.0,106.0,167.0,56.0,79.0,36.091326051839104,40.56369240629931,23.566309129596373,149.10410658363946,44.60714775839205,264.5874259101056,2.92,0.69,-3.6,0.52,-1.15,0.31,gem,forearc
373223,1990-04-21T18:54:55,-73.296,-36.999,20.0,5.82,mw,183.0,73.0,93.0,352.0,17.0,80.0,44.83748817384142,277.504436325567,3.458902269766792,184.0588393490433,44.95395320108723,90.5991889910639,3.56,0.24,-3.8,-0.4,-5.43,0.13,gem,forearc
261004,1992-11-04T21:32:36,-71.507,-31.643,30.0,6.01,mw,0.0,28.0,93.0,177.0,62.0,89.0,44.89950716162742,82.76516778858036,2.510764883818989,175.26954077174332,44.99053852628559,267.7818894147392,1.08,-0.02,-1.05,0.06,-0.73,0.03,gem,forearc
264929,1992-11-28T03:13:35,-71.905,-31.387,16.1,6.44,mw,51.0,52.0,-177.0,319.0,87.0,-38.0,26.94515577072749,11.601766521924844,51.9941069010849,142.17975059718532,24.639005363551817,268.11940972215257,-0.84,4.76,-3.92,2.74,-2.11,-1.19,gem,forearc
156469,1994-09-17T12:22:14,-71.767,-32.279,20.0,5.67,mw,11.0,26.0,83.0,199.0,64.0,93.0,44.62468620486863,116.03469448488364,4.918473584618114,21.162409320582757,44.95411987514176,286.2336319350321,2.93,0.06,-2.98,-0.86,-2.24,-0.92,gem,forearc
82192,1995-10-31T01:55:58,-71.358,-28.922,20.0,5.73,mw,20.0,11.0,128.0,162.0,81.0,83.0,44.43903926970319,63.425618262710486,7.062551080215862,160.40374167995833,44.694755624886106,257.444754807299,1.23,0.65,-1.88,1.41,-4.38,0.17,gem,forearc
66512,1995-11-01T00:35:33,-71.34,-28.867,19.0,6.64,mw,6.0,25.0,111.0,163.0,67.0,80.0,42.690471736203634,55.761452892050045,12.514353607187564,157.57620995846685,44.61686242287759,260.2270268174011,7.87,0.83,-8.7,2.83,-7.2,1.02,gem,forearc
72559,1995-11-30T13:15:37,-70.929,-27.751,25.0,5.72,mw,12.0,21.0,109.0,171.0,70.0,83.0,43.9380984380343,70.16389871912503,8.665140115166585,168.60844012242433,44.76114189984377,267.3010605494593,2.97,0.16,-3.13,0.74,-3.56,-0.07,gem,forearc
1144164,1998-06-06T12:16:19,-73.221,-36.568,21.2,5.22,mw,186.0,79.0,95.0,341.0,12.0,65.0,44.66546189270683,282.2834399771712,5.2911213805354,187.03147920706613,44.84729542629904,91.74598108576812,4.21,-1.83,-2.37,-1.25,-7.86,0.67,gem,forearc
6942053,2003-06-20T13:30:43,-71.468,-30.648,32.0,6.77,mw,1.0,27.0,93.0,177.0,63.0,88.0,44.91580652418892,84.15196916534069,2.310706359889368,176.45776677668232,44.99105438690299,268.7696321618096,1.42,0.02,-1.44,0.07,-1.01,0.03,gem,forearc
7400346,2004-09-10T10:44:15,-72.962,-38.008,37.0,5.25,mw,30.0,48.0,62.0,248.0,49.0,118.0,1.5055815052605603,227.9775892486976,46.8183466089974,136.3726994214353,43.14201823274048,319.3890275256822,0.82,-0.48,-0.33,-0.21,0.22,-0.52,gem,forearc
7997437,2005-12-26T00:56:10,-73.192,-38.955,31.3,5.13,mw,4.0,32.0,89.0,185.0,58.0,91.0,44.97582148347114,97.14134630065872,1.2080920302166662,5.93400519557963,44.99870944612576,274.72569896808136,5.36,0.25,-5.61,-0.28,-2.74,-0.49,gem,forearc
