id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
714840,1976-05-30T03:08:53,-75.479,-41.493,15.0,6.09,mw,23.0,47.0,-79.0,187.0,44.0,-101.0,44.71812621806434,285.24335354643136,43.50121317153992,85.24675940341228,10.151791173494509,185.03043265676348,-1.66,0.08,1.59,-0.24,-0.03,0.43,gem,outer_rise
682971,1978-05-29T17:20:28,-79.406,-44.905,15.0,6.45,mw,170.0,81.0,-17.0,263.0,73.0,-171.0,17.546748481964613,37.21963467442197,71.51556066169412,198.2805165791776,5.630573755034519,305.4332266329947,-0.19,1.73,-1.54,0.72,1.93,-5.28,gem,outer_rise
653427,1980-01-28T16:59:21,-76.228,-44.93,16.4,5.44,mw,195.0,27.0,-56.0,338.0,68.0,-106.0,43.894605391292274,79.8800610095708,20.015109492391066,329.36352177598286,39.35664427694057,221.9808298266288,-1.21,-0.18,1.39,0.64,-1.07,-0.11,gem,outer_rise
626780,1981-05-17T17:04:56,-71.968,-27.23,15.0,5.26,mw,191.0,37.0,-79.0,358.0,54.0,-98.0,44.805637408425866,93.160186322792,20.29376546632993,341.6117792596458,38.23947458879871,234.6695781495214,-9.02,-0.5,9.51,0.82,-3.02,0.82,gem,outer_rise
624731,1981-06-04T07:39:40,-78.984,-34.227,22.0,5.14,mw,207.0,42.0,-41.0,330.0,64.0,-124.0,40.56104135662221,83.87633272088436,41.78868680897124,303.97102143365225,21.396661717551517,193.47172229165437,-4.22,-1.6,5.82,3.19,-1.92,-0.16,gem,outer_rise
610009,1981-10-16T03:25:44,-72.993,-33.137,35.0,7.08,mw,6.0,56.0,86.0,194.0,34.0,96.0,43.72338444010891,81.57574460187158,8.75018179832126,180.04087271696682,44.950226699181165,278.879427118693,4.94,-0.57,-4.36,-0.03,1.97,-0.73,gem,outer_rise
583758,1983-02-28T22:44:20,-78.976,-44.441,15.0,5.97,mw,260.0,90.0,180.0,350.0,90.0,0.0,2.480781363304357e-15,35.0,90.0,286.565051177078,7.442344089913072e-15,125.0,-0.2,0.47,-0.27,0.0,0.0,-1.06,gem,outer_rise
565662,1983-11-28T19:10:08,-76.15,-44.912,21.8,5.53,mw,7.0,79.0,-76.0,133.0,18.0,-142.0,43.81474569742745,265.2860728831881,14.76840245357992,9.93728428015271,42.45848099550315,113.89545164550452,-0.88,-0.15,1.03,-0.37,-2.18,-0.48,gem,outer_rise
562664,1983-12-10T17:37:58,-78.118,-44.582,15.0,5.58,mw,258.0,90.0,180.0,348.0,90.0,0.0,2.480781363304356e-15,33.0,90.0,284.565051177078,7.442344089913071e-15,123.0,-0.24,1.25,-1.01,0.0,0.0,-2.63,gem,outer_rise
550203,1984-06-03T01:44:12,-76.085,-45.371,12.1,5.43,mw,221.0,73.0,-30.0,320.0,61.0,-161.0,28.793449426684536,92.8497538077538,59.608214738501786,252.4179190638457,8.903681095929478,357.91034830674687,-0.78,-1.17,1.95,0.42,0.37,0.08,gem,outer_rise
531377,1985-03-30T13:47:27,-76.69,-45.659,20.0,5.41,mw,135.0,64.0,-94.0,325.0,26.0,-81.0,44.9369509179826,47.98864902989203,5.821685450541434,312.1495866210168,44.473524894555,216.40454444861555,-0.97,0.34,0.62,-0.71,0.73,-1.11,gem,outer_rise
528625,1985-04-28T08:30:31,-75.909,-39.713,15.0,5.89,mw,46.0,27.0,-101.0,239.0,64.0,-84.0,44.88018101698493,324.1725782400105,8.194983257519516,62.41789631629547,43.955434432899,160.3995065566589,-6.47,4.2,2.27,4.45,2.26,3.4,gem,outer_rise
482545,1986-11-28T20:34:50,-77.258,-45.531,32.8,5.22,mw,260.0,90.0,180.0,350.0,90.0,0.0,2.480781363304357e-15,35.0,90.0,286.565051177078,7.442344089913072e-15,125.0,-1.47,3.62,-2.14,0.0,0.0,-8.0,gem,outer_rise
479202,1986-12-25T17:17:41,-79.436,-44.746,15.0,6.35,mw,262.0,88.0,146.0,353.0,56.0,3.0,22.20582947079089,32.23337109363524,56.01291525245498,264.96909831153647,24.323578638472053,132.8663255156776,-0.28,1.23,-0.94,-2.39,0.39,-3.19,gem,outer_rise
474595,1987-02-14T15:44:19,-76.071,-45.641,15.0,5.86,mw,167.0,81.0,-14.0,259.0,76.0,-171.0,15.644978894873129,33.58534124032303,73.95378319859266,200.41335623630945,3.477344958008928,302.6102613031082,-1.3,3.63,-2.33,0.45,1.73,-6.8,gem,outer_rise
454184,1987-11-29T07:57:22,-76.746,-45.627,14.6,5.44,mw,154.0,37.0,-95.0,340.0,53.0,-86.0,44.95973886205995,67.56888170196811,10.490227699691566,168.22433505219897,43.13967383699129,268.21645733599564,-1.6,0.07,1.53,0.12,-0.5,-0.73,gem,outer_rise
413481,1989-02-21T22:08:53,-79.186,-44.573,15.0,5.52,mw,98.0,20.0,-80.0,268.0,71.0,-94.0,44.93812079730063,0.1986269541185379,4.400029349653224,265.79510608713383,44.724638393854825,171.42434248136772,-1.37,1.61,-0.23,1.85,0.1,-0.08,gem,outer_rise
407160,1989-04-13T00:43:09,-75.126,-39.423,15.0,5.78,mw,204.0,34.0,-51.0,339.0,64.0,-113.0,42.93620694410964,86.39408198104735,30.49872191120104,323.16139345121934,31.846724537952976,211.70025416797668,-4.21,-0.61,4.82,2.24,-2.67,0.23,gem,outer_rise
341452,1991-02-13T06:17:24,-79.568,-44.759,14.4,5.65,mw,261.0,90.0,-180.0,351.0,90.0,0.0,7.442344089913072e-15,216.0,90.0,54.43494882292202,2.4807813633043567e-15,306.0,-0.38,1.34,-0.96,0.0,0.0,-3.53,gem,outer_rise
265443,1992-10-01T08:18:50,-75.096,-39.158,15.0,5.46,mw,35.0,42.0,-51.0,167.0,58.0,-120.0,42.129858264714,278.2151686611156,41.576905742806765,134.8537821959926,19.33414743675275,26.71866016235964,-1.47,-0.38,1.84,-0.57,0.61,0.43,gem,outer_rise
243498,1993-03-17T04:36:00,-74.988,-37.591,16.0,5.6,mw,224.0,30.0,-37.0,348.0,72.0,-115.0,41.991529277220216,95.97225297446164,27.89746204017574,337.5121541423183,35.273884778111814,225.51965025227776,-1.57,-0.63,2.2,0.74,-2.15,0.76,gem,outer_rise
225691,1993-06-01T15:53:45,-77.168,-45.709,10.0,5.92,mw,77.0,75.0,162.0,172.0,73.0,16.0,1.7480974052164888,214.0299245195421,68.40611691872044,119.60759639347476,21.515864094232345,304.7193081265026,0.19,2.87,-3.05,3.54,-2.28,-7.77,gem,outer_rise
179547,1994-04-28T16:44:53,-75.142,-39.511,12.3,5.54,mw,225.0,51.0,-44.0,346.0,57.0,-132.0,39.637956812613965,104.35808065255368,49.63553288905473,297.3052693562412,6.4159614906292415,199.70306526617424,-1.66,-0.67,2.33,0.92,-0.48,0.87,gem,outer_rise
84590,1995-09-17T07:25:28,-74.206,-35.523,12.5,5.57,mw,46.0,56.0,-63.0,184.0,42.0,-124.0,42.7754602034723,297.1169923619373,41.90848566267297,83.25635129769643,17.720056140048673,189.921635569075,-2.29,0.18,2.1,-1.17,-0.12,1.12,gem,outer_rise
69439,1995-11-17T02:40:50,-79.678,-44.873,15.0,5.75,mw,259.0,79.0,171.0,351.0,81.0,11.0,1.5555536889174577,215.0607408609469,76.21838884585704,311.41719669123955,13.690084489393666,124.68172704236622,-0.66,2.02,-1.35,-1.25,0.97,-4.76,gem,outer_rise
948724,1996-02-19T07:10:08,-75.461,-42.165,10.0,5.96,mw,15.0,63.0,-93.0,201.0,27.0,-85.0,44.96554292193325,287.2293752182959,4.538532088807621,192.68202130608609,44.67569374257563,98.18053993292398,-7.38,-1.74,9.12,-1.62,-6.14,3.82,gem,outer_rise
1035413,1997-07-04T23:52:06,-76.503,-45.562,15.0,5.21,mw,264.0,90.0,-180.0,354.0,90.0,0.0,7.442344089913071e-15,219.0,90.0,57.43494882292202,2.480781363304358e-15,309.0,-2.35,2.97,-0.62,0.0,0.0,-7.98,gem,outer_rise
1050895,1997-11-05T06:09:15,-78.161,-43.908,15.0,5.56,mw,80.0,75.0,-173.0,349.0,84.0,-15.0,14.980595846577856,34.858294095379165,73.84465326995331,192.33507171981947,5.909682368569944,303.27110967072787,-0.14,1.0,-0.85,-0.16,-0.75,-2.39,gem,outer_rise
1065281,1998-01-19T18:24:04,-79.537,-44.965,15.0,6.17,mw,170.0,78.0,-4.0,261.0,86.0,-168.0,11.1016775856752,34.85855362773464,77.4634835156745,242.9203100758062,5.750690847042215,125.9908473636633,-0.23,0.85,-0.62,0.41,0.17,-2.07,gem,outer_rise
1105435,1998-05-08T17:42:21,-77.646,-45.706,10.0,5.27,mw,158.0,55.0,-17.0,258.0,76.0,-144.0,30.61177358513884,23.900568981456445,54.55870821533766,237.6681365187558,16.104382861561042,123.7365017870984,-1.78,4.75,-2.97,4.94,4.67,-6.47,gem,outer_rise
1322639,1998-11-06T08:01:12,-79.827,-44.341,10.0,5.88,mw,256.0,69.0,171.0,349.0,82.0,22.0,9.129675195936256,214.3802639735254,67.99940893940934,327.8177211127982,19.837533004706817,121.05659611324836,-0.64,3.28,-2.64,-2.66,2.82,-6.82,gem,outer_rise
