id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,class
703413,1977-01-11T07:02:35,-71.704,-31.775,27.0,5.23,mw,5.0,34.0,111.0,160.0,59.0,77.0,36.30714564942778,35.93548440848923,23.59102051402581,144.65126343914358,44.38327846631127,259.95401093532064,7.12,1.04,-8.16,2.18,-3.4,1.41,gem,subduction_interface
672923,1978-12-24T00:02:03,-69.99,-20.089,49.8,5.24,mw,173.0,57.0,95.0,344.0,34.0,82.0,43.29700044600152,279.4013501307432,10.158010126607632,179.68182014423996,44.91986560986906,79.38943632068396,7.32,1.33,-8.64,0.13,-3.45,2.0,gem,subduction_interface
667197,1979-04-26T02:00:09,-72.068,-33.901,26.5,5.9,mw,26.0,25.0,124.0,170.0,70.0,76.0,40.59825869444163,56.45092306859499,17.81494335862992,162.43770255343247,44.02128096164302,270.53052427992344,5.15,1.31,-6.46,1.56,-6.17,-0.85,gem,subduction_interface
667302,1979-04-28T11:38:20,-70.92,-27.556,27.8,6.13,mw,31.0,24.0,68.0,234.0,68.0,99.0,42.8592869634529,161.39186133413625,12.136318319919058,59.881383507408486,44.60622703256222,317.6354211412994,1.31,-0.61,-0.7,-1.16,-0.72,-0.83,gem,subduction_interface
665372,1979-05-20T19:37:43,-71.242,-27.206,15.0,5.86,mw,11.0,13.0,117.0,163.0,79.0,84.0,44.50968524206164,65.78516948190156,6.369396409906635,162.08508197953438,44.7851344854879,258.44611520929493,2.68,0.49,-3.17,2.08,-6.65,0.29,gem,subduction_interface
661401,1979-07-06T02:01:17,-71.35,-32.221,46.8,5.75,mw,11.0,54.0,105.0,166.0,39.0,70.0,28.69382128844606,148.01096953738784,32.00557679449029,38.00655886734484,44.34529987829721,270.3532534133051,4.92,-0.02,-4.89,1.19,1.41,0.17,gem,subduction_interface
659696,1979-08-02T07:40:23,-71.266,-27.835,20.0,5.51,mw,15.0,28.0,113.0,169.0,65.0,79.0,40.91648123497472,56.30167985168293,16.490263302487687,161.16873871616053,44.45322517708896,268.0525525907146,1.49,0.53,-2.01,0.33,-1.35,0.01,gem,subduction_interface
650442,1980-03-29T17:49:11,-73.515,-38.045,30.9,5.45,mw,13.0,20.0,106.0,176.0,71.0,85.0,44.33362356581573,76.84455314354648,6.886341276870981,173.6209175657781,44.8426284848675,270.5193573243557,1.17,-0.06,-1.11,0.16,-1.47,-0.1,gem,subduction_interface
646838,1980-05-30T16:56:20,-70.951,-23.199,15.0,5.61,mw,6.0,32.0,105.0,168.0,60.0,81.0,40.89824433252493,54.17628153485072,16.043569138378214,158.59961028708494,44.71153320125551,265.139771569131,2.49,0.6,-3.09,0.46,-1.47,0.24,gem,subduction_interface
643390,1980-06-11T14:21:19,-71.735,-32.768,31.6,5.84,mw,1.0,26.0,87.0,184.0,64.0,91.0,44.9292287806039,97.50218453973304,2.1308392164662053,5.375133757850449,44.99156142419754,273.2434477163973,5.18,0.82,-6.0,-0.34,-4.46,-0.28,gem,subduction_interface
