id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
B080183A,1983-08-01T14:09:24,-76.46,-48.33,11.0,5.5,mw,355.0,14.0,107.0,157.0,76.0,86.0,58.0,61.0,4.0,158.0,31.0,251.0,1.858e+17,1.26e+16,-1.984e+17,1.552e+17,-3.524e+17,6.3e+16,gcmt,gem:569311,crustal_intraarc_shallow
1310878,1998-10-09T10:24:29,-75.6,-47.635,15.0,5.13,mw,19.0,46.0,138.0,142.0,61.0,52.0,15.193498295144574,0.0939770380215918,45.97073608987066,106.4099270916226,40.06974461712022,256.888732209301,4.17,2.21,-6.38,2.34,-1.07,1.68,gem,,crustal_intraarc_shallow
6129198,2002-11-09T06:05:57,-75.691,-48.121,20.0,5.62,mw,1.0,10.0,89.0,182.0,80.0,90.0,44.99960015031875,92.23277818198738,0.1847797416393719,2.0480000584659592,44.99980393433043,271.86322062053387,1.32,-0.4,-0.92,-0.11,-3.08,-0.01,gem,,crustal_intraarc_shallow
200608051403A,2006-08-05T14:03:00,-68.86,-33.2,32.0,5.6,mw,137.0,39.0,44.0,10.0,64.0,120.0,45.00000000000001,214.99999999999844,7.951386703658795e-13,304.9999999999992,45.00000000000001,35.0,1.74e+17,7.33e+16,-2.4700000000000003e+17,5.01e+16,1.34e+17,9.02e+16,gmt,gcmt:C200608051403A;gcmt:C200608051403A;us:pde20060805140344230_25;neic:8568187;gem:8568187,crustal_intraarc_shallow
200612311455A,2006-12-31T14:55:00,-71.4,-38.04,18.0,5.5,mw,31.0,86.0,178.0,121.0,88.0,4.0,4.0,346.0,86.0,153.0,1.0,256.0,1.64e+16,2.15e+17,-2.32e+17,1.7100000000000002e+16,-600000000000000.0,1.16e+17,gmt,gcmt:C200612311455A;gcmt:C200612311455A;us:C200612311455A;neic:9140430;gem:9140430,crustal_intraarc_shallow
200701232040A,2007-01-23T20:40:00,-73.07,-45.46,13.0,5.3,mw,264.0,89.0,-1.0,354.0,89.0,-179.0,0.0,129.0,88.0,37.0,2.0,219.0,-1.34e+16,-1.89e+16,3.22e+16,2600000000000000.0,-2400000000000000.0,1.26e+17,gmt,gcmt:C200701232040A;gcmt:C200701232040A;us:C200701232040A;gem:10394010,crustal_intraarc_shallow
200702030900A,2007-02-03T09:00:00,-73.03,-45.51,12.0,5.3,mw,91.0,84.0,-6.0,182.0,84.0,-174.0,0.0,316.0,82.0,225.0,8.0,47.0,-3.4200000000000004e+16,2.36e+16,1.06e+16,-7199999999999999.0,8300000000000000.0,1.24e+17,gmt,gcmt:C200702030900A;gcmt:C200702030900A;us:C200702030900A;gem:11495639,crustal_intraarc_shallow
200702231955A,2007-02-23T19:55:00,-73.08,-45.51,17.0,5.7,mw,87.0,70.0,-12.0,181.0,79.0,-160.0,6.0,313.0,67.0,210.0,22.0,46.0,-4.5e+16,1.53e+16,2.97e+16,-7.93e+16,1.3500000000000002e+17,3.79e+17,gmt,gcmt:C200702231955A;gcmt:C200702231955A;us:C200702231955A;gem:11508669,crustal_intraarc_shallow
200704020249A,2007-04-02T02:49:00,-73.04,-45.41,30.0,6.2,mw,53.0,43.0,-86.0,228.0,47.0,-94.0,2.0,321.0,3.0,231.0,86.0,93.0,-1.59e+18,1.14e+18,4.5e+17,1.15e+17,1.32e+17,1.71e+18,gmt,gcmt:C200704020249A;gcmt:C200704020249A;us:C200704020249A;gem:11912922,crustal_intraarc_shallow
200704211753A,2007-04-21T17:53:00,-72.95,-45.48,12.0,6.2,mw,84.0,86.0,2.0,354.0,88.0,176.0,5.0,309.0,85.0,145.0,1.0,39.0,-9.12e+17,-1.2e+17,1.03e+18,1.85e+17,2.8000000000000003e+17,2.77e+18,gmt,gcmt:C200704211753A;gcmt:C200704211753A;us:C200704211753A;neic:11931187;gem:11931187,crustal_intraarc_shallow
200805020551A,2008-05-02T05:51:00,-72.65,-42.93,17.0,5.3,mw,206.0,77.0,-177.0,115.0,87.0,-13.0,7.0,161.0,77.0,281.0,12.0,70.0,-0.35,0.88,-0.52,-0.18,0.01,0.56,gmt,us:C200805020551A;gem:10925030,crustal_intraarc_shallow
200805030236A,2008-05-03T02:36:00,-72.56,-42.82,12.0,5.1,mw,280.0,52.0,-31.0,31.0,66.0,-137.0,9.0,153.0,42.0,55.0,47.0,252.0,-1.98,2.9,-0.91,0.99,-3.8,1.66,gmt,us:C200805030236A;gem:10925073,crustal_intraarc_shallow
200805240243A,2008-05-24T02:43:00,-72.46,-42.17,12.0,5.5,mw,84.0,57.0,-11.0,180.0,81.0,-146.0,16.0,308.0,55.0,193.0,30.0,48.0,-6.999999999999999e+16,4500000000000000.0,6.55e+16,3.03e+16,8.34e+16,1.57e+17,gmt,gcmt:C200805240243A;gcmt:C200805240243A;us:C200805240243A;gem:10955648,crustal_intraarc_shallow
C200904281529A,2009-04-28T15:29:30,-76.28,-48.48,17.5,5.2,mw,7.0,20.0,97.0,180.0,70.0,88.0,65.0,86.0,2.0,181.0,25.0,272.0,3.19e+16,1.25e+16,-4.43e+16,190000000000000.0,-4.55e+16,-2570000000000000.0,gcmt,gem:13439162,crustal_intraarc_shallow
201003020209A,2010-03-02T02:09:00,-71.47,-39.86,16.0,5.1,mw,176.0,65.0,-168.0,80.0,79.0,-25.0,9.0,130.0,62.0,238.0,26.0,36.0,470000000000000.0,-1.52e+16,1.47e+16,-3.2e+16,1.53e+16,5.28e+16,gmt,gcmt:C201003020209A;gcmt:C201003020209A;us:C201003020209A;gem:14554585,crustal_intraarc_shallow
201003171738A,2010-03-17T17:38:00,-73.03,-44.36,12.0,5.4,mw,191.0,68.0,-178.0,100.0,88.0,-22.0,14.0,148.0,68.0,276.0,17.0,54.0,-9300000000000000.0,6.34e+16,-5.41e+16,-6.19e+16,1.26e+16,1.47e+17,gmt,gcmt:C201003171738A;gcmt:C201003171738A;us:C201003171738A;gem:14554112,crustal_intraarc_shallow
201003180932A,2010-03-18T09:32:00,-73.01,-44.43,20.0,5.2,mw,186.0,72.0,171.0,279.0,81.0,18.0,19.0,144.0,70.0,303.0,6.0,51.0,-0.81,2.69,-1.88,-3.39,-1.66,8.21,gmt,us:C201003180932A;gem:14412246,crustal_intraarc_shallow
201008150750A,2010-08-15T07:50:00,-71.47,-37.09,16.0,5.2,mw,290.0,58.0,-9.0,25.0,82.0,-148.0,16.0,153.0,57.0,37.0,28.0,252.0,-1.84e+16,6.08e+16,-4.24e+16,-1.49e+16,-4.18e+16,5.540000000000001e+16,gmt,gcmt:C201008150750A;gcmt:C201008150750A;us:C201008150750A;gem:15084816,crustal_intraarc_shallow
201102141218A,2011-02-14T12:18:00,-71.54,-35.65,13.0,5.2,mw,211.0,21.0,-33.0,331.0,79.0,-108.0,32.0,76.0,17.0,335.0,53.0,221.0,-2.81e+16,-1.74e+16,4.54e+16,3.79e+16,-6.42e+16,-1600000000000000.0,gmt,us:pde20110214121830300_35;gem:16026123,crustal_intraarc_shallow
201102210538A,2011-02-21T05:38:00,-72.55,-46.02,18.0,5.0,mw,271.0,32.0,-20.0,18.0,79.0,-121.0,28.0,132.0,30.0,24.0,47.0,256.0,-1.51e+16,1.94e+16,-4400000000000000.0,900000000000000.0,-3.72e+16,1.59e+16,gmt,us:pde20110221053851050_36;gem:16168884,crustal_intraarc_shallow
