id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
b000mztz,1970-01-01T00:00:00,0.0,0.0,13.0,5.1,mwr,43.49,14.88,150.37,162.29,82.71,76.99,51.0,58.0,13.0,164.0,36.0,264.0,1.2539e+16,5371000000000000.0,-1.7911e+16,1.6032e+16,-4.532e+16,-5676000000000000.0,us,us:7000efb4;us:6000e2vk;us:6000e2aa;us:6000diut;us:6000dgd0;us:7000cp39;us:6000c8ev;us:70009awg;us:70008fmr;us:70006t6h;us:b000k2e3;us:700039yk;us:1000ghwz;us:7000fbcx;us:2000dutq;us:2000bkrs;us:100097jl;us:20009pnk;us:10008vpd;us:10008juc;us:20008uxc;us:10007pnw;us:10007mrf;us:200082kn;us:200081rv;us:20007zam;us:b000jdpj;us:b000k2du;us:2000cptq;us:7000fdki,forearc
B060679B,1979-06-06T10:54:26,-74.65,-52.93,15.0,5.3,mw,7.0,8.0,104.0,173.0,82.0,88.0,53.0,80.0,2.0,173.0,37.0,265.0,7.86e+16,-6100000000000000.0,-7.24e+16,3.4200000000000004e+16,-2.56e+17,-1200000000000000.0,gcmt,gem:662960,forearc
B053080B,1980-05-30T16:56:25,-71.62,-23.08,15.0,5.3,mw,6.0,32.0,105.0,168.0,60.0,81.0,74.0,54.0,8.0,173.0,14.0,265.0,2.491e+17,6.05e+16,-3.095e+17,4.58e+16,-1.466e+17,2.4e+16,gcmt,gem:646838,forearc
284942,1992-07-30T13:14:53,-72.387,-50.361,15.0,5.48,mw,31.0,25.0,114.0,184.0,67.0,79.0,42.17555818739083,75.90111415043788,13.924292700883644,178.88117769006112,44.50199281488591,282.9833718049327,1.39,-0.03,-1.36,0.02,-1.41,-0.46,gem,,forearc
B073092C,1992-07-30T13:14:57,-72.59,-51.12,15.0,5.5,mw,31.0,25.0,114.0,184.0,67.0,79.0,66.0,76.0,10.0,189.0,22.0,283.0,1.3899999999999998e+17,-2500000000000000.0,-1.365e+17,2100000000000000.0,-1.41e+17,-4.64e+16,gcmt,,forearc
B083196D,1996-08-31T18:59:20,-73.12,-53.43,30.2,5.1,mw,316.0,59.0,-16.0,54.0,77.0,-148.0,12.0,182.0,55.0,74.0,32.0,280.0,-6820000000000001.0,2.829e+16,-2.147e+16,-8310000000000000.0,-1.544e+16,-5030000000000000.0,gcmt,,forearc
B091203E,2003-09-12T16:48:46,-75.25,-51.28,33.0,5.0,mw,253.0,2.0,-54.0,37.0,89.0,-91.0,44.0,128.0,1.0,37.0,46.0,306.0,2.1e+16,-2.15e+16,500000000000000.0,-1.44e+17,-1.88e+17,5.500000000000001e+16,gcmt,gem:7125449,forearc
7167694,2003-10-28T05:10:49,-75.515,-51.597,15.0,5.2,mw,87.0,56.0,-180.0,357.0,90.0,-34.0,23.29149064860306,47.3399925598892,56.000000000000014,177.0,23.291490648603062,306.6600074401108,1.39,0.65,-2.04,-1.65,-4.62,-6.58,gem,,forearc
7394847,2004-08-30T16:08:16,-72.255,-50.672,15.0,5.08,mw,196.0,57.0,102.0,355.0,35.0,73.0,36.69932764010608,320.19996169960325,22.85731823662163,211.88757175314987,44.53998950484567,97.3793443401371,4.56,0.32,-4.88,-1.04,-1.78,-0.53,gem,,forearc
C090704J,2004-09-07T16:18:52,-72.53,-51.05,14.1,5.0,mw,32.0,34.0,130.0,166.0,65.0,66.0,63.0,38.0,21.0,177.0,16.0,273.0,2.03e+16,-3040000000000000.0,-1.73e+16,1.17e+16,-1.29e+16,-4520000000000000.0,gcmt,,forearc
600012204,2011-12-03T10:29:40,-71.708,-21.602,15.0,5.01,mw,3.0,44.0,-126.0,229.0,55.0,-60.0,42.355367920069256,297.7224917500533,43.9363113034111,89.17965673023718,14.73026099582379,193.8539978257598,-3.56,0.65,2.91,2.2,-0.33,1.27,gem,,forearc
70005v2p,2019-10-17T16:58:28,-69.2227,-46.6019,11.5,4.9,mww,298.01,27.87,-54.69,79.32,67.58,-106.99,21.0,182.0,16.0,86.0,63.0,322.0,-9742000000000000.0,2.2206e+16,-1.2464e+16,-1.4249e+16,-294000000000000.0,-1576000000000000.0,us,,forearc
C202110130755A,2021-10-13T07:55:33,-72.33,-50.4,12.0,5.4,mw,48.0,53.0,140.0,165.0,59.0,44.0,52.0,19.0,38.0,193.0,3.0,285.0,1.2e+17,6.35e+16,-1.83e+17,6.31e+16,-3.59e+16,-7.68e+16,gcmt,gfz:621146567,forearc
