id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
682971,1978-05-29T17:20:28,-79.406,-44.905,15.0,6.45,mw,170.0,81.0,-17.0,263.0,73.0,-171.0,17.54674848196461,37.21963467442197,71.51556066169412,198.2805165791776,5.630573755034515,305.4332266329947,-0.19,1.73,-1.54,0.72,1.93,-5.28,gem,,outer_rise
B021679C,1979-02-16T22:18:22,-72.38,-17.05,55.0,5.2,mw,58.0,35.0,21.0,311.0,78.0,124.0,46.0,255.0,33.0,123.0,25.0,15.0,8.97e+16,-2.022e+17,1.125e+17,-1.463e+17,1.3580000000000002e+17,4.07e+16,gcmt,,outer_rise
B030780A,1980-03-07T08:25:12,-73.48,-17.17,15.0,5.9,mw,306.0,36.0,56.0,166.0,61.0,112.0,67.0,117.0,19.0,335.0,13.0,240.0,1.45e+18,-3.08e+17,-1.142e+18,-4.4e+16,-9.66e+17,9.59e+17,gcmt,,outer_rise
B051781C,1981-05-17T17:05:00,-72.14,-27.39,15.0,5.4,mw,191.0,37.0,-79.0,358.0,54.0,-98.0,9.0,94.0,6.0,3.0,79.0,237.0,-9.022e+16,-4970000000000000.0,9.519e+16,8250000000000000.0,-3.02e+16,8250000000000000.0,gcmt,gem:626780,outer_rise
624731,1981-06-04T07:39:40,-78.984,-34.227,22.0,5.14,mw,207.0,42.0,-41.0,330.0,64.0,-124.0,40.56104135662221,83.87633272088436,41.78868680897126,303.9710214336522,21.39666171755149,193.47172229165432,-4.22,-1.6,5.82,3.19,-1.92,-0.16,gem,,outer_rise
C101681A,1981-10-16T03:25:42,-73.07,-33.13,32.0,7.1,mwc,194.0,34.0,96.0,6.0,56.0,86.0,78.0,262.0,4.0,9.0,11.0,100.0,4.936e+19,-5.75e+18,-4.361e+19,-3e+17,1.967e+19,-7.27e+18,us,neis:610009;gem:610009,outer_rise
B071182A,1982-07-11T02:13:42,-73.81,-17.0,29.0,5.2,mw,284.0,28.0,29.0,168.0,77.0,115.0,52.0,107.0,24.0,342.0,27.0,238.0,6.840000000000001e+16,-2.48e+16,-4.36e+16,1.86e+16,-1.385e+17,8.43e+16,gcmt,,outer_rise
479202,1986-12-25T17:17:41,-79.436,-44.746,15.0,6.35,mw,262.0,88.0,146.0,353.0,56.0,3.0,22.20582947079089,32.23337109363524,56.01291525245498,264.96909831153647,24.323578638472053,132.8663255156776,-0.28,1.23,-0.94,-2.39,0.39,-3.19,gem,,outer_rise
B031087A,1987-03-10T00:22:40,-72.15,-18.53,15.0,5.6,mw,176.0,39.0,-84.0,349.0,52.0,-94.0,7.0,82.0,3.0,351.0,83.0,234.0,-6.432e+17,1.594e+17,4.838e+17,6.850000000000001e+16,-1.234e+17,-4.19e+16,gcmt,gem:471680,outer_rise
B031087B,1987-03-10T02:18:11,-72.13,-18.22,15.0,5.6,mw,8.0,12.0,-79.0,177.0,78.0,-92.0,33.0,269.0,2.0,177.0,57.0,84.0,-1.191e+17,8300000000000000.0,1.1080000000000002e+17,-1.7199999999999998e+16,2.523e+17,5400000000000000.0,gcmt,gem:471689,outer_rise
