id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
672923,1978-12-24T00:02:03,-69.99,-20.089,49.8,5.24,mw,173.0,57.0,95.0,344.0,34.0,82.0,43.29700044600152,279.4013501307432,10.158010126607632,179.68182014423996,44.91986560986906,79.38943632068396,7.32,1.33,-8.64,0.13,-3.45,2.0,gem,,subduction_interface
B042879E,1979-04-28T11:38:25,-71.17,-27.39,21.1,6.1,mw,31.0,24.0,68.0,234.0,68.0,99.0,66.0,161.0,9.0,51.0,22.0,317.0,1.307e+18,-6.07e+17,-7e+17,-1.162e+18,-7.19e+17,-8.27e+17,gcmt,gem:667302,subduction_interface
C051479B,1979-05-14T23:04:07,-69.32,-23.05,72.4,5.9,mw,183.0,27.0,-101.0,16.0,63.0,-84.0,18.0,102.0,5.0,193.0,71.0,298.0,-2.219e+18,-3.61e+17,2.58e+18,-5.66e+17,-1.707e+18,5.5800000000000006e+17,gcmt,gem:665090,subduction_interface
B080279A,1979-08-02T07:40:29,-71.48,-28.01,19.0,5.1,mw,15.0,28.0,113.0,169.0,65.0,79.0,68.0,57.0,10.0,174.0,19.0,268.0,1.488e+17,5.27e+16,-2.015e+17,3.28e+16,-1.353e+17,899999999999999.9,gcmt,gem:659696,subduction_interface
B010781C,1981-01-07T16:26:47,-71.39,-23.96,15.0,5.2,mw,5.0,33.0,93.0,181.0,57.0,88.0,78.0,84.0,2.0,182.0,12.0,273.0,2.8370000000000003e+17,5.659999999999999e+16,-3.403e+17,800000000000000.0,-1.417e+17,-2.13e+16,gcmt,gem:632399,subduction_interface
B062181A,1981-06-21T10:30:09,-70.83,-20.84,15.0,5.6,mw,299.0,24.0,40.0,172.0,75.0,109.0,56.0,107.0,18.0,347.0,27.0,247.0,2.378e+17,-4.03e+16,-1.975e+17,1.64e+16,-4.147e+17,1.879e+17,gcmt,gem:625496,subduction_interface
590975,1982-10-24T10:43:42,-70.211,-22.281,36.2,5.49,mw,150.0,74.0,88.0,337.0,16.0,97.0,44.93146000570727,237.08677021109423,2.266590091670764,329.34971253804173,44.97892161123462,61.61640900204873,1.04,-0.09,-0.95,0.9,-1.55,0.6,gem,,subduction_interface
C100483C,1983-10-04T18:52:37,-70.56,-26.01,38.7,7.3,mw,9.0,20.0,110.0,168.0,71.0,83.0,63.0,66.0,7.0,170.0,26.0,263.0,2.044e+20,1.31e+19,-2.175e+20,6.790000000000001e+19,-2.552e+20,8e+18,gcmt,gem:566056,subduction_interface
556510,1984-03-04T22:34:25,-70.8,-26.636,31.1,5.34,mw,31.0,26.0,114.0,185.0,66.0,79.0,41.74162193413834,74.25735614792166,14.885230072931629,177.9768565068938,44.47042334994301,283.1023881244272,8.68,1.28,-9.96,-0.15,-8.52,-3.57,gem,,subduction_interface
B072484A,1984-07-24T04:49:53,-71.18,-25.71,15.8,5.3,mw,14.0,18.0,126.0,157.0,75.0,79.0,58.0,53.0,10.0,160.0,30.0,256.0,3.327e+17,5200000000000000.0,-3.378e+17,2.5790000000000003e+17,-5.042e+17,9700000000000000.0,gcmt,gem:549537,subduction_interface
