id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
B100577B,1977-10-05T04:34:09,-70.74,-28.25,52.0,5.5,mwc,16.0,36.0,113.0,168.0,57.0,74.0,73.0,38.0,13.0,177.0,11.0,270.0,1.703e+17,2.7900000000000004e+16,-1.982e+17,3.97e+16,-7.41e+16,-5600000000000000.0,us,gem:691406,subduction_intraslab
B021778B,1978-02-17T06:43:30,-71.02,-28.57,55.0,5.3,mwc,141.0,23.0,35.0,18.0,77.0,109.0,54.0,311.0,18.0,194.0,30.0,93.0,5.823e+16,-2030000000000000.0,-5.62e+16,5.207e+16,9.218e+16,2.379e+16,us,gem:686607,subduction_intraslab
D080378B,1978-08-03T18:11:23,-70.4,-26.54,69.3,6.3,mw,231.0,22.0,-57.0,15.0,72.0,-102.0,26.0,115.0,12.0,19.0,61.0,267.0,-1.498e+19,7.49e+18,7.49e+18,-1.6e+18,-1.7490000000000002e+19,4.52e+18,gcmt,gem:677592,subduction_intraslab
B051579B,1979-05-15T17:32:43,-69.39,-22.9,93.3,5.3,mw,169.0,13.0,-107.0,6.0,77.0,-86.0,32.0,93.0,4.0,186.0,58.0,282.0,-7.039999999999999e+16,1.67e+16,5.37e+16,-1.84e+16,-1.268e+17,-4900000000000000.0,gcmt,gem:665116,subduction_intraslab
B052279A,1979-05-22T08:33:41,-69.66,-22.87,83.0,5.5,mw,165.0,40.0,-117.0,19.0,55.0,-69.0,8.0,94.0,17.0,187.0,71.0,341.0,-1.658e+17,-3.64e+16,2.023e+17,-5.04e+16,-4.71e+16,1.1e+16,gcmt,gem:665465,subduction_intraslab
665820,1979-05-28T14:59:19,-70.181,-24.578,52.0,5.88,mw,196.0,58.0,-75.0,349.0,35.0,-113.0,44.26114673824932,95.22430470780428,26.249549773732443,213.94749667327247,34.28272615010732,323.5915944580696,-5.88,-2.69,8.56,1.21,3.22,0.83,gem,,subduction_intraslab
B052879D,1979-05-28T14:59:26,-70.98,-24.56,60.0,5.8,mw,349.0,35.0,-113.0,196.0,58.0,-75.0,12.0,275.0,13.0,8.0,72.0,142.0,-5.875e+17,-2.69e+17,8.565e+17,1.206e+17,3.216e+17,8.29e+16,gcmt,,subduction_intraslab
B122879B,1979-12-28T13:46:24,-69.59,-24.55,114.3,5.3,mw,158.0,30.0,-86.0,333.0,60.0,-92.0,15.0,65.0,2.0,334.0,75.0,236.0,-1.651e+17,4.64e+16,1.187e+17,4.34e+16,-7.43e+16,-3.98e+16,gcmt,gem:654796,subduction_intraslab
B041681C,1981-04-16T22:06:02,-71.02,-20.11,24.7,5.1,mw,2.0,33.0,114.0,154.0,60.0,75.0,71.0,29.0,13.0,161.0,14.0,254.0,4.248e+16,5330000000000000.0,-4.781e+16,1.588e+16,-2.075e+16,1.442e+16,gcmt,gem:628312,subduction_intraslab
C110781A,1981-11-07T03:29:50,-71.37,-32.23,64.0,6.9,mwc,208.0,5.0,-47.0,345.0,86.0,-94.0,41.0,78.0,4.0,345.0,49.0,251.0,-6.7e+17,-7.67e+18,8.34e+18,7.82e+18,-3.122e+19,-2.17e+18,us,neis:608340;gem:608340,subduction_intraslab
B050382B,1982-05-03T07:26:12,-69.38,-23.47,112.0,5.5,mw,24.0,63.0,-23.0,125.0,70.0,-151.0,5.0,253.0,55.0,157.0,35.0,346.0,-1.083e+17,-1.079e+17,2.162e+17,-4.3e+16,1.6900000000000002e+16,-1.036e+17,gcmt,gem:598270,subduction_intraslab
593177,1982-08-05T09:16:43,-70.75,-26.688,45.0,5.69,mw,149.0,12.0,-93.0,332.0,78.0,-89.0,44.99758781780254,61.52944508136079,0.6822820378056016,152.211718045589,44.994287905288346,242.8939124205086,-2.24,1.1,1.14,1.78,-3.4,-0.11,gem,,subduction_intraslab
B102682A,1982-10-26T03:24:30,-71.26,-29.67,69.0,5.7,mwc,100.0,15.0,-154.0,345.0,84.0,-77.0,37.0,63.0,13.0,164.0,50.0,270.0,-1.367e+17,1.149e+17,2.18e+16,9.69e+16,-4.904e+17,-1.0960000000000002e+17,us,gem:591057,subduction_intraslab
B050283B,1983-05-02T01:25:03,-71.28,-26.63,33.0,5.1,mw,20.0,30.0,116.0,171.0,64.0,76.0,68.0,53.0,13.0,177.0,18.0,271.0,2.3450000000000003e+17,8.08e+16,-3.153e+17,4.81e+16,-1.955e+17,-2.31e+16,gcmt,gem:575262,subduction_intraslab
575722,1983-05-07T01:07:23,-70.824,-28.008,50.9,5.08,mw,16.0,29.0,101.0,183.0,62.0,84.0,43.53606560493382,78.95395101675791,9.61087812493086,178.212705337613,44.866217845502405,277.9158636607251,4.28,-0.02,-4.26,0.09,-2.81,-0.74,gem,,subduction_intraslab
B050783A,1983-05-07T01:07:26,-71.61,-28.37,33.8,5.4,mw,16.0,29.0,101.0,183.0,62.0,84.0,73.0,79.0,5.0,186.0,17.0,278.0,4.284e+16,-220000000000000.0,-4.261e+16,930000000000000.0,-2.81e+16,-7390000000000000.0,gcmt,,subduction_intraslab
C100983A,1983-10-09T11:25:49,-71.1,-26.31,39.7,6.2,mw,9.0,20.0,111.0,167.0,71.0,82.0,63.0,65.0,7.0,169.0,26.0,263.0,3.858e+18,1.27e+17,-3.986e+18,1.429e+18,-4.9e+18,1.26e+17,gcmt,gem:566304,subduction_intraslab
B101683B,1983-10-16T09:59:49,-70.65,-23.51,84.1,5.7,mw,185.0,16.0,-90.0,4.0,74.0,-90.0,29.0,94.0,0.0,4.0,61.0,274.0,-5.2300000000000006e+17,2100000000000000.0,5.209e+17,-5.779999999999999e+16,-8.148e+17,3.95e+16,gcmt,gem:566658,subduction_intraslab
B122383B,1983-12-23T22:56:10,-71.67,-27.23,33.0,5.2,mw,306.0,61.0,-25.0,49.0,68.0,-148.0,5.0,176.0,52.0,80.0,37.0,269.0,-2.426e+16,7.772e+16,-5.346e+16,-4440000000000000.0,-5.372e+16,5390000000000000.0,gcmt,gem:563533,subduction_intraslab
B081284D,1984-08-12T11:51:48,-69.67,-24.22,117.6,5.6,mw,180.0,45.0,-56.0,316.0,54.0,-119.0,5.0,66.0,24.0,334.0,66.0,167.0,-2.633e+17,-7400000000000000.0,2.707e+17,1.204e+17,-3599999999999999.5,-1.411e+17,gcmt,gem:546673,subduction_intraslab
B011885A,1985-01-18T15:00:08,-70.71,-29.41,82.0,6.3,mwc,322.0,67.0,13.0,227.0,78.0,156.0,25.0,182.0,64.0,22.0,8.0,276.0,5.3900000000000006e+17,2.904e+18,-3.443e+18,-1.459e+18,-4.09e+17,-4.98e+17,us,neic:534791;gem:534791,subduction_intraslab
504095,1986-02-20T09:16:06,-70.321,-21.337,55.0,5.79,mw,0.0,61.0,-77.0,154.0,32.0,-113.0,44.39275407547447,260.51903685830825,20.44632967543922,11.926459895597816,38.56124860626623,119.21618146696233,-3.75,-2.45,6.2,0.1,-2.9,-1.62,gem,,subduction_intraslab
B032386A,1986-03-23T11:47:46,-70.85,-26.03,98.5,5.3,mw,223.0,21.0,-90.0,43.0,69.0,-90.0,24.0,133.0,0.0,43.0,66.0,313.0,-5.666e+16,2.497e+16,3.168e+16,-5.2e+16,-5.555e+16,5.674e+16,gcmt,gem:501459,subduction_intraslab
486306,1986-09-12T10:39:40,-70.358,-22.57,65.0,5.14,mw,9.0,65.0,-98.0,207.0,26.0,-74.0,44.74082318233809,284.99698974199873,11.162045962036885,183.72072310315752,43.110646951292,83.07621826803626,-4.08,-1.17,5.24,-0.59,-3.95,2.04,gem,,subduction_intraslab
B091286A,1986-09-12T10:39:47,-70.96,-21.88,108.8,5.1,mw,207.0,26.0,-74.0,9.0,65.0,-98.0,20.0,105.0,7.0,13.0,69.0,264.0,-4.075e+16,-1.165e+16,5.24e+16,-5940000000000000.0,-3.954e+16,2.04e+16,gcmt,,subduction_intraslab
B012987B,1987-01-29T17:22:39,-71.08,-29.73,66.0,5.4,mwc,206.0,9.0,-66.0,2.0,82.0,-94.0,37.0,95.0,3.0,2.0,53.0,268.0,-1.52e+16,-5.15e+16,6.67e+16,-8400000000000002.0,-1.444e+17,1.3900000000000002e+16,us,gem:477562,subduction_intraslab
C030587A,1987-03-05T09:17:20,-70.93,-24.38,41.9,7.3,mw,12.0,23.0,106.0,175.0,68.0,83.0,66.0,73.0,6.0,177.0,23.0,270.0,1.746e+20,-5.4e+18,-1.692e+20,2.91e+19,-1.759e+20,-1.1e+19,gcmt,,subduction_intraslab
471284,1987-03-05T10:55:14,-70.636,-24.57,40.0,6.93,mw,166.0,73.0,93.0,336.0,17.0,80.0,44.83748817384141,260.504436325567,3.458902269766788,167.0588393490433,44.95395320108723,73.59918899106395,1.42,0.28,-1.7,0.59,-2.48,0.69,gem,,subduction_intraslab
C030587B,1987-03-05T10:55:22,-71.31,-24.19,33.0,5.7,mw,336.0,17.0,80.0,166.0,73.0,93.0,61.0,81.0,3.0,346.0,28.0,254.0,1.424e+19,2.8100000000000005e+18,-1.705e+19,5.94e+18,-2.484e+19,6.919999999999999e+18,gcmt,,subduction_intraslab
B030687E,1987-03-06T09:40:02,-70.55,-23.87,45.0,5.8,mw,54.0,24.0,154.0,168.0,80.0,68.0,51.0,53.0,22.0,172.0,31.0,276.0,8.76e+17,3.34e+17,-1.21e+18,6.82e+17,-2.169e+18,-7.03e+17,gcmt,gem:471366,subduction_intraslab
B032287B,1987-03-22T03:24:07,-70.61,-23.92,45.3,5.8,mw,40.0,32.0,145.0,161.0,72.0,63.0,55.0,38.0,25.0,170.0,23.0,271.0,7.328e+17,2.652e+17,-9.98e+17,5.348e+17,-9.048e+17,-2.658e+17,gcmt,gem:472703,subduction_intraslab
C080887C,1987-08-08T15:49:10,-70.02,-18.96,79.5,6.9,mw,176.0,20.0,-87.0,353.0,70.0,-91.0,25.0,84.0,1.0,353.0,65.0,261.0,-4.515e+19,-1.025e+19,5.54e+19,7.74e+18,-5.982e+19,-7.08e+18,gcmt,gem:459313,subduction_intraslab
C081387B,1987-08-13T15:23:17,-71.59,-18.08,35.9,6.1,mw,327.0,18.0,76.0,161.0,72.0,95.0,63.0,79.0,4.0,340.0,27.0,248.0,3.761e+18,-5.06e+17,-3.255e+18,1.58e+18,-5.152e+18,1.693e+18,gcmt,gem:459668,subduction_intraslab
B102187D,1987-10-21T23:26:01,-70.04,-20.65,76.0,5.4,mw,200.0,29.0,-38.0,325.0,72.0,-114.0,24.0,73.0,23.0,333.0,56.0,204.0,-2.073e+16,-1.268e+16,3.342e+16,1.866e+16,-2.578e+16,-9760000000000000.0,gcmt,gem:455901,subduction_intraslab
B103187B,1987-10-31T05:11:25,-70.8,-26.15,66.0,5.1,mw,338.0,60.0,-13.0,75.0,79.0,-149.0,12.0,204.0,58.0,93.0,29.0,301.0,-5669999999999999.0,2.6e+16,-2.033e+16,-2.018e+16,-1.84e+16,-3.297e+16,gcmt,,subduction_intraslab
B110987B,1987-11-09T17:46:26,-69.88,-21.96,70.4,5.4,mw,259.0,60.0,-28.0,4.0,66.0,-147.0,4.0,130.0,50.0,35.0,40.0,223.0,-3.905e+16,1.002e+16,2.902e+16,4.524e+16,-5.135e+16,8.337999999999998e+16,gcmt,gem:452557,subduction_intraslab
B122887A,1987-12-28T08:16:28,-71.45,-28.27,44.2,6.0,mw,20.0,31.0,114.0,173.0,62.0,76.0,70.0,54.0,12.0,180.0,16.0,273.0,6.36e+17,1.464e+17,-7.824e+17,1.131e+17,-4.449e+17,-8.97e+16,gcmt,gem:451704,subduction_intraslab
B081488B,1988-08-14T13:11:51,-70.44,-21.47,110.1,5.1,mw,161.0,31.0,-104.0,356.0,60.0,-82.0,15.0,81.0,7.0,172.0,74.0,287.0,-5.026e+16,7350000000000000.0,4.291e+16,-3520000000000000.0,-2.641e+16,-8210000000000000.0,gcmt,gem:428982,subduction_intraslab
C081488C,1988-08-14T17:53:18,-71.23,-27.31,38.9,6.5,mw,326.0,16.0,31.0,206.0,82.0,103.0,51.0,132.0,13.0,24.0,36.0,285.0,2.425e+18,2.496e+18,-4.921e+18,-4.62e+18,-9.604e+18,-4.17e+17,gcmt,neic:429001;gem:429001,subduction_intraslab
429264,1988-08-17T12:38:14,-71.207,-27.255,25.4,5.63,mw,78.0,9.0,-171.0,339.0,88.0,-81.0,44.34757231322277,60.52501250637806,8.898779749040063,159.328626976897,44.28127701799603,258.11172521233755,0.23,-0.3,0.06,1.41,-3.13,-0.92,gem,,subduction_intraslab
429273,1988-08-17T14:26:05,-71.215,-27.162,35.4,5.48,mw,56.0,10.0,152.0,173.0,85.0,81.0,44.19763017138436,74.10582155414517,8.936388123068914,172.9010151885841,44.41968768542186,271.7652171051774,0.31,0.07,-0.38,0.26,-1.96,-0.26,gem,,subduction_intraslab
386905,1989-11-14T06:07:54,-71.165,-27.56,33.4,5.38,mw,202.0,51.0,140.0,319.0,60.0,46.0,8.66232995906274,176.0603450292076,49.95886130840005,276.5056955258875,38.71591401391533,79.04565475604647,0.91,0.33,-1.24,-1.02,-0.01,0.23,gem,,subduction_intraslab
385365,1989-12-30T12:38:14,-70.626,-26.279,40.9,5.49,mw,21.0,48.0,121.0,159.0,51.0,60.0,3.3911727905499123,2.7746998502493625,47.06682649556176,96.42653620383857,42.73211845919069,269.63666219210745,1.63,0.72,-2.34,0.46,-0.12,0.0,gem,,subduction_intraslab
B123089B,1989-12-30T12:38:17,-71.42,-26.57,39.1,5.1,mw,21.0,48.0,121.0,159.0,51.0,60.0,67.0,4.0,23.0,179.0,2.0,270.0,1.629e+17,7.18e+16,-2.348e+17,4.64e+16,-1.17e+16,200000000000000.0,gcmt,,subduction_intraslab
B082890D,1990-08-28T08:58:13,-70.63,-19.99,65.1,5.2,mw,334.0,45.0,-88.0,150.0,45.0,-92.0,0.0,242.0,2.0,152.0,88.0,332.0,-7.832e+16,4590000000000000.0,7.372e+16,-1210000000000000.0,-1330000000000000.0,-5.206000000000001e+16,gcmt,,subduction_intraslab
B103190A,1990-10-31T14:39:35,-71.07,-27.05,73.3,5.6,mw,74.0,50.0,-140.0,315.0,60.0,-48.0,6.0,17.0,35.0,111.0,54.0,278.0,-1.544e+17,2.275e+17,-7.31e+16,1.55e+16,-1.008e+17,-8.81e+16,gcmt,gem:355139,subduction_intraslab
B122790B,1990-12-27T16:08:41,-70.18,-22.42,63.9,5.2,mw,229.0,20.0,-50.0,7.0,75.0,-103.0,29.0,108.0,13.0,10.0,58.0,260.0,-7.62e+16,-1.36e+16,8.98e+16,-1.7399999999999998e+16,-1.52e+17,5.639999999999999e+16,gcmt,gem:348867,subduction_intraslab
B022892B,1992-02-28T09:14:15,-69.56,-24.21,77.4,5.7,mw,99.0,47.0,173.0,194.0,85.0,43.0,33.0,66.0,46.0,199.0,25.0,318.0,4.31e+16,-2.278e+17,1.847e+17,2.38e+16,-4.428e+17,-3.836e+17,gcmt,gem:305455,subduction_intraslab
288038,1992-06-21T10:52:43,-70.743,-26.562,38.7,5.74,mw,225.0,44.0,144.0,343.0,66.0,52.0,20.023307956786244,206.42693020915763,43.9822247452789,317.01877991463783,39.261948823863335,99.09665277833231,2.91,1.64,-4.55,-1.54,2.09,-1.43,gem,,subduction_intraslab
B062192D,1992-06-21T10:52:48,-71.53,-26.8,47.0,5.3,mw,225.0,44.0,144.0,343.0,66.0,52.0,53.0,206.0,34.0,0.0,13.0,99.0,2.912e+17,1.642e+17,-4.553e+17,-1.537e+17,2.0870000000000003e+17,-1.434e+17,gcmt,,subduction_intraslab
19921001081852,1992-10-01T08:18:52,-74.96,-39.04,15.0,5.5,mwc,35.0,42.0,-51.0,167.0,58.0,-120.0,9.0,278.0,25.0,184.0,63.0,26.0,-1.469e+17,-3.8e+16,1.849e+17,-5.73e+16,6.08e+16,4.29e+16,us,gem:265443,subduction_intraslab
C031593F,1993-03-15T16:09:09,-71.16,-26.55,59.6,6.2,mw,232.0,15.0,-36.0,357.0,81.0,-102.0,35.0,98.0,12.0,359.0,52.0,253.0,-2.259e+18,7.28e+17,1.53e+18,7.79e+17,-5.933e+18,1.25e+18,gcmt,gem:243266,subduction_intraslab
231950,1993-05-11T16:25:01,-70.431,-24.944,48.7,5.69,mw,3.0,89.0,-82.0,99.0,8.0,-175.0,44.46378287413224,265.2086487582497,8.003586001460667,3.1406190787920423,44.42538797220864,101.06189555361186,-0.05,-0.19,0.24,-0.22,-4.16,-0.57,gem,,subduction_intraslab
C071193A,1993-07-11T13:36:32,-70.56,-25.31,49.0,6.0,mw,356.0,21.0,95.0,171.0,69.0,88.0,66.0,78.0,2.0,172.0,24.0,263.0,6.418e+18,4.66e+17,-6.885e+18,1.241e+18,-7.412e+18,8.51e+17,gcmt,gem:219103,subduction_intraslab
B021194A,1994-02-11T00:48:49,-71.3,-18.96,35.1,5.0,mw,291.0,45.0,53.0,158.0,56.0,121.0,64.0,125.0,25.0,319.0,6.0,226.0,1.33e+17,-6.820000000000001e+16,-6.48e+16,-2.7e+16,-6.64e+16,9.35e+16,gcmt,gem:185074,subduction_intraslab
B041994B,1994-04-19T08:28:47,-70.59,-22.59,38.1,5.2,mw,18.0,15.0,132.0,154.0,79.0,80.0,55.0,52.0,10.0,156.0,33.0,253.0,4.85e+16,1.85e+16,-6.69e+16,5.98e+16,-1.211e+17,1.13e+16,gcmt,gem:178289,subduction_intraslab
B051094A,1994-05-10T01:49:12,-70.72,-19.97,58.0,5.8,mw,353.0,29.0,99.0,163.0,61.0,85.0,73.0,60.0,4.0,165.0,16.0,257.0,6.345e+17,6.04e+16,-6.95e+17,1.512e+17,-4.103e+17,1.754e+17,gcmt,,subduction_intraslab
