id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
Z112377A,1977-11-23T09:26:48,-67.69,-31.22,20.8,7.4,mw,183.0,44.0,90.0,4.0,46.0,90.0,89.0,289.0,0.0,184.0,1.0,94.0,1.855e+20,8e+17,-1.863e+20,1.3e+18,6.5e+18,-1.19e+19,gcmt,gmt:112377A,unclassified
B112477A,1977-11-24T18:20:20,-68.05,-31.53,46.5,5.7,mw,190.0,34.0,91.0,8.0,56.0,89.0,79.0,275.0,1.0,9.0,11.0,99.0,2.04e+17,1.0049999999999998e+17,-3.046e+17,1.51e+16,1.08e+17,-6.4e+16,gcmt,gmt:112477A,unclassified
B112877B,1977-11-28T04:19:39,-68.21,-32.02,33.1,5.4,mw,150.0,52.0,27.0,43.0,69.0,139.0,43.0,0.0,45.0,200.0,10.0,100.0,1.298e+17,1.472e+17,-2.77e+17,1.333e+17,5.460000000000001e+16,-5.27e+16,gcmt,gmt:112877B,unclassified
B112877C,1977-11-28T06:31:38,-67.64,-31.67,15.0,5.8,mw,182.0,21.0,106.0,345.0,70.0,84.0,64.0,246.0,6.0,347.0,25.0,80.0,1.174e+18,2.18e+17,-1.391e+18,-4.24e+17,1.488e+18,2.12e+17,gcmt,gmt:112877C,unclassified
B120577B,1977-12-05T15:43:35,-68.22,-31.57,32.0,5.6,mw,103.0,65.0,-5.0,195.0,86.0,-154.0,15.0,326.0,64.0,203.0,21.0,61.0,2.46e+16,1.995e+17,-2.241e+17,-2.25e+16,2.3250000000000003e+17,3.903e+17,gcmt,gmt:120577B,unclassified
B120677A,1977-12-06T17:05:16,-68.11,-31.43,19.0,5.9,mw,181.0,37.0,82.0,11.0,54.0,96.0,80.0,306.0,5.0,187.0,8.0,97.0,6.121e+17,2.788e+17,-8.909000000000001e+17,5.540000000000001e+16,2.254e+17,-1.3700000000000002e+17,gcmt,gmt:120677A,unclassified
B121077B,1977-12-10T07:11:56,-67.64,-31.19,39.0,5.5,mw,199.0,29.0,117.0,348.0,65.0,76.0,67.0,232.0,13.0,355.0,18.0,89.0,,,,,,,us,gmt:121077B,unclassified
B011778A,1978-01-17T11:33:21,-68.08,-31.53,23.0,5.7,mw,142.0,66.0,12.0,47.0,79.0,156.0,25.0,2.0,64.0,203.0,8.0,96.0,9.75e+16,8.938e+17,-9.913e+17,4.83e+17,1.0940000000000002e+17,-1.401e+17,gcmt,gmt:011778A,unclassified
B082178A,1978-08-21T00:28:22,-67.77,-31.27,10.0,5.3,mw,218.0,9.0,79.0,49.0,81.0,92.0,54.0,321.0,2.0,228.0,36.0,137.0,,,,,,,us,gmt:082178A,unclassified
B122178B,1978-12-21T01:13:57,-72.57,-36.4,50.0,5.6,mw,101.0,34.0,52.0,324.0,64.0,112.0,64.0,271.0,20.0,134.0,16.0,38.0,5.478e+17,-4.288e+17,-1.19e+17,-1.293e+17,4.274e+17,2.866e+17,gcmt,gmt:122178B,unclassified
