ID,Lat,Lon,Depth_km,Mw,Strike_1,Dip_1,Rake_1,P_trend,P_plunge,T_trend,T_plunge,Strike_2,Dip_2,Rake_2,Strike_2_c,Dip_2_cal,Rake_2_cal,Slab1,Depth2Slab
010193C,-31.93,-71.66,22,5.3,356,19,92,264,26,83,64,174,71,89,174,71,89,-31.86637878,9.866
010278A,-37.96,-71.61,144,5.5,93,53,-9,58,31,315,20,189,83,-142,188,83,-143,-100.7146912,-43.285
010701C,-33.52,-72.33,21,5.9,353,23,85,267,22,92,68,178,67,92,178,67,92,-15.27188301,-5.728
010703A,-33.6,-70.22,113,5.7,199,28,-70,245,69,94,18,356,64,-100,357,64,-100,-92.13293457,-20.867
010886A,-35.83,-71.38,96,5.1,303,16,0,288,43,138,43,33,90,-106,213,90,-106,-82.76475525,-13.235
010903G,-44.66,-79.54,15,5.9,169,84,-2,124,6,34,3,259,88,-174,259,88,-174,,
011004D,-30.9,-71.94,59,5.6,70,48,-144,273,51,15,9,314,64,-48,314,64,-48,-19.7918663,-39.208
011177A,-31.92,-72.1,42,5.2,5,34,111,260,13,36,73,160,59,77,160,59,76,-17.81595039,-24.184
011298G,-31.25,-71.87,35,6.6,355,27,91,264,18,83,72,174,63,90,174,63,89,-23.50101089,-11.499
011480E,-33.27,-69.42,15,5.6,141,69,5,97,11,3,18,49,85,159,49,85,159,-112.7453995,97.745
011498D,-31.82,-68.16,134,5.2,176,31,-123,335,66,110,17,34,65,-72,33,64,-72,-99.02410126,-34.976
011589A,-31.69,-71.72,15,5.4,336,10,113,226,36,38,54,133,81,86,133,81,86,-29.62970543,14.63
011778A,-31.53,-68.08,23,6,142,66,12,96,9,2,25,47,79,156,47,79,156,-95.67359924,72.674
011904A,-31.85,-72.07,34,5.3,358,25,95,264,20,78,70,172,65,88,172,65,88,-18.96002769,-15.04
012078A,-34.55,-70.04,109,5.6,183,26,-98,290,70,99,19,12,64,-86,12,64,-86,-114.8877258,5.888
012685A,-33.11,-68.75,28,5.9,158,38,65,86,9,325,72,9,56,108,9,56,108,-125.9202881,97.92
012787A,-32.35,-72.65,15,5.5,28,32,138,264,20,31,58,156,69,65,155,69,65,-8.863745689,-6.136
012880C,-45.17,-76.29,15,5.4,195,27,-56,222,64,80,21,338,68,-106,338,68,-106,,
020387A,-37.69,-73.3,28,5.8,357,16,95,263,29,80,61,172,74,89,172,74,89,-31.85425949,3.854
020599D,-34.78,-70.56,99,5.2,126,47,146,359,11,103,50,241,66,48,241,66,48,-99.86560059,0.866
020986A,-36.24,-71.11,125,5.2,14,14,92,282,31,101,59,192,76,89,192,76,90,-99.57880402,-25.421
021097B,-32.98,-68.31,152,5.3,317,15,-31,333,51,178,36,77,82,-103,77,82,-103,-131.2768555,-20.723
021480A,-32.02,-71.56,47,5.1,226,41,142,101,14,212,55,346,66,55,347,66,56,-35.89836502,-11.102
021487D,-45.7,-76.51,15,5.9,259,76,-171,122,16,213,4,167,81,-14,167,81,-14,,
021996E,-42.45,-76.02,15,6,201,27,-85,280,72,107,18,15,63,-93,15,63,-93,,
022102D,-31.77,-67.3,134,5.4,131,33,-149,318,52,82,23,15,74,-61,14,74,-61,-105.6197052,-28.38
022185B,-33.37,-72.1,33,5.7,29,31,127,272,18,45,64,167,66,70,168,66,70,-20.09956169,-12.9
022189B,-44.96,-78.44,15,5.5,98,20,-80,171,65,0,25,268,71,-94,267,70,-94,,
022277A,-45.97,-76.35,10,5.4,261,76,-168,124,18,215,2,168,78,-14,168,78,-14,,
022296C,-33.53,-72,50,5.9,93,40,49,31,11,279,62,321,61,119,322,61,119,-23.73223877,-26.268
022489C,-39.26,-71.83,15,5.2,110,62,23,61,5,327,35,9,70,150,9,70,150,-103.2782059,88.278
022803A,-35.41,-73.56,15,5.3,26,18,115,276,28,79,61,180,74,82,180,74,82,-12.01769924,-2.982
022876A,-40.3,-75.57,15,5.9,13,45,-85,11,86,279,0,187,45,-95,186,45,-95,,
022883B,-44.78,-79.16,15,6,260,90,180,305,0,215,0,350,90,0,350,90,0,,
030301E,-39.48,-75.45,15,5.8,228,31,-43,233,59,104,21,357,69,-114,357,69,-114,,
030302A,-45.92,-76.42,15,5.9,258,83,-176,123,8,213,2,168,86,-7,168,86,-7,,
030385A,-33.92,-71.71,41,7.2,11,26,110,266,20,61,68,169,66,81,169,66,81,-36.49943542,-4.501
030485A,-33.06,-71.79,33,,234,32,155,98,26,223,49,346,77,60,346,77,60,-27.72075653,-5.279
030485B,-33.43,-72.08,10,6.3,215,24,143,85,28,225,55,340,76,70,340,76,70,-20.54467201,10.545
030485C,-34.05,-72.75,14,5.7,26,24,128,267,25,53,61,165,71,74,165,71,75,-11.87790203,-2.122
