
  International Seismological Centre
  ISC: Focal Mechanism solutions

Any use of data from the ISC *should be cited*. The correct format for
citations may be found on our citation page <http://www.isc.ac.uk/
citations/>.

Once the search has completed, a compressed KML file <https://
www.isc.ac.uk/temp/kml/507173769.kmz> will be available to view the
results in Google Earth <http://earth.google.com/>.

Sorry a problem has occured with the map.
*Search summary:*
Database: Reviewed ISC Bulletin
Search type: Rectangular search
Latitude range: -51 to -27
Longitude range: -80 to -65
Start date: 1976-01-01 00:00:00
End date: 2025-08-01 00:00:00
Magnitude >= 4.9
Events found: 1650
Date of search: Mon Sep 1 13:00:30 2025 GMT

Agencies whose data contributed towards the results of this search are
listed at the bottom of the page.

/Please note:/

Data on or after 2023/09/01 have not been reviewed by the ISC.



DATA_TYPE FOCAL_MECHANISM_SOLUTIONS
Reviewed ISC Bulletin
-----EVENT----|------------------------------ORIGIN------------------------------|FM AUTHOR|----MOMENT---|-----------MOMENT TENSOR COMPONENTS---------|---------------NODAL PLANES--------------|-----------------------PRINCIPAL AXES-------------------------|
 EVENT_ID,TYPE,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,CENTROID,AUTHOR   ,EX,MO   ,MW  ,EX,MRR   ,MTT   ,MPP   ,MRT   ,MTP   ,MPR   ,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,EX,T_VAL ,T_PL ,T_AZM ,P_VAL ,P_PL ,P_AZM ,N_VAL ,N_PL ,N_AZM 
   718362 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=718362&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1976-02-28,16:27:13.90,-40.3000, -75.5700, 15.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,18,0.940, 5.9,18,-0.800,-0.230, 1.030,-0.030, 0.230, 0.010, 13.00,45.00, -85.00,187.00,45.00, -95.00,18, 1.070, 0.00,280.00,-0.800,87.00, 13.00,-0.270, 3.00,190.00
   714840 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=714840&out_format=ISF2&request=COMPREHENSIVE>,ke  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1976-05-30,03:08:55.40,-42.0600, -75.9400, 15.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,18,1.700, 6.1,18,-1.660, 0.080, 1.590,-0.240, 0.430,-0.030, 23.00,47.00, -79.00,187.00,44.00,-101.00,18, 1.700, 2.00,105.00,-1.700,82.00,  4.00, 0.000, 8.00,195.00
   703413 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=703413&out_format=ISF2&request=COMPREHENSIVE>,ke  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1977-01-11,07:02:43.60,-31.9200, -72.1000, 42.2,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,16,8.760, 5.2,16, 7.116, 1.044,-8.160, 2.177, 1.407,-3.401,  5.00,34.00, 111.00,160.00,59.00,  77.00,16, 8.310,73.00, 36.00,-9.220,13.00,259.00, 0.900,11.00,167.00
   702707 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=702707&out_format=ISF2&request=COMPREHENSIVE>,ke  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1977-02-22,14:10:12.00,-45.9700, -76.3500, 10.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,1.860, 5.5,17,-0.073, 0.661,-0.580, 0.302,-1.642, 0.534,168.00,78.00, -14.00,261.00,76.00,-168.00,17, 1.790, 2.00,215.00,-1.920,18.00,124.00, 0.130,72.00,310.00
   691406 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=691406&out_format=ISF2&request=COMPREHENSIVE>,ke  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1977-10-05,04:34:18.20,-28.3400, -71.4300, 52.7,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,2.030, 5.5,17, 1.703, 0.279,-1.980, 0.397,-0.056,-0.741, 16.00,36.00, 113.00,168.00,57.00,  74.00,17, 1.940,73.00, 38.00,-2.130,11.00,270.00, 0.180,13.00,177.00
   690743 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=690743&out_format=ISF2&request=COMPREHENSIVE>,de  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1977-11-23,09:26:48.40,-31.2200, -67.6900, 20.8,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,20,1.860, 7.5,20, 1.855, 0.008,-1.860, 0.013,-0.119, 0.065,  4.00,46.00,  90.00,183.00,44.00,  90.00,20, 1.860,89.00,289.00,-1.870, 1.00, 94.00, 0.020, 0.00,184.00
   690849 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=690849&out_format=ISF2&request=COMPREHENSIVE>,ke  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1977-11-24,18:20:20.40,-31.5300, -68.0500, 46.5,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,2.810, 5.6,17, 2.040, 1.005,-3.040, 0.151,-0.640, 1.080,  8.00,56.00,  89.00,190.00,34.00,  91.00,17, 2.260,79.00,275.00,-3.360,11.00, 99.00, 1.100, 1.00,  9.00
   691077 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=691077&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1977-11-28,04:19:39.50,-32.0200, -68.2100, 33.1,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,2.840, 5.6,17, 1.298, 1.472,-2.770, 1.333,-0.527, 0.546, 43.00,69.00, 139.00,150.00,52.00,  27.00,17, 2.720,43.00,  0.00,-2.960,10.00,100.00, 0.240,45.00,200.00
   691088 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=691088&out_format=ISF2&request=COMPREHENSIVE>,fe  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1977-11-28,06:31:38.20,-31.6700, -67.6400, 15.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,18,2.020, 6.1,18, 1.174, 0.218,-1.390,-0.424, 0.212, 1.488,182.00,21.00, 106.00,345.00,70.00,  84.00,18, 1.910,64.00,246.00,-2.130,25.00, 80.00, 0.220, 6.00,347.00
   688709 <https://www.isc.ac.uk/cgi-bin/web-db-run?event_id=688709&out_format=ISF2&request=COMPREHENSIVE>,ke  ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,1977-12-05,15:43:35.40,-31.5700, -68.2200, 32.0,TRUE    ,GCMT <https://www.isc.ac.uk/cgi-bin/agency-get?agency=GCMT>     ,17,4.970, 5.7,17, 0.246, 1.995,-2.240,-0.225, 3.903, 2.325,103.00,65.00,  -5.00,195.00,86.00,-154.00,17, 4.580,15.00,326.00,-5.370,21.00, 61.00, 0.800,64.00,203.00
