id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,duplicate_id
b000mztz,1970-01-01T00:00:00,0.0,0.0,13.0,5.1,mwr,43.49,14.88,150.37,162.29,82.71,76.99,51.0,58.0,13.0,164.0,36.0,264.0,1.2539e+16,5371000000000000.0,-1.7911e+16,1.6032e+16,-4.532e+16,-5676000000000000.0,us,287_us
7000fdki,1970-01-01T00:00:00,0.0,0.0,8.0,4.9,mwr,194.39,80.58,83.65,48.59,11.35,123.68,54.0,97.0,6.0,195.0,35.0,290.0,9071000000000000.0,-378000000000000.0,-8693000000000000.0,-7155000000000000.0,-2.8757e+16,-6274000000000000.0,us,287_us
2000cptq,1970-01-01T00:00:00,0.0,0.0,12.0,4.9,mwr,198.13,65.88,73.91,53.34,28.73,121.75,65.0,80.0,15.0,205.0,19.0,300.0,1.7459e+16,-3289000000000000.0,-1.417e+16,-3707000000000000.0,-1.647e+16,-1.3089e+16,us,287_us~
b000k2du,1970-01-01T00:00:00,0.0,0.0,7.0,5.4,mwb,338.29,18.23,73.42,175.7,72.55,95.37,62.0,94.0,5.0,354.0,27.0,261.0,8.411e+16,1.113e+16,-9.524e+16,7200000000000000.0,-1.3025e+17,2.308e+16,us,287_us}
b000jdpj,1970-01-01T00:00:00,0.0,0.0,111.0,4.9,mwr,337.19,42.72,1.7,245.94,88.85,132.71,32.0,190.0,43.0,65.0,30.0,302.0,2883000000000000.0,1.037e+16,-1.3253e+16,-1.6512e+16,-1.5621e+16,-1.6941e+16,us,287_us|
20007zam,1970-01-01T00:00:00,0.0,0.0,34.0,5.2,mwr,176.22,53.45,98.44,342.24,37.38,78.81,79.0,121.0,7.0,351.0,8.0,260.0,7.5626e+16,1.5945e+16,-9.1571e+16,-2847000000000000.0,-2.5652e+16,2.0215e+16,us,287_us{
200081rv,1970-01-01T00:00:00,0.0,0.0,36.0,5.0,mwr,317.99,27.57,71.73,158.41,63.93,99.29,70.0,88.0,8.0,334.0,18.0,241.0,2.68e+16,-6263000000000000.0,-2.0537e+16,5790000000000000.0,-2.0629e+16,1.39e+16,us,287_usz
200082kn,1970-01-01T00:00:00,0.0,0.0,39.0,4.6,mwr,357.03,30.19,91.64,175.13,59.83,89.04,75.0,82.0,1.0,176.0,15.0,266.0,8613000000000000.0,977000000000000.0,-9590000000000000.0,507000000000000.0,-5170000000000000.0,741000000000000.0,us,287_usy
10007mrf,1970-01-01T00:00:00,0.0,0.0,21.0,4.9,mwr,186.74,70.5,85.89,18.89,19.91,101.45,64.0,90.0,4.0,188.0,25.0,280.0,1.6504e+16,3650000000000000.0,-2.0154e+16,-2461000000000000.0,-2.3012e+16,-5095000000000000.0,us,287_usx
10007pnw,1970-01-01T00:00:00,0.0,0.0,51.0,4.9,mwr,336.42,50.48,78.64,173.94,40.86,103.43,80.0,193.0,9.0,344.0,5.0,74.0,2.5191e+16,522000000000000.0,-2.5713e+16,-4712000000000000.0,3402000000000000.0,7550000000000000.0,us,287_usw
