id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups
b000mztz,1970-01-01T00:00:00,0.0,0.0,13.0,5.1,mwr,43.49,14.88,150.37,162.29,82.71,76.99,51.0,58.0,13.0,164.0,36.0,264.0,1.2539e+16,5371000000000000.0,-1.7911e+16,1.6032e+16,-4.532e+16,-5676000000000000.0,us,us:7000efb4;us:6000e2vk;us:6000e2aa;us:6000diut;us:6000dgd0;us:7000cp39;us:6000c8ev;us:70009awg;us:70008fmr;us:70006t6h;us:b000k2e3;us:700039yk;us:1000ghwz;us:7000fbcx;us:2000dutq;us:2000bkrs;us:100097jl;us:20009pnk;us:10008vpd;us:10008juc;us:20008uxc;us:10007pnw;us:10007mrf;us:200082kn;us:200081rv;us:20007zam;us:b000jdpj;us:b000k2du;us:2000cptq;us:7000fdki
703930,1977-01-25T00:50:49,-68.377,-33.597,15.8,5.32,mw,180.0,45.0,147.0,295.0,67.0,50.0,19.71868056531342,158.99682294590718,44.99999999999999,270.0,38.41972479212712,52.4809520919103,,,,,,,gem,
B100577B,1977-10-05T04:34:09,-70.74,-28.25,52.0,5.5,mwc,16.0,36.0,113.0,168.0,57.0,74.0,73.0,38.0,13.0,177.0,11.0,270.0,1.703e+17,2.7900000000000004e+16,-1.982e+17,3.97e+16,-7.41e+16,-5600000000000000.0,us,gem:691406
B120777A,1977-12-07T00:32:36,-67.39,-28.57,124.0,5.5,mwc,148.0,42.0,-82.0,318.0,48.0,-97.0,3.0,53.0,5.0,322.0,84.0,171.0,-1.84e+17,6.38e+16,1.201e+17,2.37e+16,-5400000000000000.0,-1.0169999999999998e+17,us,gem:688770
B021778B,1978-02-17T06:43:30,-71.02,-28.57,55.0,5.3,mwc,141.0,23.0,35.0,18.0,77.0,109.0,54.0,311.0,18.0,194.0,30.0,93.0,5.823e+16,-2030000000000000.0,-5.62e+16,5.207e+16,9.218e+16,2.379e+16,us,gem:686607
682971,1978-05-29T17:20:28,-79.406,-44.905,15.0,6.45,mw,170.0,81.0,-17.0,263.0,73.0,-171.0,17.546748481964613,37.21963467442197,71.51556066169412,198.2805165791776,5.630573755034519,305.4332266329947,-0.19,1.73,-1.54,0.72,1.93,-5.28,gem,
B062878C,1978-06-28T07:28:03,-69.92,-27.2,119.7,5.3,mw,134.0,30.0,-139.0,8.0,71.0,-66.0,22.0,80.0,22.0,179.0,58.0,310.0,-3.199e+16,-1.551e+16,4.75e+16,-6840000000000001.0,-4.245e+16,-1.926e+16,gcmt,gem:681554
B042879E,1979-04-28T11:38:25,-71.17,-27.39,21.1,6.1,mw,31.0,24.0,68.0,234.0,68.0,99.0,66.0,161.0,9.0,51.0,22.0,317.0,1.307e+18,-6.07e+17,-7e+17,-1.162e+18,-7.19e+17,-8.27e+17,gcmt,gem:667302
B052079D,1979-05-20T19:37:48,-71.11,-27.32,15.0,5.6,mw,11.0,13.0,117.0,163.0,79.0,84.0,56.0,66.0,6.0,165.0,34.0,258.0,2.679e+17,4.94e+16,-3.173e+17,2.082e+17,-6.646e+17,2.86e+16,gcmt,gem:665372
B062779A,1979-06-27T21:46:25,-68.28,-29.48,115.0,5.6,mwc,284.0,32.0,-43.0,52.0,69.0,-115.0,20.0,161.0,23.0,62.0,59.0,287.0,-1.935e+17,2.0830000000000003e+17,-1.48e+16,-1.087e+17,-1.797e+17,2.85e+16,us,gem:664194
B080279A,1979-08-02T07:40:29,-71.48,-28.01,19.0,5.1,mw,15.0,28.0,113.0,169.0,65.0,79.0,68.0,57.0,10.0,174.0,19.0,268.0,1.488e+17,5.27e+16,-2.015e+17,3.28e+16,-1.353e+17,899999999999999.9,gcmt,gem:659696
654584,1979-12-24T00:13:40,-66.895,-29.616,25.0,5.01,mw,168.0,65.0,41.0,58.0,54.0,148.0,9.928372085734525,207.8109744799758,52.29541616792059,310.8982850176729,35.92910326765881,110.52382652713776,,,,,,,gem,
C071980A,1980-07-19T11:52:20,-69.68,-29.0,110.0,5.9,mwc,306.0,26.0,-77.0,112.0,65.0,-96.0,20.0,206.0,6.0,114.0,70.0,9.0,-8.087e+17,5.889e+17,2.198e+17,-6.221e+17,1.875e+17,-3.052e+17,us,gem:642123
B051781C,1981-05-17T17:05:00,-72.14,-27.39,15.0,5.4,mw,191.0,37.0,-79.0,358.0,54.0,-98.0,9.0,94.0,6.0,3.0,79.0,237.0,-9.022e+16,-4970000000000000.0,9.519e+16,8250000000000000.0,-3.02e+16,8250000000000000.0,gcmt,gem:626780
624731,1981-06-04T07:39:40,-78.984,-34.227,22.0,5.14,mw,207.0,42.0,-41.0,330.0,64.0,-124.0,40.56104135662221,83.87633272088436,41.78868680897124,303.97102143365225,21.396661717551517,193.47172229165437,-4.22,-1.6,5.82,3.19,-1.92,-0.16,gem,
C101681A,1981-10-16T03:25:42,-73.07,-33.13,32.0,7.1,mwc,194.0,34.0,96.0,6.0,56.0,86.0,78.0,262.0,4.0,9.0,11.0,100.0,4.936e+19,-5.75e+18,-4.361e+19,-3e+17,1.967e+19,-7.27e+18,us,neis:610009;gem:610009
C110781A,1981-11-07T03:29:50,-71.37,-32.23,64.0,6.9,mwc,208.0,5.0,-47.0,345.0,86.0,-94.0,41.0,78.0,4.0,345.0,49.0,251.0,-6.7e+17,-7.67e+18,8.34e+18,7.82e+18,-3.122e+19,-2.17e+18,us,neis:608340;gem:608340
B102682A,1982-10-26T03:24:30,-71.26,-29.67,69.0,5.7,mwc,100.0,15.0,-154.0,345.0,84.0,-77.0,37.0,63.0,13.0,164.0,50.0,270.0,-1.367e+17,1.149e+17,2.18e+16,9.69e+16,-4.904e+17,-1.0960000000000002e+17,us,gem:591057
B111882C,1982-11-18T20:39:54,-65.74,-31.21,166.2,5.5,mw,129.0,24.0,-114.0,335.0,68.0,-80.0,22.0,57.0,10.0,151.0,66.0,263.0,-8.794e+17,3.461e+17,5.333e+17,2.8690000000000003e+17,-8.276999999999999e+17,-4.33e+17,gcmt,gem:589249
577740,1983-04-02T05:58:35,-66.563,-28.528,35.0,5.28,mw,17.0,73.0,71.0,247.0,25.0,137.0,39.06517800214765,81.41145295913066,21.51880282758207,190.0763601688619,43.18226512135867,301.7940122160186,5.18,-1.88,-3.29,1.66,7.78,-4.41,gem,
575722,1983-05-07T01:07:23,-70.824,-28.008,50.9,5.08,mw,16.0,29.0,101.0,183.0,62.0,84.0,43.53606560493381,78.95395101675791,9.610878124930856,178.212705337613,44.866217845502405,277.9158636607251,4.28,-0.02,-4.26,0.09,-2.81,-0.74,gem,
B050783A,1983-05-07T01:07:26,-71.61,-28.37,33.8,5.4,mw,16.0,29.0,101.0,183.0,62.0,84.0,73.0,79.0,5.0,186.0,17.0,278.0,4.284e+16,-220000000000000.0,-4.261e+16,930000000000000.0,-2.81e+16,-7390000000000000.0,gcmt,
B080183A,1983-08-01T14:09:24,-76.46,-48.33,11.0,5.5,mw,355.0,14.0,107.0,157.0,76.0,86.0,58.0,61.0,4.0,158.0,31.0,251.0,1.858e+17,1.26e+16,-1.984e+17,1.552e+17,-3.524e+17,6.3e+16,gcmt,gem:569311
B122383B,1983-12-23T22:56:10,-71.67,-27.23,33.0,5.2,mw,306.0,61.0,-25.0,49.0,68.0,-148.0,5.0,176.0,52.0,80.0,37.0,269.0,-2.426e+16,7.772e+16,-5.346e+16,-4440000000000000.0,-5.372e+16,5390000000000000.0,gcmt,gem:563533
B020384B,1984-02-03T08:29:47,-71.13,-29.46,33.0,5.6,mwc,182.0,45.0,83.0,12.0,45.0,97.0,85.0,7.0,5.0,187.0,0.0,97.0,2.532e+17,2.55e+16,-2.787e+17,2.02e+16,-1500000000000000.0,-3.77e+16,us,gem:558434
B050784A,1984-05-07T14:09:14,-66.27,-28.04,147.3,5.6,mw,185.0,51.0,-37.0,300.0,62.0,-135.0,6.0,60.0,38.0,325.0,51.0,158.0,-3.677e+16,-5890000000000000.0,4.266e+16,3.002e+16,4940000000000000.0,-3.542e+16,gcmt,gem:552410
B051684A,1984-05-16T03:45:06,-66.71,-27.07,156.4,5.4,mw,174.0,68.0,-6.0,267.0,84.0,-158.0,11.0,38.0,67.0,280.0,19.0,132.0,-5.39e+16,6.63e+16,-1.24e+16,7.98e+16,1500000000000000.0,-2.146e+17,gcmt,gem:553164
B081884B,1984-08-18T04:10:46,-66.83,-27.71,182.3,5.2,mw,160.0,38.0,-60.0,303.0,58.0,-111.0,10.0,48.0,18.0,315.0,69.0,167.0,-1.598e+17,5.739999999999999e+16,1.024e+17,8.27e+16,-1.4399999999999998e+16,-1.069e+17,gcmt,gem:547056
B011885A,1985-01-18T15:00:08,-70.71,-29.41,82.0,6.3,mwc,322.0,67.0,13.0,227.0,78.0,156.0,25.0,182.0,64.0,22.0,8.0,276.0,5.3900000000000006e+17,2.904e+18,-3.443e+18,-1.459e+18,-4.09e+17,-4.98e+17,us,neic:534791;gem:534791
B030485A,1985-03-04T00:32:21,-71.76,-33.23,33.0,7.3,mwc,234.0,32.0,155.0,346.0,77.0,60.0,49.0,223.0,29.0,353.0,26.0,99.0,5.84e+19,-5.5e+18,-5.289e+19,-7.36e+19,9.282e+19,-5.169e+19,us,gem:529093
B040285B,1985-04-02T02:35:28,-68.97,-28.77,94.0,5.1,mwc,133.0,58.0,-143.0,21.0,59.0,-38.0,0.0,77.0,42.0,167.0,48.0,346.0,-3.339e+16,-2.702e+16,6.041e+16,-8080000000000002.0,-3320000000000000.0,-2.1e+16,us,gem:526584
C040985A,1985-04-09T01:56:58,-71.54,-34.17,33.0,7.1,mwc,0.0,21.0,99.0,170.0,69.0,86.0,66.0,74.0,3.0,171.0,24.0,263.0,3.318e+19,-1e+16,-3.316e+19,7.62e+18,-3.604e+19,3.12e+18,us,neic:527122;gem:527122
B061085B,1985-06-10T15:37:08,-66.64,-27.88,170.2,5.8,mw,161.0,33.0,-64.0,310.0,61.0,-106.0,14.0,52.0,14.0,318.0,70.0,185.0,-2.821e+18,6.65e+17,2.1560000000000005e+18,1.577e+18,-1.087e+18,-2.501e+18,gcmt,neic:522354;gem:522354
B110985B,1985-11-09T22:13:30,-66.41,-27.55,165.2,5.0,mw,172.0,37.0,-45.0,301.0,65.0,-117.0,16.0,51.0,25.0,314.0,60.0,170.0,-7.06e+16,1.317e+16,5.743e+16,6.101e+16,-1.162e+16,-4.882e+16,gcmt,gem:510514
479202,1986-12-25T17:17:41,-79.436,-44.746,15.0,6.35,mw,262.0,88.0,146.0,353.0,56.0,3.0,22.20582947079089,32.23337109363524,56.01291525245498,264.96909831153647,24.323578638472053,132.8663255156776,-0.28,1.23,-0.94,-2.39,0.39,-3.19,gem,
B012987B,1987-01-29T17:22:39,-71.08,-29.73,66.0,5.4,mwc,206.0,9.0,-66.0,2.0,82.0,-94.0,37.0,95.0,3.0,2.0,53.0,268.0,-1.52e+16,-5.15e+16,6.67e+16,-8400000000000002.0,-1.444e+17,1.3900000000000002e+16,us,gem:477562
475248,1987-02-25T10:42:46,-66.762,-27.852,167.0,5.29,mw,179.0,52.0,-6.0,272.0,86.0,-142.0,28.05430474007284,39.5985566833499,51.976310920989775,266.6350100381608,23.441158491432088,142.95876417631723,-0.69,-0.16,0.84,6.84,1.11,-8.54,gem,
B022587C,1987-02-25T10:42:48,-66.31,-28.73,176.1,5.1,mw,179.0,52.0,-6.0,272.0,86.0,-142.0,23.0,39.0,51.0,278.0,30.0,143.0,-6850000000000001.0,-1630000000000000.0,8480000000000000.0,6.845e+16,1.111e+16,-8.539e+16,gcmt,
B051087B,1987-05-10T15:16:28,-65.19,-30.95,186.4,5.6,mw,78.0,69.0,-163.0,341.0,74.0,-22.0,3.0,30.0,63.0,127.0,27.0,299.0,-1.89e+16,8.49e+16,-6.59e+16,-3.17e+16,-7.48e+16,-1.2430000000000002e+17,gcmt,gem:466312
B072987B,1987-07-29T15:22:38,-66.96,-28.33,150.7,5.4,mw,332.0,44.0,-82.0,141.0,47.0,-97.0,2.0,236.0,5.0,146.0,84.0,344.0,-1.1559999999999998e+17,1.31e+16,1.0249999999999998e+17,-9500000000000000.0,4400000000000000.0,-1.091e+17,gcmt,gem:463156
C081587D,1987-08-15T18:04:22,-70.89,-28.15,32.0,6.4,mwc,20.0,30.0,110.0,176.0,62.0,78.0,71.0,61.0,10.0,182.0,16.0,275.0,3.518e+18,2.57e+17,-3.775e+18,5.22e+17,-2.34e+18,-5.5000000000000006e+17,us,neic:459865;gem:459865
B122887A,1987-12-28T08:16:28,-71.45,-28.27,44.2,6.0,mw,20.0,31.0,114.0,173.0,62.0,76.0,70.0,54.0,12.0,180.0,16.0,273.0,6.36e+17,1.464e+17,-7.824e+17,1.131e+17,-4.449e+17,-8.97e+16,gcmt,gem:451704
B050588C,1988-05-05T17:39:17,-71.46,-29.32,33.0,5.4,mwc,0.0,3.0,53.0,217.0,87.0,92.0,48.0,129.0,2.0,36.0,42.0,305.0,8100000000000000.0,5100000000000000.0,-1.32e+16,-8.61e+16,-1.176e+17,-1.35e+16,us,gem:437084
B052388A,1988-05-23T00:28:04,-68.65,-28.48,117.0,5.4,mwc,320.0,29.0,-90.0,140.0,61.0,-90.0,16.0,230.0,0.0,140.0,74.0,50.0,-1.293e+17,5.06e+16,7.86e+16,-5.570000000000001e+16,6.5e+16,-8.46e+16,us,gem:438604
C081488C,1988-08-14T17:53:18,-71.23,-27.31,38.9,6.5,mw,326.0,16.0,31.0,206.0,82.0,103.0,51.0,132.0,13.0,24.0,36.0,285.0,2.425e+18,2.496e+18,-4.921e+18,-4.62e+18,-9.604e+18,-4.17e+17,gcmt,neic:429001;gem:429001
429247,1988-08-17T08:16:23,-71.286,-27.09,25.3,5.41,mw,46.0,13.0,155.0,161.0,85.0,78.0,43.53785109912528,57.648355505338486,11.97391643734317,159.2744248957581,43.99516624985394,261.09042920695583,0.4,-0.01,-0.39,0.62,-1.45,-0.26,gem,
429258,1988-08-17T11:34:52,-70.963,-27.244,29.8,6.07,mw,49.0,11.0,156.0,163.0,85.0,80.0,43.97284625361047,61.85380216912768,10.15850946646676,161.80847051740272,44.244541754750514,261.85902491966493,0.33,-0.03,-0.3,0.52,-1.44,-0.23,gem,
429264,1988-08-17T12:38:14,-71.207,-27.255,25.4,5.63,mw,78.0,9.0,-171.0,339.0,88.0,-81.0,44.34757231322277,60.52501250637806,8.898779749040063,159.328626976897,44.28127701799603,258.11172521233755,0.23,-0.3,0.06,1.41,-3.13,-0.92,gem,
429273,1988-08-17T14:26:05,-71.215,-27.162,35.4,5.48,mw,56.0,10.0,152.0,173.0,85.0,81.0,44.19763017138435,74.10582155414511,8.936388123068914,172.9010151885841,44.41968768542186,271.7652171051774,0.31,0.07,-0.38,0.26,-1.96,-0.26,gem,
B062489B,1989-06-24T12:58:47,-66.2,-28.53,21.0,5.5,mw,88.0,77.0,-172.0,357.0,82.0,-13.0,3.0,43.0,75.0,145.0,15.0,312.0,-1.35e+16,2.39e+16,-1.04e+16,-2.55e+16,-4.5e+16,-1.961e+17,gcmt,gem:402810
B102389C,1989-10-23T23:41:36,-66.39,-27.51,175.8,5.4,mw,179.0,55.0,-29.0,286.0,66.0,-142.0,7.0,50.0,46.0,313.0,43.0,147.0,-5.292e+16,3380000000000000.0,4.954e+16,5.952e+16,2.396e+16,-8.44e+16,gcmt,gem:390483
386905,1989-11-14T06:07:54,-71.165,-27.56,33.4,5.38,mw,202.0,51.0,140.0,319.0,60.0,46.0,8.66232995906274,176.0603450292076,49.95886130840005,276.5056955258875,38.71591401391533,79.04565475604647,0.91,0.33,-1.24,-1.02,-0.01,0.23,gem,
B062990B,1990-06-29T06:31:25,-68.32,-28.35,123.0,5.3,mwc,321.0,36.0,-80.0,129.0,55.0,-97.0,9.0,224.0,6.0,133.0,79.0,12.0,-9.596e+16,4.807e+16,4.789e+16,-3.015e+16,1.314e+16,-3.843e+16,us,gem:367604
B103190A,1990-10-31T14:39:35,-71.07,-27.05,73.3,5.6,mw,74.0,50.0,-140.0,315.0,60.0,-48.0,6.0,17.0,35.0,111.0,54.0,278.0,-1.544e+17,2.275e+17,-7.31e+16,1.55e+16,-1.008e+17,-8.81e+16,gcmt,
341452,1991-02-13T06:17:24,-79.568,-44.759,14.4,5.65,mw,261.0,90.0,-180.0,351.0,90.0,0.0,7.442344089913072e-15,216.0,90.0,54.43494882292202,2.4807813633043567e-15,306.0,-0.38,1.34,-0.96,0.0,0.0,-3.53,gem,
B031591A,1991-03-15T18:50:55,-68.68,-29.0,72.0,5.2,mwc,345.0,25.0,-68.0,140.0,67.0,-100.0,22.0,238.0,9.0,144.0,66.0,32.0,-5.792e+16,9210000000000000.0,4.871000000000001e+16,-4.125e+16,4.275e+16,-3.051e+16,us,gem:338613
284942,1992-07-30T13:14:53,-72.387,-50.361,15.0,5.48,mw,31.0,25.0,114.0,184.0,67.0,79.0,42.17555818739083,75.90111415043788,13.924292700883644,178.88117769006112,44.50199281488591,282.9833718049327,1.39,-0.03,-1.36,0.02,-1.41,-0.46,gem,
B081492D,1992-08-14T20:09:01,-65.11,-30.91,200.7,5.0,mw,86.0,14.0,-145.0,322.0,82.0,-79.0,36.0,42.0,11.0,140.0,52.0,244.0,-1.855e+16,2.014e+16,-1590000000000000.0,3.682e+16,-5.082e+16,-9860000000000000.0,gcmt,gem:277414
19921001081852,1992-10-01T08:18:52,-74.96,-39.04,15.0,5.5,mwc,35.0,42.0,-51.0,167.0,58.0,-120.0,9.0,278.0,25.0,184.0,63.0,26.0,-1.469e+17,-3.8e+16,1.849e+17,-5.73e+16,6.08e+16,4.29e+16,us,gem:265443
