id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
"703930",1977/01/25 00:50:49,-68.377,-33.597,15.8,5.32,mw,180,45,147,295,67,50,19.7186805653134,158.996822945907,45,270,38.4197247921271,52.4809520919103,,,,,,,gem,,backarc
C052802A,2002/05/28 04:04:28,-66.81,-29.15,15,5.7,mw,180,19,55,36,74,101,59,322,11,213,29,117,6.275e+17,-3.67e+16,-5.909e+17,6.475e+17,7.481e+17,-1.655e+17,gcmt,"neic:3153576;gem:3153576",backarc
"20031101031912",2003/11/01 03:19:11,-68.18,-35.48,49.7,5.1,mwc,250,65,-164,153,75,-26,7,203,61,305,29,109,-1.36e+16,4.07e+16,-2.71e+16,280000000000000,2.09e+16,-3.13e+16,us,gem:7173077,backarc
"7312467",2004/03/17 16:49:45,-66.699,-32.01,31.7,5.5,mw,44,60,167,141,79,31,29,7,57,158,13,269,3500000000,13500000000,-17000000000,7700000000,-4900000000,-1400000000,neic,,backarc
201311150619A,2013/11/15 06:19:00,-67.54,-32.72,35,5.1,mw,208,41,103,10,50,79,84,196,6,26,1,296,3.94e+16,-3.1e+15,-3.63e+16,-3.89e+15,30000000000000,-2.14e+16,gmt,"us:b000kyrl;gem:603791756",backarc
1000jbq5,2019/03/07 05:10:37,-69,-38.6237,11.5,5,mww,219.37,9.49,114.34,14.72,81.36,86.06,53,280,4,15,36,108,4.743e+15,9.306e+15,-1.4049e+16,9.85e+15,3.3926e+16,-9.711e+15,us,"gcmt:C201903070510A;gcmt:C201903070510A;neic:615096335",backarc
70005v2p,2019/10/17 16:58:28,-69.2227,-46.6019,11.5,4.9,mww,298.01,27.87,-54.69,79.32,67.58,-106.99,21,182,16,86,63,322,-9.742e+15,2.2206e+16,-1.2464e+16,-1.4249e+16,-294000000000000,-1.576e+15,us,,backarc
C201911192310A,2019/11/19 23:10:45,-66.98,-33.79,14.8,5.7,mw,213,47,61,73,50,118,69,49,21,234,2,143,3.2e+17,-2.43e+17,-7.64e+16,6.61e+16,-5.14e+16,-2.91e+17,gcmt,"gfz:617548791;gem:617548791",backarc
202101190246A,2021/01/19 02:46:00,-68.86,-31.85,26,6.5,mw,223,61,164,321,76,30,26,189,57,327,19,89,5.964e+17,4.5685e+18,-5.1649e+18,-2.2109e+18,2.2255e+18,-5.427e+17,gmt,"gcmt:C202101190246A;us:7000d18q;gfz:619721854",backarc
202109290753A,2021/09/29 07:53:00,-68.15,-33.33,28,5,mw,200,27,106,2,64,82,60,227,14,342,26,79,1.0507e+16,7.609e+15,-1.8116e+16,-6.733e+15,1.8035e+16,3.221e+15,gmt,us:6000fq1z,backarc
202211051212A,2022/11/05 12:12:00,-68.6,-33.54,41,5.1,mw,200,47,115,345,49,66,69,183,21,5,1,275,4.9459e+16,1.0244e+16,-5.9704e+16,-1.7476e+16,46000000000000,-5.445e+15,gmt,"gcmt:C202211051212A;us:7000impk;gfz:625127831",backarc
112377A,,-67.69,-31.22,21,6.7,mw,183,44,90,4,46,90,89,289,0,184,1,94,1.855e+20,8e+17,-1.863e+20,1.3e+18,6.5e+18,-1.19e+19,gmt,"gcmt:Z112377A;us:Z112377A;gem:690743",backarc
112877B,,-68.21,-32.02,33,5.6,mw,150,52,27,43,69,139,43,0,45,200,10,100,1.298e+17,1.472e+17,-2.77e+17,1.333e+17,5.46e+16,-5.27e+16,gmt,"gcmt:B112877B;us:B112877B;gem:691077",backarc
112877C,,-67.64,-31.67,15,6.1,mw,182,21,106,345,70,84,64,246,6,347,25,80,1.174e+18,2.18e+17,-1.391e+18,-4.24e+17,1.488e+18,2.12e+17,gmt,"gcmt:B112877C;us:B112877C;gem:691088",backarc
011778A,,-68.08,-31.53,23,6,mw,142,66,12,47,79,156,25,2,64,203,8,96,9.75e+16,8.938e+17,-9.913e+17,4.83e+17,1.094e+17,-1.401e+17,gmt,"gcmt:B011778A;us:B011778A;gem:687916",backarc
012685A,,-68.75,-33.11,28,5.9,mw,158,38,65,9,56,108,72,325,15,179,9,86,8.7e+17,1.161e+17,-9.861e+17,2.094e+17,3.349e+17,1.172e+17,gmt,"gcmt:B012685A;us:B012685A;neic:535314;gem:535314",backarc
101201B,,-69.04,-33.16,15,5.3,mw,222,78,171,314,81,12,15,178,75,349,2,87,-7.1e+15,1.041e+17,-9.7e+16,-3.09e+16,2e+15,7.7e+15,gmt,"gcmt:B101201B;us:B101201B;gem:2170887",backarc
