id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,T_plunge,T_azimuth,N_plunge,N_azimuth,P_plunge,P_azimuth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class
200612311455A,2006/12/31 14:55:00,-71.4,-38.04,18,5.5,mw,31,86,178,121,88,4,4,346,86,153,1,256,1.64e+16,2.15e+17,-2.32e+17,1.71e+16,-600000000000000,1.16e+17,gmt,"gcmt:C200612311455A;gcmt:C200612311455A;us:C200612311455A;neic:9140430;gem:9140430",crustal_intraarc_shallow
200701280253A,2007/01/28 02:53:00,-73.69,-45.39,47,5.2,mw,104,76,1,14,89,166,10,328,76,190,9,59,-1.27,4,-2.73,1.05,1.67,6.67,gmt,"us:C200701280253A;gem:10396979",crustal_intraarc_deep
200704020249A,2007/04/02 02:49:00,-73.04,-45.41,30,6.2,mw,53,43,-86,228,47,-94,2,321,3,231,86,93,-1.59e+18,1.14e+18,4.5e+17,1.15e+17,1.32e+17,1.71e+18,gmt,"gcmt:C200704020249A;gcmt:C200704020249A;us:C200704020249A;gem:11912922",crustal_intraarc_shallow
200704211753A,2007/04/21 17:53:00,-72.95,-45.48,12,6.2,mw,84,86,2,354,88,176,5,309,85,145,1,39,-9.12e+17,-1.2e+17,1.03e+18,1.85e+17,2.8e+17,2.77e+18,gmt,"gcmt:C200704211753A;gcmt:C200704211753A;us:C200704211753A;neic:11931187;gem:11931187",crustal_intraarc_shallow
200805020551A,2008/05/02 05:51:00,-72.65,-42.93,17,5.3,mw,206,77,-177,115,87,-13,7,161,77,281,12,70,-0.35,0.88,-0.52,-0.18,0.01,0.56,gmt,"us:C200805020551A;gem:10925030",crustal_intraarc_shallow
200805030236A,2008/05/03 02:36:00,-72.56,-42.82,12,5.1,mw,280,52,-31,31,66,-137,9,153,42,55,47,252,-1.98,2.9,-0.91,0.99,-3.8,1.66,gmt,"us:C200805030236A;gem:10925073",crustal_intraarc_shallow
200805240243A,2008/05/24 02:43:00,-72.46,-42.17,12,5.5,mw,84,57,-11,180,81,-146,16,308,55,193,30,48,-7e+16,4.5e+15,6.55e+16,3.03e+16,8.34e+16,1.57e+17,gmt,"gcmt:C200805240243A;gcmt:C200805240243A;us:C200805240243A;gem:10955648",crustal_intraarc_shallow
200903111306A,2009/03/11 13:06:00,-69.29,-31.98,37,5.3,mw,190,44,109,344,49,72,76,186,13,356,2,87,1.03e+17,1.97e+16,-1.23e+17,-2.14e+16,8e+15,7.8e+15,gmt,"gcmt:C200903111306A;gcmt:C200903111306A;us:C200903111306A;neic:11799078;gem:11799078",crustal_intraarc_deep
201003020209A,2010/03/02 02:09:00,-71.47,-39.86,16,5.1,mw,176,65,-168,80,79,-25,9,130,62,238,26,36,470000000000000,-1.52e+16,1.47e+16,-3.2e+16,1.53e+16,5.28e+16,gmt,"gcmt:C201003020209A;gcmt:C201003020209A;us:C201003020209A;gem:14554585",crustal_intraarc_shallow
201003171738A,2010/03/17 17:38:00,-73.03,-44.36,12,5.4,mw,191,68,-178,100,88,-22,14,148,68,276,17,54,-9.3e+15,6.34e+16,-5.41e+16,-6.19e+16,1.26e+16,1.47e+17,gmt,"gcmt:C201003171738A;gcmt:C201003171738A;us:C201003171738A;gem:14554112",crustal_intraarc_shallow
201003180932A,2010/03/18 09:32:00,-73.01,-44.43,20,5.2,mw,186,72,171,279,81,18,19,144,70,303,6,51,-0.81,2.69,-1.88,-3.39,-1.66,8.21,gmt,"us:C201003180932A;gem:14412246",crustal_intraarc_shallow
201008150750A,2010/08/15 07:50:00,-71.47,-37.09,16,5.2,mw,290,58,-9,25,82,-148,16,153,57,37,28,252,-1.84e+16,6.08e+16,-4.24e+16,-1.49e+16,-4.18e+16,5.54e+16,gmt,"gcmt:C201008150750A;gcmt:C201008150750A;us:C201008150750A;gem:15084816",crustal_intraarc_shallow
201102210538A,2011/02/21 05:38:00,-72.55,-46.02,18,5,mw,271,32,-20,18,79,-121,28,132,30,24,47,256,-1.51e+16,1.94e+16,-4.4e+15,900000000000000,-3.72e+16,1.59e+16,gmt,"us:pde20110221053851050_36;gem:16168884",crustal_intraarc_shallow
201106041628A,2011/06/04 16:28:00,-72.22,-40.59,21,5,mw,162,64,-165,65,77,-27,8,116,60,221,28,21,-1.19e+16,-1.95e+16,3.14e+16,-1.67e+16,-1.3e+15,2.84e+16,gmt,"us:pde20110604162847680_9;gem:16557046",crustal_intraarc_shallow
201206070405A,2012/06/07 04:05:00,-70.97,-36.23,17,6,mw,2,69,-173,269,84,-21,27.6120992891414,140.107922631195,62.2427156005884,313.755328648137,2.61715208581207,48.7379213805384,-2.67e+17,1.78e+17,8.9e+16,3.92e+17,-1.6e+16,1.15e+18,gmt,"gcmt:C201206070405A;gcmt:C201206070405A;us:pde20120607040504520_8;neic:604029413;gem:604029413",crustal_intraarc_shallow
201503131916A,2015/03/13 19:16:00,-73.51,-44.79,25,5,mw,99,61,4,7,86,151,23,320,61,180,17,57,-2.27e+15,8.81e+15,-6.54e+15,8.58e+15,1.62e+16,2.93e+16,gmt,"gcmt:C201503131916A;gcmt:C201503131916A;gem:606829182",crustal_intraarc_shallow
201702030052A,2017/02/03 00:52:00,-69.51,-33.07,20,5.4,mw,138,46,-15,238,79,-135,10,359,49,256,39,97,-6.798e+16,1.7209e+17,-1.0411e+17,4.469e+16,6.922e+16,-7.63e+15,gmt,"gcmt:C201702030052A;gcmt:C201702030052A;us:20008h9r;neic:611831721;gem:611831721",crustal_intraarc_shallow
201706252208A,2017/06/25 22:08:00,-71.66,-42.09,12,5.2,mw,172,17,118,322,75,82,43.9336325312827,221.618861299216,9.08160092852678,320.477828756777,44.6386575567836,59.5594399631324,3.63,-0.55,-3.08,-4.04,4.65,1.14,gmt,gem:611189156,crustal_intraarc_shallow
202102111401A,2021/02/11 14:01:00,-71.96,-39.87,21,5,mw,78,82,-7,169,83,-172,,,,,,,,,,,,,gmt,,crustal_intraarc_shallow
6000qx3m,2025/07/31 21:34:30,-70.3976,-34.028,2,4.2,mwr,299.19,61.69,110.12,81.5,34.25,57.44,67,248,18,109,14,15,2.3783e+15,-2.3121e+15,-66200000000000,-1.0069e+15,1.2819e+15,339000000000000,us,,crustal_intraarc_shallow
011480E,,-69.42,-33.27,15,5.6,mw,141,69,5,49,85,159,18,3,69,217,11,97,-1.31e+16,2.734e+17,-2.603e+17,1.078e+17,3.83e+16,-4.49e+16,gmt,"gcmt:B011480E;us:B011480E;gem:652719",crustal_intraarc_shallow
091387C,,-70,-34.59,15,5.9,mw,27,58,176,119,87,32,24,348,58,124,20,249,-2.2e+15,5.529e+17,-5.507e+17,4.011e+17,-1.241e+17,3.47e+17,gmt,"gcmt:B091387C;us:B091387C;neic:457546;gem:457546",crustal_intraarc_shallow
022489C,,-71.83,-39.26,15,5.2,mw,110,62,23,9,70,150,35,327,54,159,5,61,2.365e+16,2.289e+16,-4.654e+16,4.16e+16,3.467e+16,6.387e+16,gmt,"gcmt:B022489C;us:B022489C;gem:413725",crustal_intraarc_shallow
081496F,,-72.81,-42.36,33,5.2,mw,215,29,-11,314,85,-119,33,69,29,317,43,196,-6.95e+15,-3.253e+16,3.948e+16,3.276e+16,-5.419e+16,-2.383e+16,gmt,"gcmt:B081496F;us:B081496F;gem:980844",crustal_intraarc_deep
030599B,,-70.25,-34.75,15,5.9,mw,170,12,69,12,79,94,56,287,4,191,34,98,3.858e+17,-2.73e+16,-3.585e+17,2.023e+17,8.644e+17,4.5e+15,gmt,"gcmt:B030599B;us:B030599B;gem:1538377",crustal_intraarc_shallow
