Date;origin time;Longitude;Latitude;Depth (km);x_error (km);y_error (km);z_error (km);Ml;N. Obs.;RMS;GAP;Mw
12.03.14;08:00:26.20;-71.195;-37.874;4.6;2.4;4.1;3.2;1.8;11;0.1;342;2.4
12.03.14;08:10:53.50;-71.133;-37.895;13.4;3.4;4.5;3.4;1.4;10;0.2;348;1.6
17.03.14;15:24:13.80;-71.284;-38.005;9.8;1.5;2;1;1.8;9;0.2;336;1.8
18.03.14;01:12:12.40;-71.535;-38.416;8.9;0.6;0.8;0.8;1.5;11;0.4;164;1.8
27.03.14;17:02:22.30;-71.892;-39.424;7.5;0.4;0.5;0.5;2;11;0.3;162;2.3
01.04.14;03:33:17.90;-72.346;-38.943;18;0.6;1.3;4.8;1.5;7;0.3;268;2
03.04.14;15:18:50.10;-71.82;-39.687;7.8;0.8;0.9;0.9;2.3;4;0.1;153;1.7
03.04.14;20:18:22.10;-71.841;-39.706;6;2.9;3.8;2.6;1.8;3;0;182;2.1
04.04.14;09:37:37.40;-72.162;-38.881;31.9;0.4;1.9;2.8;1.6;10;0.2;222;1.9
04.04.14;09:57:37.50;-72.152;-38.928;30.6;1.5;3.6;7.4;1.8;4;0.1;324;2.2
06.04.14;08:41:53.30;-72.188;-38.877;30.1;0.3;1;1.3;1.4;13;0.3;213;2
06.04.14;11:02:36.70;-71.611;-38.427;9;0.4;0.8;0.4;1.7;12;0.4;163;2
07.04.14;19:52:45.70;-71.851;-39.721;2.9;1.9;2.2;2.5;2.2;3;0.1;201;1.5
08.04.14;00:06:16.20;-71.84;-39.697;8.6;0.5;0.5;0.4;2.1;12;0.3;174;2.1
14.04.14;06:05:28.50;-71.846;-39.7;7.4;1.2;1.4;0.6;1.3;5;0.2;180;X.X
20.04.14;03:30:03.50;-72.318;-38.953;28;0.4;1.1;2.6;1.4;11;0.3;240;2
20.04.14;04:28:34.10;-71.886;-39.727;0;0.8;1;2;1.6;3;0.2;226;1.8
20.04.14;07:20:12.50;-71.711;-38.894;6.9;0.9;0.6;2.8;0.8;6;0.1;139;1
22.04.14;02:52:43.80;-71.621;-38.374;9;0.4;0.6;0.7;2.4;15;0.4;138;2
22.04.14;09:51:34.90;-72.068;-38.722;30.9;0.7;3.7;3;1.3;7;0.1;260;1.5
23.04.14;04:22:16.20;-72.186;-38.881;31;0.6;1.9;2.3;1;6;0.2;225;1.4
23.04.14;07:57:07.20;-71.101;-37.901;7.6;2.1;1.8;2.7;1.7;10;0.1;303;1.5
24.04.14;00:26:36.80;-71.528;-39.321;-0.9;1.1;0.9;2.9;1;3;0.4;284;X.X
24.04.14;00:54:32.20;-71.722;-38.882;12.7;0.4;0.7;0.9;1;5;0.3;126;1.3
24.04.14;02:05:18.00;-72.097;-38.734;27.9;0.5;2.7;3.2;1.3;6;0.2;246;X.X
24.04.14;02:23:16.70;-72.305;-39.246;19.4;2.1;1.4;3;1.2;4;0.1;317;1.3
