#,year,month,day,hour,minute,seconds,longitude,latitude,depth,rms,magnitude,magnitude_type
0,1982,1,8,0,32,52.05,-71.760237,-32.218361,11.7341,0.95,,xx
1,1982,1,9,1,6,18.81,-73.147276,-33.919849,5.3619,0.86,,xx
2,1982,1,9,20,28,47.24,-70.053573,-32.95282,118.5877,0.27,,xx
3,1982,1,12,15,4,33.2,-70.431024,-32.467427,89.8999,0.08,,xx
4,1982,1,13,11,20,3.02,-69.627611,-31.559731,46.6019,1.49,,xx
5,1982,1,13,16,31,40.31,-67.308106,-31.832057,17.5035,1.82,,xx
6,1982,1,14,14,23,40.47,-71.546314,-32.305841,43.6553,0.98,,xx
7,1982,1,14,19,31,29.92,-71.388364,-32.939471,45.0288,0.39,,xx
8,1982,1,18,3,7,52.4,-71.163617,-31.897624,39.2522,0.25,,xx
9,1982,1,19,22,19,30.09,-70.256014,-32.334669,116.9477,0.71,,xx
10,1982,1,20,6,40,34.83,-70.592697,-34.079609,90.6171,0.49,,xx
11,1982,1,20,19,2,22.32,-70.132041,-33.823306,3.8935,0.46,,xx
12,1982,1,22,17,34,45.84,-71.004673,-32.684883,66.6246,0.43,,xx
13,1982,1,23,13,43,49.41,-71.165205,-32.007915,95.2116,1.54,,xx
14,1982,1,24,1,25,8.04,-68.885438,-32.750816,6.3006,1.15,,xx
15,1982,1,24,22,31,48.4,-70.695105,-34.615075,102.3528,0.55,,xx
16,1982,1,25,7,14,36.91,-70.468157,-35.083157,19.8578,0.15,,xx
17,1982,1,25,18,18,45.75,-71.815453,-32.088984,10.3751,0.53,,xx
18,1982,2,1,9,49,32.41,-70.752917,-32.70595,71.4112,0.43,,xx
19,1982,2,4,18,21,14.04,-72.639276,-31.966714,34.2284,1.39,,xx
20,1982,2,5,3,0,3.8,-71.103961,-32.327886,34.2021,0.49,,xx
21,1982,2,5,13,37,40.44,-70.292692,-32.035339,91.5235,0.48,,xx
22,1982,2,8,5,50,2.89,-71.717299,-32.524071,40.8223,0.32,,xx
23,1982,2,9,19,55,47.76,-68.63994,-33.276431,14.5243,1.06,,xx
24,1982,2,18,18,33,48.43,-70.733247,-32.00975,88.21,0.37,,xx
25,1982,2,19,17,16,39.46,-66.964194,-28.247569,148.4317,0.46,,xx
26,1982,2,22,7,17,26.07,-70.280794,-32.820512,101.4539,0.66,,xx
27,1982,2,24,15,11,28.95,-71.501592,-32.513472,40.6718,0.4,,xx
28,1982,3,1,17,25,32.0,-68.282401,-31.858827,-0.5569,0.59,,xx
29,1982,3,3,6,20,18.17,-72.167087,-34.03363,4.6941,0.19,,xx
30,1982,3,9,10,5,46.47,-69.720103,-32.259608,113.9856,0.53,,xx
31,1982,3,9,18,8,53.35,-71.461495,-36.361359,97.3903,0.49,,xx
32,1982,3,13,13,20,54.27,-69.167477,-32.444119,207.0322,0.59,,xx
33,1982,3,17,7,34,6.12,-69.859182,-31.90196,65.4398,1.04,,xx
34,1982,3,18,16,37,28.75,-68.401845,-31.070442,103.2477,0.67,,xx
35,1982,3,21,3,52,49.6,-73.06554,-33.212509,27.0085,0.37,,xx
36,1982,3,30,8,39,24.54,-67.893317,-27.656028,128.587,0.78,,xx
37,1982,4,16,4,7,57.52,-70.265013,-33.108124,95.8478,0.43,,xx
38,1982,4,20,11,54,41.84,-72.0768,-32.312419,5.2015,1.6,,xx
39,1982,4,26,0,12,50.09,-66.97967,-31.691602,132.8752,0.87,,xx
40,1982,4,27,22,54,21.14,-69.380824,-32.130412,115.7839,0.68,,xx
41,1982,4,28,2,35,52.68,-71.494897,-31.954212,40.9677,0.59,,xx
42,1982,4,29,16,44,7.0,-70.310247,-33.148432,100.866,0.57,,xx
43,1982,5,9,19,31,21.02,-71.835312,-33.552561,16.1747,0.82,,xx
44,1982,5,10,0,33,21.45,-70.040785,-32.901931,103.7714,0.65,,xx
45,1982,5,12,5,7,36.83,-69.326145,-31.353132,100.3581,0.77,,xx
46,1982,5,12,7,12,10.34,-70.296134,-32.571213,103.7167,0.14,,xx
47,1982,5,13,6,17,19.91,-68.747191,-31.132141,103.3625,0.93,,xx
48,1982,5,16,5,12,6.2,-70.723894,-32.787421,51.6789,1.74,,xx
49,1982,5,19,13,32,20.88,-70.341616,-32.706458,105.311,0.89,,xx
50,1982,5,19,20,1,5.22,-72.344296,-36.766646,157.8806,0.94,,xx
51,1982,5,30,21,40,8.65,-68.901854,-31.590053,108.0177,0.6,,xx
52,1982,5,30,22,4,31.24,-70.578275,-34.771836,111.189,0.34,,xx
53,1982,6,2,16,21,2.06,-71.662427,-32.154263,5.1855,0.73,,xx
54,1982,6,2,16,21,10.42,-71.485166,-32.750686,5.9545,0.37,,xx
55,1982,6,3,20,11,40.36,-71.881852,-32.666166,19.2319,1.15,,xx
56,1982,6,5,8,0,19.23,-70.352763,-34.226618,115.3973,0.19,,xx
57,1982,6,5,22,17,24.75,-71.69573,-32.595366,7.2448,0.62,,xx
58,1982,6,6,19,23,20.67,-71.283731,-33.961852,53.9927,0.33,,xx
59,1982,6,7,14,50,23.08,-67.396879,-31.76134,243.6929,1.25,,xx
60,1982,6,7,21,58,4.14,-72.067209,-33.314541,30.5418,0.63,,xx
61,1982,6,8,4,21,56.62,-70.100585,-32.037205,108.6036,0.7,,xx
62,1982,6,9,7,31,31.37,-70.549733,-33.490811,94.7632,1.04,,xx
63,1982,6,9,9,59,53.68,-73.008914,-32.590552,45.2654,0.77,,xx
64,1982,6,10,0,13,0.89,-72.149316,-32.720081,64.8733,0.74,,xx
65,1982,6,10,16,45,15.44,-68.965962,-33.182665,7.4918,0.5,,xx
66,1982,6,11,3,10,58.28,-70.060361,-31.775603,117.2134,0.52,,xx
67,1982,6,11,15,48,35.94,-69.579664,-31.20572,143.7402,0.73,,xx
68,1982,6,11,22,8,59.16,-71.69063,-32.659655,33.6983,1.12,,xx
69,1982,6,13,1,21,28.04,-71.024706,-35.214974,93.6934,0.67,,xx
70,1982,6,13,8,18,36.5,-72.137831,-33.537446,15.9512,0.91,,xx
71,1982,6,13,10,32,39.3,-67.717056,-31.921266,221.4728,0.75,,xx
72,1982,6,14,18,49,38.41,-69.952844,-32.670733,111.6456,1.2,,xx
73,1982,6,14,21,53,39.52,-71.392014,-33.962701,47.8176,0.95,,xx
74,1982,6,15,19,0,38.83,-69.989201,-33.551824,3.7288,0.68,,xx
75,1982,6,16,5,21,22.09,-71.07606,-32.872489,37.1134,1.24,,xx
76,1982,6,17,7,8,2.49,-71.770667,-32.212189,28.8133,0.47,,xx
77,1982,6,18,5,39,59.55,-71.776523,-32.652436,13.2984,1.48,,xx
78,1982,6,19,14,49,2.99,-70.966395,-33.915574,68.9802,0.42,,xx
79,1982,6,19,22,59,46.2,-72.90174,-31.647023,4.6803,0.91,,xx
80,1982,6,20,12,33,36.59,-71.598683,-32.400342,56.0071,0.8,,xx
81,1982,6,23,7,30,44.75,-71.185661,-32.120096,79.6691,0.66,,xx
82,1982,6,23,9,6,44.05,-69.879124,-32.54315,119.9709,0.61,,xx
83,1982,6,24,17,37,34.64,-69.846166,-33.948174,11.3741,1.1,,xx
84,1982,6,25,11,4,30.49,-71.734321,-32.612112,30.9675,0.59,,xx
85,1982,7,2,1,48,4.67,-69.440951,-31.623431,118.8384,1.01,,xx
86,1982,7,2,5,53,41.16,-69.564905,-31.960777,112.5634,0.88,,xx
87,1982,7,2,22,5,45.02,-66.637302,-28.065307,174.6737,0.56,,xx
88,1982,7,4,5,25,37.88,-71.077509,-31.920187,47.5616,1.09,,xx
89,1982,7,4,14,41,30.09,-68.906653,-32.204985,170.5879,0.35,,xx
90,1982,7,5,8,27,14.67,-70.212756,-32.794319,93.7218,0.3,,xx
91,1982,7,5,16,18,57.56,-69.932464,-31.624375,129.9364,0.25,,xx
92,1982,7,5,16,46,0.03,-68.998504,-33.226946,-1.1363,1.26,,xx
93,1982,7,5,20,46,1.97,-69.8179,-31.666605,103.0471,1.05,,xx
94,1982,7,5,22,58,0.09,-72.081294,-33.067046,22.8087,0.4,,xx
95,1982,7,5,23,58,25.55,-69.487707,-31.679919,205.0009,0.55,,xx
96,1982,7,6,0,29,56.92,-67.599445,-31.555598,57.4331,1.63,,xx
97,1982,7,6,2,45,13.27,-71.47546,-32.197214,55.921,0.72,,xx
98,1982,7,6,6,12,23.52,-71.54001,-32.28368,54.3735,1.22,,xx
99,1982,7,6,9,50,31.15,-72.112365,-33.121636,16.9424,0.53,,xx
