Volcano Number	Volcano Name	Country	Location	Latitude	Longitude	Elevation (m)	Type	Status	Last Known Eruption
358024	Apagado	Argentina	Argentina	-41.88	-72.58	1210	Cinder cone	Holocene	U
357023	Atuel, Caldera del	Argentina	Argentina	-34.592	-69.921	5189	Caldera	Holocene	U
357102	Blanca, Laguna	Argentina	Argentina	-39.02	-70.37	1700	Volcanic field		Unknown
357067	Domuyo	Argentina	Argentina	-36.638	-70.432	4702	Stratovolcano	Holocene	Unknown
357123	Huanquihue Group	Argentina	Argentina	-39.887	-71.58	2189	Pyroclastic cone	Holocene	U
357066	Payun Matru	Argentina	Argentina	-36.422	-69.241	3715	Shield volcano	Holocene	U
	Puesto Cortaderas	Argentina	Argentina	-37.567	-69.617	970	Pyroclastic cone	Holocene	U
357024	Risco Plateado	Argentina	Argentina	-34.917	-69.981	4999	Stratovolcano	Holocene?	?
355131	Solo, El	Argentina	Argentina	-27.105	-68.713	6205	Complex volcano	Holocene	U
355220	Tipas	Argentina	Argentina	-27.196	-68.561	6658	Complex volcano	Holocene	U
357081	Trolon	Argentina	Argentina	-37.738	-70.906	2360	Lava domes	Holocene?	?
	Tromen	Argentina	Argentina	-37.142	-70.03	3978	Stratovolcano	Holocene	U
357072	Tromen Volcanic Plateau	Argentina	Argentina	-37.144	-70.033	4114	Pyroclastic cone	Holocene	U
	Viedma, Volcan	Argentina	Argentina	-49.358	-73.28	1300	Subglacial volcano	Historical	D1
355125	Incahuasi, Nevado de	Argentina	Chile	-27.033	-68.296	6638	Complex volcano	Holocene	U
357122	Lanin	Argentina	Chile-C	-39.637	-71.502	3776	Stratovolcano	Holocene	U
357021	Maipo	Argentina	Chile-C	-34.164	-69.832	5323	Caldera	Historical	D2
357020	San Jose	Argentina	Chile-C	-33.789	-69.895	6070	Stratovolcano	Historical	D2
357153	Antillanca Volcanic Complex	Chile	Chile-C	-40.783	-72.15	1979	Stratovolcano	Holocene	U
357080	Antuco	Chile	Chile-C	-37.406	-71.349	2979	Stratovolcano	Historical	D3
357060	Azul, Cerro	Chile	Chile-C	-35.653	-70.761	3788	Stratovolcano	Historical	D1
357064	Blancas, Lomas	Chile	Chile-C	-36.286	-71.009	2268	Stratovolcano	Holocene	U
357112	Caburgua-Huelemolle	Chile	Chile-C	-39.25	-71.75	1652	Cinder cone	Tephrochronology	D7
357042	Calabozos	Chile	Chile-C	-35.558	-70.496	3508	Caldera	Holocene	U
357091	Callaqui	Chile	Chile-C	-37.92	-71.45	3164	Stratovolcano	Historical	D1
357140	Carran-Los Venados	Chile	Chile-C	-40.35	-72.07	1114	Pyroclastic cone	Historical	D1
357070	Chillan, Nevados de	Chile	Chile-C	-36.868	-71.378	3180	Stratovolcano	Historical	D1
357090	Copahue	Chile	Chile-C	-37.856	-71.183	2953	Stratovolcano	Historical	D1
357050	Descabezado Grande	Chile	Chile-C	-35.58	-70.75	3953	Stratovolcano	Historical	D2
357041	Infiernillo	Chile	Chile-C	-35.123	-69.9	3007	Lava dome	Holocene	U
357110	Llaima	Chile	Chile-C	-38.692	-71.729	3125	Stratovolcano	Historical	D1
357063	Longavi, Nevado de	Chile	Chile-C	-36.196	-71.164	3175	Stratovolcano	Holocene	U
357100	Lonquimay	Chile	Chile-C	-38.379	-71.586	2832	Stratovolcano	Historical	D1
357092	Mariñaqui, Laguna	Chile	Chile-C	-38.255	-71.167	2108	Stratovolcano	Holocene	U
357061	Maule, Laguna del	Chile	Chile-C	-36.058	-70.492	2162	Stratovolcano	Holocene	U
357130	Mocho-Choshuenco	Chile	Chile-C	-39.927	-72.027	2422	Stratovolcano	Historical	D2
357022	Palomo	Chile	Chile-C	-34.608	-70.295	4860	Stratovolcano	Holocene	U
357152	Pantojo, Cerro	Chile	Chile-C	-40.77	-71.95	1897	Stratovolcano	Holocene	U
357040	Planchon-Peteroa	Chile	Chile-C	-35.223	-70.568	3977	Caldera	Historical	D1
357160	Puntiagudo-Cordon Cenizos	Chile	Chile-C	-40.969	-72.264	2493	Stratovolcano	Historical	D3
357150	Puyehue-Cordon Caulle	Chile	Chile-C	-40.59	-72.117	2236	Stratovolcano	Holocene	U
357121	Quetrupillan	Chile	Chile-C	-39.496	-71.722	2360	Caldera	Historical	D3
357065	Resago, Volcan	Chile	Chile-C	-36.461	-70.903	1890	Cinder cone	Holocene	U
357062	San Pedro-Pellado	Chile	Chile-C	-35.989	-70.849	3621	Stratovolcano	Holocene	U
357111	Sollipulli	Chile	Chile-C	-38.97	-71.52	2282	Caldera	Radiocarbon	D6
357030	Tinguiririca	Chile	Chile-C	-34.814	-70.352	4280	Stratovolcano	Historical	D2
357093	Tolhuaca	Chile	Chile-C	-38.31	-71.645	2739	Stratovolcano	Holocene	U
357101	Tralihue	Chile	Chile-C	-38.509	-70.898	2448	Cinder cone	Holocene	U
357010	Tupungatito	Chile	Chile-C	-33.425	-69.797	5660	Stratovolcano	Historical	D1
357120	Villarrica	Chile	Chile-C	-39.42	-71.93	2847	Stratovolcano	Historical	D1
	Robinson Crusoe	Chile	Chile-Is	-33.658	-78.85	922	Shield volcano	Historical	D3
	Unnamed	Chile	Chile-Is	-33.622	-78.78	0	Submarine volcano	Historical	D3
	Unnamed	Chile	Chile-Is	-33.62	-76.83	-642	Submarine volcano	Uncertain	Unknown
355130	Ojos del Salado, Nevados	Argentina	Chile-N	-27.109	-68.541	6879	Stratovolcano	Holocene	U
	Copiapo	Chile	Chile-N	-27.3	-69.13	6052	Stratovolcano	Uncertain	Unknown
358062	Aguilera	Chile	Chile-S	-50.33	-73.75	2546	Stratovolcano	Radiocarbon	D7
358059	Arenales	Chile	Chile-S	-47.2	-73.483	3437	Stratovolcano	Historical	D2
358020	Calbuco	Chile	Chile-S	-41.33	-72.618	1974	Stratovolcano	Historical	D2
358055	Cay	Chile	Chile-S	-45.059	-72.984	2090	Stratovolcano	Holocene	Unknown
	Cayute-La Vigueria	Chile	Chile-S	-41.25	-72.27	506	Pyroclastic cone	Holocene	U
358012	Cayutue-La Vigueria	Chile	Chile-S	-41.3	-72.27	506	Pyroclastic cones	Tephrochronology	D7
358041	Chaiten	Chile	Chile-S	-42.835	-72.651	1122	Caldera	Holocene	D1
358050	Corcovado	Chile	Chile-S	-43.189	-72.794	1826	Stratovolcanoes	Radiocarbon	D7
358023	Hornopiren	Chile	Chile-S	-41.874	-72.431	1572	Stratovolcano	Holocene	Unknown
358057	Hudson, Cerro	Chile	Chile-S	-45.9	-72.97	1905	Stratovolcano	Historical	D1
358030	Huequi	Chile	Chile-S	-42.377	-72.578	1318	Stratovolcano	Historical	D2
358060	Lautaro	Chile	Chile-S	-49.019	-73.504	3542	Stratovolcano	Historical	D2
358056	Maca	Chile	Chile-S	-45.1	-73.17	2960	Stratovolcano	Holocene	U
358052	Melimoyu	Chile	Chile-S	-44.08	-72.88	2400	Cinder cone	Holocene	U
358054	Mentolat	Chile	Chile-S	-44.7	-73.08	1660	Cinder cone	Holocene	U
358064	Meullin	Chile	Chile-S	-45.22	-73.05	1080	Volcanic field		Unknown
358040	Michinmahuida	Chile	Chile-S	-42.799	-72.445	2452	Stratovolcano	Historical	D3
358010	Osorno	Chile	Chile-S	-41.105	-72.496	2659	Stratovolcano	Historical	D3
358051	Palena Volcanic Group	Chile	Chile-S	-43.42	-72.83	2991	Stratovolcano	Historical	D3
358053	Puyuhuapi	Chile	Chile-S	-44.3	-72.53	524	Stratovolcano	Holocene	U
358063	Reclus	Chile	Chile-S	-50.964	-73.58	1403	Stratovolcano	Radiocarbon	D7
	Río Murta	Chile	Chile-S	-46.167	-72.667		Pyroclastic cones	Holocene?	?
358011	Tronador	Chile	Chile-S	-41.157	-71.885	3478	Stratovolcano	Holocene?	?
358049	Yanteles	Chile	Chile-S	-43.469	-72.782	1790	Stratovolcano	Historical	D3
358022	Yate	Chile	Chile-S	-41.755	-72.396	2187	Stratovolcano	Holocene	U
358025	Crater Basalt Volcanic Field	Argentina	Chile-S/Argentina	-42.018	-70.194	1344	Cinder cones	Holocene	U
