Date,Mw,Latitude,Longitude,Depth,Fault Plane Strike,Fault Plane Dip,Auxiliary Plane Strike,Auxiliary Plane Dip,Slip Vector Azimuth,Slip Vector Plunge
23-3-1981,6.4,-33.96,-71.81,40.4,335,5,73,173,85,91
3-3-1985,7.9,-33.92,-71.71,40.7,11,26,110,169,66,81
4-3-1985,6.3,-33.43,-72.08,10,215,24,143,340,76,70
4-3-1985,6.3,-33.87,-71.81,53.1,21,28,109,179,63,80
17-3-1985,6.5,-33.22,-71.73,43.5,356,26,91,175,64,90
19-3-1985,6.6,-33.63,-71.94,35.6,355,24,90,175,66,90
25-3-1985,6.3,-34.6,-72.52,23.9,10,20,98,181,70,87
9-4-1985,7.1,-34.26,-71.86,46.6,0,21,99,170,69,86
12-8-1985,6.2,-38.45,-73.94,17.2,16,15,111,174,76,84
3-5-2004,6.6,-37.95,-73.75,24,0,16,118,151,76,82
27-2-2010,8.8,-35.76,-72.473,30,14,19,179,71,89,19
16-3-2010,6.7,-36.124,-73.147,18,15,17,171,75,81,15
5-3-2010,6.6,-36.513,-73.116,35,4,21,184,69,94,21
14-7-2010,6.5,-38,-73.282,28,6,17,177,73,87,17
2-1-2011,7.1,-38.354,-73.275,25,2,15,179,75,89,16
11-2-2011,6.8,-36.344,-72.959,18,11,15,181,75,91,15
14-2-2011,6.6,-35.433,-72.739,25,16,21,190,70,100,20
25-3-2012,7.1,-35.183,-71.792,35,21,11,176,80,86,10
23-8-2014,6.25,-32.695,-71.442,32,19,29,183,62,93,28
20-6-2015,6.4,-36.36,-73.812,11,348,15,190,76,100,14
