id,time_iso,longitude,latitude,depth,mag,mag_type,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,dups,class,sub_depth
Z112377A,1977-11-23T09:26:24,-67.77,-31.03,13.0,7.4,mwc,183.0,44.0,90.0,4.0,46.0,90.0,1.855e+20,8e+17,-1.863e+20,1.3e+18,6.5e+18,-1.19e+19,anss,,backarc,
B112477A,1977-11-24T18:20:16,-67.63,-31.3,33.0,5.6,mwc,190.0,34.0,91.0,8.0,56.0,89.0,2.04e+17,1.0049999999999998e+17,-3.046e+17,1.51e+16,1.08e+17,-6.4e+16,anss,,backarc,
B112877B,1977-11-28T04:19:35,-67.75,-31.68,36.0,5.6,mwc,150.0,52.0,27.0,43.0,69.0,139.0,1.298e+17,1.472e+17,-2.77e+17,1.333e+17,5.460000000000001e+16,-5.27e+16,anss,,backarc,
B112877C,1977-11-28T06:31:29,-67.43,-31.35,16.0,6.1,mwc,182.0,21.0,106.0,345.0,70.0,84.0,1.174e+18,2.18e+17,-1.391e+18,-4.24e+17,1.488e+18,2.12e+17,anss,,backarc,
B120577B,1977-12-05T15:43:27,-67.7,-30.97,32.0,5.7,mwc,103.0,65.0,-5.0,195.0,86.0,-154.0,2.46e+16,1.995e+17,-2.241e+17,-2.25e+16,2.3250000000000003e+17,3.903e+17,anss,,backarc,
B120677A,1977-12-06T17:05:06,-67.72,-31.17,19.0,5.9,mwc,181.0,37.0,82.0,11.0,54.0,96.0,6.121e+17,2.788e+17,-8.909000000000001e+17,5.540000000000001e+16,2.254e+17,-1.3700000000000002e+17,anss,,backarc,
B121077B,1977-12-10T07:11:56,-67.64,-31.19,39.0,5.5,mwc,199.0,29.0,117.0,348.0,65.0,76.0,1.1259999999999998e+17,7.77e+16,-1.902e+17,-1.97e+16,1.137e+17,-1400000000000000.0,anss,,backarc,
B011778A,1978-01-17T11:33:14,-67.87,-31.29,24.0,6.0,mwc,142.0,66.0,12.0,47.0,79.0,156.0,9.75e+16,8.938e+17,-9.913e+17,4.83e+17,1.0940000000000002e+17,-1.401e+17,anss,,backarc,
B082178A,1978-08-21T00:28:22,-67.77,-31.27,10.0,5.3,mwc,218.0,9.0,79.0,49.0,81.0,92.0,5.104e+16,-2.207e+16,-2.897e+16,8.357e+16,7.066e+16,2500000000000000.0,anss,,backarc,
B122178B,1978-12-21T01:13:55,-72.46,-36.29,47.0,5.8,mwc,101.0,34.0,52.0,324.0,64.0,112.0,5.478e+17,-4.288e+17,-1.19e+17,-1.293e+17,4.274e+17,2.866e+17,anss,,forearc,49.9037818909
