id,time_iso,longitude,latitude,depth,mag,mag_type,lon_error,lat_error,depth_error,mag_error,strike1,dip1,rake1,strike2,dip2,rake2,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,source,duplicate_id
C022876A,1976-02-28T16:27:13,-75.57,-40.3,15.0,5.9,mw,0.02,0.03,0.0,,13.0,45.0,-85.0,187.0,45.0,-95.0,-8e+17,-2.3e+17,1.03e+18,-3e+16,1e+16,2.3e+17,gcmt,1_gcmt
C053076A,1976-05-30T03:08:55,-75.94,-42.06,15.0,6.1,mw,0.02,0.02,0.0,,187.0,44.0,-101.0,23.0,47.0,-79.0,-1.66e+18,8e+16,1.59e+18,-2.4e+17,-3e+16,4.3e+17,gcmt,2_gcmt
B011177A,1977-01-11T07:02:34,-71.44,-31.68,35.0,5.2,mwc,,,,,5.0,34.0,111.0,160.0,59.0,77.0,,,,,,,anss,3_anss
B011177A,1977-01-11T07:02:43,-72.1,-31.92,42.2,5.2,mw,0.15,0.17,10.7,,5.0,34.0,111.0,160.0,59.0,77.0,7.116e+16,1.044e+16,-8.16e+16,2.177e+16,-3.401e+16,1.407e+16,gcmt,3_gcmt
B022277A,1977-02-22T14:10:08,-75.29,-45.61,33.0,5.4,mwc,,,,,261.0,76.0,-168.0,168.0,78.0,-14.0,,,,,,,anss,4_anss
B022277A,1977-02-22T14:10:12,-76.35,-45.97,10.0,5.4,mw,0.12,0.08,0.0,,261.0,76.0,-168.0,168.0,78.0,-14.0,-7300000000000000.0,6.61e+16,-5.88e+16,3.02e+16,5.34e+16,-1.642e+17,gcmt,4_gcmt
Z112377A,1977-11-23T09:26:24,-67.77,-31.03,13.0,7.4,mwc,,,,,183.0,44.0,90.0,4.0,46.0,90.0,,,,,,,anss,5_anss
Z112377A,1977-11-23T09:26:48,-67.69,-31.22,20.8,7.4,mw,0.01,0.01,0.4,,183.0,44.0,90.0,4.0,46.0,90.0,1.855e+20,8e+17,-1.863e+20,1.3e+18,6.5e+18,-1.19e+19,gcmt,5_gcmt
B112477A,1977-11-24T18:20:16,-67.63,-31.3,33.0,5.6,mwc,,,,,190.0,34.0,91.0,8.0,56.0,89.0,,,,,,,anss,6_anss
B112477A,1977-11-24T18:20:20,-68.05,-31.53,46.5,5.6,mw,0.04,0.06,2.5,,190.0,34.0,91.0,8.0,56.0,89.0,2.04e+17,1.0049999999999998e+17,-3.046e+17,1.51e+16,1.08e+17,-6.4e+16,gcmt,6_gcmt
